TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00663	RPOLA_N	0.000872689675902829	-7.04393053392935	3	2	0.0117647058823529	170	9882	218832,20019	Polr3a,Polr1a
SM00413	ETS	0.000940250686743146	-6.96936403023053	26	4	0.0235294117647059	170	9882	20728,14247,14009,23871	Spic,Fli1,Etv1,Ets1
SM00457	MACPF	0.00126005945905232	-6.67659636940809	13	3	0.0176470588235294	170	9882	56079,17476,18646	Astn2,Mpeg1,Prf1
SM00325	RhoGEF	0.00510596528608108	-5.27734575883831	65	5	0.0294117647058824	170	9882	21844,545156,109934,110596,380698	Tiam1,Kalrn,Abr,Arhgef28,Obscn
SM00101	14_3_3	0.00583741406662408	-5.1434673770164	7	2	0.0117647058823529	170	9882	22627,22631	Ywhae,Ywhaz
SM00408	IGc2	0.00598485611250063	-5.11852298161448	228	10	0.0588235294117647	170	9882	13508,320027,380698,320772,22329,216760,19876,545156,13176,214425	Dscam,Fstl4,Obscn,Mdga2,Vcam1,Mfap3,Robo1,Kalrn,Dcc,Cilp
SM01196	FERM_C	0.00871129416142548	-4.74313491575383	25	3	0.0176470588235294	170	9882	24000,13822,319710	Ptpn21,Epb41l2,Frmd6
SM00251	SAM_PNT	0.0120915614913597	-4.41524746708242	10	2	0.0117647058823529	170	9882	23871,14247	Ets1,Fli1
SM01311	RPOL_N	0.0172029953450369	-4.06267176235747	1	1	0.00588235294117647	170	9882	216151	Polrmt
SM00703	NRF	0.0172029953450369	-4.06267176235747	1	1	0.00588235294117647	170	9882	319888	Oacyl
SM00136	LamNT	0.0266713495279043	-3.62416534109711	15	2	0.0117647058823529	170	9882	16774,16777	Lama3,Lamb1
SM00130	KR	0.0266713495279043	-3.62416534109711	15	2	0.0117647058823529	170	9882	226243,18815	Habp2,Plg
SM00282	LamG	0.0310433510689585	-3.47237062979852	40	3	0.0176470588235294	170	9882	12819,16774,12814	Col15a1,Lama3,Col11a1
SM01154	DUF1704	0.03411175870731	-3.37811312400652	2	1	0.00588235294117647	170	9882	68283	Matcap2
SM01086	ClpB_D2-small	0.03411175870731	-3.37811312400652	2	1	0.00588235294117647	170	9882	20480	Clpb
SM01177	DUF4210	0.03411175870731	-3.37811312400652	2	1	0.00588235294117647	170	9882	235493	Atosa
SM01313	Sec3-PIP2_bind	0.03411175870731	-3.37811312400652	2	1	0.00588235294117647	170	9882	69940	Exoc1
SM00191	Int_alpha	0.0415380377494525	-3.18114569926539	19	2	0.0117647058823529	170	9882	241226,16399	Itga8,Itga2b
SM00339	FH	0.0419167686833664	-3.17206932487535	45	3	0.0176470588235294	170	9882	15223,17425,14236	Foxj1,Foxk1,Foxn2
SM00060	FN3	0.0435859375312055	-3.13302071434027	149	6	0.0352941176470588	170	9882	13508,19876,380698,13842,545156,13176	Dscam,Robo1,Obscn,Epha8,Kalrn,Dcc
SM00332	PP2Cc	0.0456425175868889	-3.08691559365842	20	2	0.0117647058823529	170	9882	320472,242083	Ppm1e,Ppm1l
SM00295	B41	0.0467341614579409	-3.06327987299404	47	3	0.0176470588235294	170	9882	319710,24000,13822	Frmd6,Ptpn21,Epb41l2
SM00406	IGv	0.0506903969733817	-2.98201879513415	81	4	0.0235294117647059	170	9882	13508,19876,19294,380698	Dscam,Robo1,Nectin2,Obscn
SM01366	c-clamp	0.0507312932235916	-2.98121233544398	3	1	0.00588235294117647	170	9882	21416	Tcf7l2
SM00712	PUR	0.0507312932235916	-2.98121233544398	3	1	0.00588235294117647	170	9882	19290	Pura
SM00473	PAN_AP	0.0507312932235916	-2.98121233544398	3	1	0.00588235294117647	170	9882	18815	Plg
SM00210	TSPN	0.0542727012735195	-2.9137339174354	22	2	0.0117647058823529	170	9882	12814,12819	Col11a1,Col15a1
SM00240	FHA	0.0542727012735195	-2.9137339174354	22	2	0.0117647058823529	170	9882	17425,217882	Foxk1,Cep170b
SM00338	BRLZ	0.0571461148751753	-2.86214387223893	51	3	0.0176470588235294	170	9882	231991,17132,208677	Creb5,Maf,Creb3l3
SM00398	HMG	0.0571461148751753	-2.86214387223893	51	3	0.0176470588235294	170	9882	21416,244579,16842	Tcf7l2,Tox3,Lef1
SM00458	RICIN	0.0587864665169813	-2.83384361184456	23	2	0.0117647058823529	170	9882	230145,78754	Galnt12,Galnt15
