TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
MOUSE_PWY-6558	heparan sulfate biosynthesis (late stages)	0.00114499392326597	-6.77235594918131	19	14	0.0364583333333333	384	1039	83398,14043,14537,14042,15478,54616,319415,15476,195646,14538,56219,54710,328779,64580	Ndst3,Ext2,Gcnt1,Ext1,Hs3st3a1,Extl3,Hs3st5,Hs3st1,Hs3st2,Gcnt2,Extl1,Hs3st3b1,Hs3st6,Ndst4
MOUSE_PWY-6564	heparan sulfate biosynthesis	0.0027240447132507	-5.90563747627353	26	17	0.0442708333333333	384	1039	233781,14538,195646,15478,54616,15476,319415,14042,83398,14043,14537,64580,280645,328779,76898,54710,56219	Xylt1,Gcnt2,Hs3st2,Hs3st3a1,Extl3,Hs3st1,Hs3st5,Ext1,Ndst3,Ext2,Gcnt1,Ndst4,B3gat2,Hs3st6,B3gat1,Hs3st3b1,Extl1
MOUSE_PWY-6567	chondroitin sulfate biosynthesis (late stages)	0.004951594216342	-5.30804569034551	8	7	0.0182291666666667	384	1039	53374,60322,59031,269941,78923,77590,58250	Chst3,Chst7,Chst12,Chsy1,Chsy3,Chst15,Chst11
MOUSE_PWY3DJ-1	cyclic AMP biosynthesis	0.0129865487107921	-4.34384117176171	58	30	0.078125	384	1039	20028,11514,54153,210293,14687,99326,11513,73910,67299,216991,66922,66691,216363,11517,76088,224129,69632,53869,270192,216439,210044,11516,23881,114713,380711,69993,14697,105445,109934,110279	Pdc,Adcy8,Rasa4,Dock10,Gnaz,Garnl3,Adcy7,Arhgap18,Dock7,Adap2,Rras2,Gapvd1,Rab3ip,Adcyap1r1,Dock8,Adcy5,Arhgef12,Rab11a,Rab6b,Agap2,Adcy2,Adcyap1,G3bp2,Rasa2,Rap1gap2,Chn2,Gnb5,Dock9,Abr,Bcr
MOUSE_PWY3DJ-7	cyclic GMP biosynthesis	0.0179322581865839	-4.0211540547007	13	9	0.0234375	384	1039	54195,242202,18160,225600,14919,14917,18587,18585,110855	Gucy1b1,Pde5a,Npr1,Pde6a,Gucy2e,Gucy2c,Pde6b,Pde9a,Pde6c
MOUSE_PWY-5173	superpathway of acetyl-CoA biosynthesis	0.0282661153038391	-3.56609153080304	6	5	0.0130208333333333	384	1039	68263,235339,104112,13382,18598	Pdhb,Dlat,Acly,Dld,Pdha2
MOUSE_PWY-46	putrescine biosynthesis III	0.0282661153038391	-3.56609153080304	6	5	0.0130208333333333	384	1039	18247,54375,53814,242669,18263	Oaz2,Azin1,Oaz3,Azin2,Odc1
MOUSE_GLYCLEAV-PWY	glycine cleavage complex	0.0502344560276663	-2.99105411267897	3	3	0.0078125	384	1039	434437,104174,13382	Amt,Gldc,Dld
MOUSE_GLUTATHIONESYN-PWY	glutathione biosynthesis	0.0502344560276663	-2.99105411267897	3	3	0.0078125	384	1039	14854,14629,14630	Gss,Gclc,Gclm
MOUSE_PWY-6569	chondroitin sulfate biosynthesis	0.05384631233421	-2.92162135805499	17	10	0.0260416666666667	384	1039	233781,60322,280645,76898,269941,77590,78923,53374,59031,58250	Xylt1,Chst7,B3gat2,B3gat1,Chsy1,Chst15,Chsy3,Chst3,Chst12,Chst11
MOUSE_PYRUVDEHYD-PWY	acetyl-CoA biosynthesis (from pyruvate)	0.0652400004789828	-2.72968249388747	5	4	0.0104166666666667	384	1039	235339,68263,18598,13382	Dlat,Pdhb,Pdha2,Dld
