TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
2.10.25.10	Laminin	4.56055254440507e-16	-35.3239176997005	220	144	0.0234413153182484	6143	15921	18419,16416,16774,14115,16414,16412,13003,545370,56363,16772,73230,21826,18792,57764,230316,14114,16775,11839,24087,15245,21802,13612,13874,211323,12614,54485,20564,19128,20562,17304,16420,21827,16777,208777,56079,81877,238680,17174,11899,80883,17287,66864,214058,215384,14725,16971,66797,64706,240675,230971,16419,171171,70945,12223,636808,20563,21923,53883,65969,14119,192187,192897,54003,17064,268977,16998,71920,23876,24117,268780,18302,16773,18190,226255,18208,192188,13389,14107,329628,19224,22283,13645,56788,338352,268935,17288,20344,16421,14118,102635496,13733,21828,667277,16780,353156,23965,21667,23928,17183,226243,13388,18209,23792,216616,53321,23964,16974,23966,171508,634731,620292,94217,245827,75740,107934,18189,52614,170571,320910,18191,18131,16997,26364,18074,14068,329278,628870,241324,52020,270120,15530,320924,70445,77446,11496,18791,170788,16782,22359,228357,114249,100042150,16449,21960	Otog,Itgb3,Lama3,Fbln2,Itgb2,Itgb1,Vcan,Hmcn1,Tmeff2,Lama1,Bmper,Thbs2,Plau,Ntn4,Megf9,Fbln1,Lama4,Areg,Tll2,Hhip,Tgfa,Edil3,Ereg,Nrg1,Celsr1,Dll4,Slit3,Pros1,Slit1,Mfge8,Itgb6,Thbs3,Lamb1,Sned1,Astn2,Tnxb,Cntnap3,Masp1,Astn1,Ntng1,Mep1a,Clec14a,Megf11,Fcgbp,Lrp2,Lrp1,Cntnap2,Scube1,Vwa2,Megf6,Itgb5,Ntng2,Mmrn1,Btc,Cntnap5a,Slit2,Tnc,Celsr2,Cubn,Fbn2,Stab1,Itgb4,Nell2,Cd93,Ltbp1,Ltbp3,Epgn,Fbln5,Wif1,Egflam,Oit3,Lama2,Nrxn2,Atrnl1,Ntn1,Stab2,Dll3,Fat1,Fat4,Ptgs1,Ush2a,Egf,Scube2,Nell1,Scube3,Mep1b,Selp,Itgb7,Fbn1,Malrd1,Adgre1,Thbs4,C1rb,Lamb3,Egfl7,Tenm3,Cripto,Lamc3,Matn4,Habp2,Dll1,Ntn3,Adam23,Efemp1,Cntnap1,Tenm2,Lrp6,Tenm4,Creld1,Susd1,Cntnap5c,Lrp1b,Fat2,Egfem1,Celsr3,Nrxn1,Adgre4,Cntnap4,Itgb8,Nrxn3,Notch3,Ltbp2,Adgre5,Nid2,F7,Tnn,Otogl,Crb2,Umodl1,Fat3,Hspg2,Ccbe1,Cd248,Heg1,Adam22,Plat,Crb1,Lamc2,Vldlr,Lrp4,Npnt,Nrg2,Jag1,Tnr
2.30.29.30	Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB)	3.55428339344875e-13	-28.6654527430757	415	232	0.0377665635682891	6143	15921	244867,224093,13822,50915,13824,21961,11784,110279,105445,226971,106766,213649,320129,333605,19385,213556,268534,331374,19418,72145,11787,109934,109294,26558,77531,215632,319939,68018,78473,245684,216190,223254,11820,57257,74309,20741,27260,69632,234353,231532,76303,106326,263406,72318,235283,101540,29809,19229,20649,70549,77300,16560,71096,223435,26422,75901,277360,140580,68732,114715,14083,69239,226970,230837,26557,16369,107022,71302,210376,320495,232237,26382,71801,71729,347722,13196,18015,78255,13132,24055,71310,19417,18016,19157,353047,76829,218203,240505,24000,19414,233765,241639,19249,210293,114713,231999,207798,545156,78514,216527,13448,80877,216439,114716,269615,211914,212285,69710,319934,194231,114255,269608,14783,80297,67016,243621,71435,54357,71704,27276,271849,209630,54384,219135,241075,207212,94190,18799,17698,227737,545030,57915,240753,24001,231134,622434,76117,19877,98496,233315,232970,50780,73178,227743,227333,625638,219140,20947,11804,13605,102098,384783,18201,232288,26377,54610,544817,228788,16452,13131,75547,545622,216991,224650,14388,75415,226751,213522,13823,208177,224860,27062,546134,71720,245666,239027,17922,18222,217169,666060,83435,210789,72754,79196,14026,13998,381605,319924,227120,21844,22325,102595,231717,53972,69601,70292,268783,54353,102075,103967,19415,18760,20742,26556,16428,54126,17207,21682,16561,18805,74486,623279,230972,106877,13429,110596,216445,213783,380921,19159,74002,26936,54153,319710,218952,109135,215280,16367,232227,13821,228564,17909	Arhgap20,Fam43a,Epb41l2,Grb14,Epb41l4a,Tns1,Apba2,Bcr,Dock9,Plekhb2,Stap2,Arhgef19,Grk3,Frmpd4,Ranbp1,Plekhh2,Sntg2,Dgkk,Rasgrf2,Wdfy3,Apbb2,Abr,Prex2,Homer3,Anks1b,Psd4,Tns3,Cert1,Skap1,Cnksr2,Appl2,Farp1,App,Vav3,Osbp2,Sptb,Plek2,Arhgef12,Psd3,Arhgap24,Osbp,Osbpl11,Plekhg3,Cyth4,Gramd1b,Prkd2,Rabgap1l,Ptk2b,Sntb1,Tln2,Raph1,Kif1a,Sntg1,Trio,Nbea,Dcp1a,Prex1,Elmo1,Carmil1,Spred1,Ptk2,Pdzph1,Arhgef4,Asap3,Homer2,Irs3,Gramd2b,Arhgap26,Mtmr9,Ipcef1,Fgd5,Fgd2,Plekhf2,Rgs12,Agap1,Asap1,Nf1,Ralgps2,Dab2,Sh3bp2,Tbc1d9,Rasgrf1,Nf2,Cyth1,Plekhm1,Dok5,Mylip,Cdc42bpg,Ptpn21,Rasa3,Plekha7,Fermt1,Ptpn13,Dock10,Rasa2,Plekha8,Gramd1c,Kalrn,Arhgap10,Ccm2,Dok1,Lrba,Agap2,Spred2,Plch2,Asap2,Arap2,Arap1,Sbf2,Cnksr1,Dok4,Plekhg5,Grb10,Sptbn4,Tbc1d2b,Iqsec3,Arhgap21,Epb41l4b,Arhgef3,Plekhb1,Shc4,Frmd4a,Mtmr7,Mtmr6,Plekhm3,Arhgef17,Ophn1,Plcd1,Msn,Niban2,Wdfy4,Tbc1d1,Plekha6,Tiam2,Dok7,Arhgef26,Arhgap15,Rock1,Pid1,Mtmr10,Phldb3,Rgs3,Wasl,Mapkap1,Dgkd,Fam43b,Spata13,Swap70,Aplp2,Ect2,Arhgef18,Irs2,Nsmaf,Frmd4b,Dapp1,Tbc1d8,Arhgap27,Ccm2l,Jak2,Dab1,Akap13,Ptpn3,Adap2,Anks1,Gab1,Arhgap12,Cdc42bpa,Plekhg6,Epb41l3,Phldb2,Plcl2,Cadps,Gramd2a,Osbpl3,Iqsec2,Arhgap22,Myo7b,Numb,Tns4,Frmpd1,Plekha3,Tbc1d4,Arhgef10l,Osbpl5,Evl,Fgd6,Tbc1d2,Apba1,Plcl1,Tiam1,Vav2,Plekho2,Pheta1,Ngef,Dab2ip,Afap1,Mtmr12,Skap2,Plekhg4,Dnm3,Rasal1,Prkd1,Sptbn1,Homer1,Itk,Arhgef7,Mcf2l,Tec,Kif1b,Pld1,Osbpl10,Dok6,Arhgef16,Afap1l1,Dnm1,Arhgef28,Arhgap9,Plekhg1,Dgkh,Cyth3,Psd2,Mprip,Rasa4,Frmd6,Fermt2,Plekha5,Wipf1,Irs1,Iqsec1,Epb41l1,Frmd5,Myo10
2.60.40.10	Immunoglobulins	1.41336845633279e-12	-27.2850452844827	741	378	0.0615334527104021	6143	15921	12818,192198,12518,99709,68810,99663,195564,14600,16206,68802,54725,15979,16590,19283,19263,107589,667977,22283,210801,16160,269959,207683,240916,14999,13591,19649,70693,237313,52855,12479,21960,50723,328830,319742,14184,78252,117606,71306,320027,66482,83964,102657,170643,26365,233274,14129,54167,12268,93695,224756,238555,18566,19079,98752,244653,224792,13052,331461,19281,29817,16980,225638,20320,13593,19274,16337,751864,58235,13003,13853,12950,56030,12487,12804,636931,68709,18844,16195,237523,229473,11595,15018,215494,77739,19294,246256,268902,242702,80890,242384,243743,74185,18613,330908,21838,171285,75690,12481,71687,18212,224761,12501,14183,19882,13842,12477,229499,60367,18595,241568,57278,19221,242235,399558,12982,114872,110558,104601,19264,15530,242700,107527,100317,228598,329919,20349,13828,320563,84004,630146,105653,114873,110557,116904,545812,70530,74603,231668,66673,13840,269473,208777,238205,319448,13857,18488,16190,276891,230623,27028,16880,26436,235402,101434,16423,72007,67703,230622,231805,14963,620235,20660,213262,16192,12519,19273,241116,19876,74761,13836,235505,239857,230735,19268,12522,56491,14066,57914,107448,217303,22253,72431,330222,207777,11790,237979,56741,632126,110173,242627,668101,17295,72333,18007,228592,26438,320181,18034,210094,107449,320840,98365,16979,231760,15000,319504,100042150,14254,320772,286940,75345,13508,19266,52020,60504,81840,235106,13838,14182,67784,330483,15976,72058,73181,18213,54712,53311,15975,235281,14257,12316,230613,210108,54215,68794,16199,114871,319636,100039795,81877,232345,26564,12661,16542,208154,106347,20354,330863,83382,77727,19668,19272,224754,66601,80891,71740,17085,230828,13841,28105,80719,17136,21816,78908,26456,396184,22364,15980,192897,17086,14125,109272,192190,54343,407814,84543,107250,21923,13837,16188,18018,226438,547431,19270,21367,108097,224753,15896,19698,15006,320398,16178,13723,105827,78789,19280,17930,545156,14972,20346,269784,53604,240095,71566,244682,13844,13176,18019,211739,53870,12231,26367,71461,14186,20351,320256,26561,17836,117586,329278,269116,381484,66996,80749,68655,22174,545902,58998,17968,27218,16456,12516,217306,12816,68753,16161,13839,211323,246746,16174,223435,16001,84544,16177,277432,233067,70911,243864,243339,241636,58178,13848,545370,16194,268780,100072,230868,17967,12835,12506,17082,23920,14985,271375,20353,235472,68481,232790,69675,268890,26563,78911,213208,74748,18414,75426,16197,15139	Col14a1,Lrrc4,Cd79a,Clca4b,Nexn,Clca4a,Skint3,Ghr,Lrig1,Mypn,Cadm1,Ifngr1,Kit,Ptprz1,Ptprb,Mylk,H2-T26,Ush2a,Unc5d,Il12b,Adamtsl3,Igsf11,Vsig8,H2-DMb1,Ebf1,Robo3,Adgra3,Il20ra,Lair1,Cd1d1,Tnr,Icosl,A530064D06Rik,Mpzl3,Fgfr3,Nxpe2,Boc,Mfap3l,Fstl4,Exoc2,Jam3,Cd276,Kirrel1,Ceacam1,Siglech,Fcgr1,Icos,C4b,Gpnmb,H2-M1,Btn2a2,Pdcd1,Prkab1,Fcrla,Hydin,Adgrf5,Cxadr,Il1rapl1,Ptprt,Igfbp7,Lrrn2,Alpk2,Nptn,Ebf3,Ptprm,Insr,Sirpd,Nectin1,Vcan,Epm2a,Hapln1,Tmem131,Cd28,Cntfr,Trim71,Cilp2,Plxna1,Il6st,Ptprq,Tmem131l,Acan,H2-Q7,Pomgnt2,Adamtsl1,Nectin2,Fcgr4,Robo2,Myom3,Trim2,Lingo2,Plxna4,Gbe1,Pecam1,Opcml,Thy1,Havcr2,Vsig10l,Cd2,Tmem25,Ntrk2,H2-M10.5,Cd3e,Fgfr2,Mst1r,Epha8,Ctla4,Fcrl1,Il1rapl2,Pdgfra,Lrrc4c,Bcam,Ptgfrn,Lrit3,Flrt2,Csf2ra,Psg29,H2-Q9,Mycbpap,Ptprc,Hspg2,Ifnlr1,Il1rl2,AU040320,Ebf4,Skint2,Sema3e,Epb42,Islr2,Mcam,Cd101,Phyhip,Dscaml1,H2-Q6,Alpk3,Pilrb2,Lrfn2,Cd200r3,Vsig10,Sorcs3,Epha6,Lrig2,Sned1,Lrfn5,Fndc3a,Epor,Cntn3,Il4ra,Timd4,Skint11,Ermap,Lifr,Psg16,Lingo1,Ceacam15,Cd47,Fndc3b,Kirrel3,Skint6,Pilra,H2-Bl,Siglec15,Sorl1,Fstl5,Il5ra,Cd80,Ptpru,Cfap65,Robo1,Mxra8,Epha2,Cd109,Cadm2,Epha10,Ptprf,Cd83,Vapb,F3,Crlf2,Unc5a,Cd300a,Unc5c,Ceacam18,Sdk1,Tspoap1,Speg,Sdk2,Igdcc4,Btnl4,Manba,Skint5,Sirpb1b,Met,Palld,Neo1,F830045P16Rik,Psg18,Fndc7,Nfkb2,Iglon5,Unc5b,Negr1,Slamf9,Lrrn1,Rimbp2,H2-DMb2,Nrcam,Nrg2,Flt1,Mdga2,Flnb,Slamf7,Dscam,Ptprd,Umodl1,Il21r,Sorcs2,Ntm,Epha4,Fgfr1,Plxnd1,Ceacam16,Ifnar2,Igsf5,Nfatc4,Ntrk3,Plxnc1,Mybph,Ifnar1,Scn3b,Flt4,Aspm,Skint10,D130043K22Rik,Cd160,Flnc,Il9r,Psg28,Fsd1l,Ildr2,Tnxb,A2m,Ror2,Chl1,Kdr,Btla,Ildr1,Sema4d,Trim67,Siglece,6030468B19Rik,Rbpjl,Ptprk,H2-M11,Tmigd1,Fcrl2,Nectin4,Ly9,Il22ra1,Epha7,Trim36,Igsf6,Mag,Tgm1,Igsf3,Sema4g,Flrt1,Vpreb3,Ifngr2,Itgb4,Ncr1,Fcer1a,Mybpc1,Pkhd1l1,Atf7ip,Timd6,Sval2,Kazald1,Tnc,Epha3,Il3ra,Nfatc1,Igfn1,Btnl2,Ptprg,Cntn2,Prkab2,H2-M10.4,Icam2,Relb,H2-Q1,Lrig3,Il1r2,Emb,Amigo2,Vsig1,Ptprs,Myom2,Kalrn,H2-K1,Sema3a,Cntn4,Zpbp,H2-M5,Clmp,Cntn5,Ephb2,Dcc,Nfatc2,Vstm2a,Cntn6,Btn1a1,Ceacam2,Ptk7,Fgfr4,Sema4a,Dlec1,Mmp23,Mug1,A1bg,Tnn,Nfasc,Gm5150,Ceacam11,Lrfn1,Fndc1,Tyro3,Ptprh,Nectin3,Ncam2,Slamf1,F11r,Cd7,Cd300e,Col12a1,Mybphl,Il12rb1,Epha5,Nrg1,Cd300lf,Il18rap,Trio,Igf1r,Cd96,Il1r1,Vstm2l,Lrfn3,Phyhipl,Mill2,Tmem130,Tgm6,Sorcs1,Ephb6,Hmcn1,Il6ra,Egflam,Camta1,Igsf21,Ncam1,Col6a3,Cd48,Il1rl1,Insrr,H2-M10.1,Cd200r2,Sema4c,Prtg,Mpzl1,Oscar,Pxdn,Lsamp,Ror1,Trim42,Il20rb,Slamf8,Osmr,Igfbpl1,Il7r,Hc
1.10.287.70	-	6.41037269350018e-10	-21.1679335181864	148	94	0.0153019697216344	6143	15921	20192,14799,16493,16531,12288,58226,252972,15168,210741,20269,16518,16439,74571,66733,12292,338370,16490,238271,99738,20190,76645,110880,192775,98741,380728,24046,26946,110862,16492,20271,16538,16494,12290,20265,244646,16508,20272,16529,330953,72258,12286,56543,239556,20274,240444,15165,14812,12790,18766,18764,16517,14800,16512,16514,382571,16516,16515,22065,16500,211468,16539,12287,16524,16526,14805,12289,16522,16440,140493,241794,14804,16525,14806,16485,268345,332396,68279,53623,329954,217826,60613,16438,56379,16510,223604,16535,14807,20191,16527,20273,16532,140492,16536,333329	Ryr3,Gria1,Kcna5,Kcnma1,Cacna1c,Cacna1h,Tpcn1,Hcn3,Kcnk12,Scn3a,Kcnj2,Itpr2,Kcnk16,Kcng4,Cacna1s,Nalcn,Kcna2,Kcnh5,Kcnc4,Ryr1,Pkd1l2,Scn4a,Kcnh6,Kcnb2,Kcnh4,Scn11a,Trpc7,Kcnq3,Kcna4,Scn5a,Kcns1,Kcna6,Cacna1e,Scn1a,Pkd1l3,Kcnd2,Scn7a,Kcnk5,Hcn4,Kcnk10,Cacna1a,Kcnd3,Cacna1i,Scn9a,Kcng2,Hcn1,Grin2b,Cnga3,Pkdrej,Pkd2,Kcnj16,Gria2,Kcnh3,Kcnj11,Kcnf1,Kcnj15,Kcnj12,Trpc3,Kcnb1,Kcnh8,Kcns2,Cacna1b,Kcnj9,Kcnk2,Grik1,Cacna1d,Kcnj6,Itpr3,Kcnn3,Kcng1,Grid2,Kcnk1,Grik2,Kcna1,Kcnc2,Kcnk18,Mcoln2,Gria3,Catsper4,Kcnk13,Kcnq4,Itpr1,Kcnj1,Kcnh1,Kcnk9,Kcnq1,Grik3,Ryr2,Kcnk3,Scn8a,Kcnu1,Kcnn2,Kcnq2,Cngb1
2.60.120.200	-	6.57093511425624e-09	-18.840609683641	119	77	0.0125345922187856	6143	15921	71355,16854,21827,70361,19128,20562,71738,20564,26422,12614,12839,12823,12818,53321,77998,620292,17287,18187,12816,238680,19274,338352,22283,19272,110789,16772,17288,23850,73316,16774,19281,21826,16775,21828,216551,102635496,16857,53867,121021,80877,243277,15530,270120,241324,20219,16859,54003,170788,16773,18190,73340,268780,114249,18693,14107,19146,320772,329628,18491,12819,19273,107581,18189,66797,107934,245827,215798,18191,170571,20563,69700,11682,636808,12822,252974,53883,20415	Col24a1,Lgals3,Thbs3,Lman1,Pros1,Slit1,Mamdc2,Slit3,Nbea,Celsr1,Col9a1,Col19a1,Col14a1,Cntnap1,Grifin,Cntnap5c,Mep1a,Nrp2,Col12a1,Cntnap3,Ptprm,Nell1,Ush2a,Ptprk,Adgrv1,Lama1,Mep1b,Pappa2,Calr3,Lama3,Ptprt,Thbs2,Lama4,Thbs4,Lgalsl,Malrd1,Lgals6,Col5a3,Cspg4,Lrba,Adgrd1,Hspg2,Fat3,Crb2,Apcs,Lgals9,Nell2,Crb1,Lama2,Nrxn2,Nptxr,Egflam,Npnt,Pick1,Fat1,Tmprss15,Mdga2,Fat4,Pappa,Col15a1,Ptpru,Col16a1,Nrxn1,Cntnap2,Celsr3,Fat2,Adgrg6,Nrxn3,Cntnap4,Slit2,Col22a1,Alk,Cntnap5a,Col18a1,Tspear,Celsr2,Shbg
1.10.10.60	Homeodomain-like	6.68151912160563e-09	-18.8239204618384	325	176	0.0286504965000814	6143	15921	228839,18933,672284,18609,17536,75507,18514,223843,21417,140477,195333,18742,66233,80892,13393,13796,546024,18092,217031,27217,18094,54352,18997,27140,16875,237029,13395,20602,18935,71702,18740,22770,19434,11878,18994,21410,15408,13799,116871,14028,228731,20472,21909,245596,15417,18423,17702,219150,15414,19009,208076,231044,100039913,11695,15423,16871,18089,252830,15284,15430,14843,15407,20231,18508,18736,71597,17286,15426,18986,15425,17285,18291,384452,16392,18998,22255,15410,64379,110648,15432,12590,269585,12023,15402,18509,13390,21869,244813,15401,16870,269610,18516,246086,14836,22326,18999,216285,17537,15371,20204,210162,109663,16815,14029,74318,16874,16872,13172,13394,18096,14912,13392,16371,16917,18505,71468,18095,18988,21908,194588,225631,17701,54422,13047,20230,387609,209448,18771,12022,11859,20475,15396,104382,20476,15395,68703,668814,11906,15416,21815,11694,20429,15285,239099,212712,666528,23857,15415,13798,18091,16373,15399,21749,14842,93762,12677,24136,12020,238317,70427,664783,244059,15413,18741,13048,18424,13418,224829,17703,320790,20473,15436,71389,14472,71950,15242	Tgif2,Prrx1,Nkx1-1,Pdx1,Meis2,Pou5f2,Pbx1,Dbx2,Zeb1,Dmbx1,Gsc2,Pitx3,Dmap1,Zfhx4,Dlx3,Emx1,Crxos,Nkx2-6,Tada2a,Mixl1,Nkx2-9,Irx5,Pou4f2,Tlx3,Lhx8,Dmtf1l,Dlx5,Ncor2,Phox2b,Cdc5l,Pitx1,Zhx1,Rax,Arx,Pou3f4,Hnf1b,Hoxb13,En2,Mta3,Evx1,Nkx2-4,Six2,Tlx2,Hdx,Hoxb9,Otx1,Msx2,Hmbox1,Hoxb6,Pou6f1,Pknox2,Gbx1,Rhox2b,Alx4,Hoxc4,Lhx3,Nkx2-3,Obox6,Hlx,Hoxd10,Gsx2,Hoxb1,Nkx1-2,Pax6,Pou1f1,Isx,Meox2,Hoxc8,Pou2f1,Hoxc6,Meox1,Nobox,Noto,Isl1,Pou4f3,Uncx,Hoxb3,Irx6,Lmx1a,Hoxd12,Cdx1,Zscan20,Barx2,Hoxa5,Pax7,Dlx1,Nkx2-1,Bsx,Hoxa4,Lhx2,Chd5,Pbx3,Onecut3,Gsc,Vax1,Pou5f1,Alx1,Meis3,Hmx1,Prrx2,Zkscan2,Hoxc11,Lbx2,Evx2,Hopx,Lhx6,Lhx4,Dbx1,Dlx4,Nkx6-1,Nkx6-2,Dlx2,Irx1,Lmx1b,Pax3,Obox1,Nkx3-1,Pou2f3,Tlx1,Obox7,Onecut2,Msx1,Barhl1,Cux1,Satb1,Zhx2,Hoxc10,Pknox1,Barx1,Phox2a,Six5,Hoxa11,Barhl2,Six6,Hoxa10,Rere,Gm9376,Zfhx3,Hoxb8,Tgif1,Alx3,Shox2,Mnx1,Homez,Satb2,Zfp541,Dmtf1,Hoxb7,En1,Nkx2-5,Irx3,Hoxa2,Terf1,Gsx1,Smarca5,Vsx2,Zeb2,Nkx3-2,Mideas,Mier2,Dux,Chd2,Hoxb5,Pitx2,Cux2,Otx2,Dnajc1,Trerf1,Msx3,Chd7,Six3,Hoxd4,Chd6,Gbx2,Nanog,Hhex
2.30.42.10	-	7.89161564224449e-08	-16.3548798591771	152	91	0.0148136089858375	6143	15921	71729,74206,54120,217692,26875,210274,21844,319924,110380,59079,666060,330723,18693,14787,71228,14924,360013,19249,99470,93737,56376,207792,215748,73750,227929,118449,67903,68070,170720,59020,194231,27428,26941,54132,55983,74053,239618,71435,192786,50780,50791,17356,116838,24001,11784,380614,93742,16885,56213,245469,333605,268534,243725,76089,12695,244668,116837,58220,245684,21872,16886,72823,109294,16170,17475,140887,58234,213019,56524,21873,380928,18125,23859,56513,69632,27375,20649,328329,13384,50997,242274,545622,97998,69239,13385,56527,108723,277360,71096,78558,227157	Rgs12,Sipa1l3,Gipc2,Sipa1l1,Pclo,Shank2,Tiam1,Apba1,Shroom2,Erbin,Frmpd1,Htra4,Pick1,Rhpn1,Dlg5,Magi1,Myo18a,Ptpn13,Magi3,Pard6g,Pdlim5,BC034090,Cnksr3,Whrn,Cytip,Synpo2,Gipc1,Pdzd2,Card14,Pdzk1,Cnksr1,Shroom3,Nherf1,Pdlim1,Pdzrn3,Grip1,Pdzrn4,Arhgap21,Rapgef6,Rgs3,Magi2,Afdn,Rims2,Tiam2,Apba2,Intu,Pard3,Limk1,Htra1,Pdzd4,Frmpd4,Sntg2,Ppp1r9a,Rapgef2,Patj,Sipa1l2,Rims1,Pard6b,Cnksr2,Tjp1,Limk2,Pard3b,Prex2,Il16,Mpdz,Lnx2,Shank3,Pdlim2,Pals2,Tjp2,Lmo7,Nos1,Dlg2,Pard6a,Arhgef12,Tjp3,Sntb1,Mast4,Mpp3,Mpp2,Lrrc7,Ptpn3,Deptor,Pdzph1,Dlg4,Mast1,Card11,Prex1,Sntg1,Htra3,Mpp4
3.30.50.10	Erythroid Transcription Factor GATA-1, subunit A	3.25783940700185e-07	-14.9370314338897	57	41	0.00667426338922351	6143	15921	381463,13983,218772,18667,14465,19411,20186,19013,26423,22025,14460,83925,13865,110784,26380,18171,14464,225998,14462,18124,15370,15378,19883,217166,14463,21907,22337,19015,21834,14815,14536,229542,26381,26424,11819,22260,30942,11835,13982,20181,18227	Nr1h5,Esr2,Rarb,Pgr,Gata6,Rarg,Nr1h4,Ppara,Nr5a1,Nr2c1,Gata1,Trps1,Nr2f1,Nr3c2,Esrrb,Nr1i2,Gata5,Rorb,Gata3,Nr4a3,Nr4a1,Hnf4a,Rora,Nr1d1,Gata4,Nr2e1,Vdr,Ppard,Thrb,Nr3c1,Nr6a1,Gatad2b,Esrrg,Nr5a2,Nr2f2,Nr1h2,Hnf4g,Ar,Esr1,Rxra,Nr4a2
2.60.40.150	C2 domain	6.59971918643765e-07	-14.2310685503406	153	89	0.014488035161973	6143	15921	382077,116837,226101,18646,240752,109934,18755,110279,240058,241770,50780,234515,105445,116838,77945,211232,18761,18799,102278,20980,269180,55925,18750,19894,52357,330662,224860,226525,54526,18707,66313,54524,238130,77987,244049,18704,74562,18795,18706,74413,83672,83814,18705,210293,329152,242662,20981,83671,272636,30955,19415,114713,52055,78771,75767,225326,19414,69601,94253,74020,227120,74769,238266,26903,78610,26875,67299,329324,18783,100534273,211652,54473,12337,214804,20979,54153,17999,244585,76088,269615,110058,545192,68813,329502,208898,52635,382018,80976,18751	Ccdc33,Rims1,Myof,Prf1,Pik3c2b,Abr,Prkch,Bcr,Cpne5,Rims4,Rgs3,Inpp4b,Dock9,Rims2,Rpgrip1,Cpne9,Prkcq,Plcd1,Cpne7,Syt2,Inpp4a,Syt8,Prkca,Rph3a,Wwc2,Dock1,Plcl2,Rasal2,Syt10,Pik3cd,Smurf2,Syt6,Dock4,Ascc3,Mctp2,Pik3c2a,Fer1l4,Plcb1,Pik3ca,Tc2n,Sytl3,Nedd4l,Pik3c2g,Dock10,Hecw2,Rims3,Syt3,Sytl2,Esyt3,Pik3cg,Rasal1,Rasa2,Rab11fip5,Mctp1,Rab11fip1,Pik3c3,Rasa3,Dab2ip,Hecw1,Cpne4,Plcl1,Pik3cb,Syt16,Dysf,Uvrag,Pclo,Dock7,Syt14,Pla2g4a,Fer1l5,Wwc1,Tollip,Capn5,Syde2,Syt1,Rasa4,Nedd4,Rpgrip1l,Dock8,Plch2,Syt17,Baiap3,Dock5,Pla2g4e,Unc13c,Esyt2,Unc13a,Syt13,Prkcb
4.10.280.10	Helix-loop-helix DNA-binding domain	1.03636049009872e-06	-13.7797955112365	111	68	0.0110695100113951	6143	15921	207806,20464,17172,21406,50913,277353,18071,20465,56184,16918,59058,100039596,79362,140489,17681,67341,53404,17878,20289,21425,15110,20787,11921,21413,21407,209446,15214,69852,58805,12753,17428,15213,11925,13819,21350,272322,13345,94222,19213,15901,22160,18109,320522,21412,11922,15207,15903,17979,11924,114712,71093,18072,11865,17928,18012,50914,11624,84653,17095,27386,234219,18014,15205,15251,17342,18142,17173,11864	Usf3,Sim1,Ascl1,Tcf12,Olig2,Tcfl5,Nhlh1,Sim2,Msgn1,Mycl,Bhlhe22,Tcf24,Bhlhe41,Bhlhe23,Msc,Ascl4,Atoh7,Myf6,Scx,Tfeb,Hand1,Srebf1,Atoh1,Tcf4,Tcf15,Tfe3,Hey2,Tcf23,Mlxipl,Clock,Mnt,Hey1,Neurog3,Epas1,Tal2,Bmal2,Twist2,Olig3,Ptf1a,Id1,Twist1,Mycn,Bhlha9,Tcf21,Neurod6,Hes3,Id3,Ncoa3,Neurog2,Ferd3l,Atoh8,Nhlh2,Bmal1,Myog,Neurod1,Olig1,Ahrr,Hes7,Lyl1,Npas3,Helt,Neurog1,Hes1,Hif1a,Mitf,Npas1,Ascl2,Arnt2
