TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
13385	Dlg4 (discs large MAGUK scaffold protein 4)	2.41747973931233e-11	-24.4457104554672	356	207	0.0433235663457514	4778	11667	16498,50884,54377,26556,212999,229658,108069,210274,14677,19229,217692,69601,18195,18451,14799,19055,16490,140580,108073,216011,16492,380785,234023,234267,56371,235044,77531,319387,16561,72828,13489,245684,11928,104015,243548,68842,12934,11845,71770,14800,13176,16572,12322,19088,16971,14020,14400,319504,26422,54401,14395,11418,72416,14405,18751,66860,20720,19159,70620,14805,18704,52389,58234,21838,242667,16508,228836,20979,238130,20411,58194,54357,230775,80749,13385,224650,23964,331461,546049,70350,223666,16485,215748,18189,19053,14813,20112,217219,20511,622434,93840,56320,228136,319565,71069,14812,19763,11941,229791,228071,268373,74007,11472,54376,26557,13508,14086,244310,64009,64337,12300,20352,16494,14401,83814,237353,26558,69908,20353,224997,54403,23859,71902,381290,18212,232813,76886,11735,19035,18749,18039,54712,53382,20779,13869,22627,76884,209027,330914,70546,20742,17967,21366,14806,14406,243312,56379,241568,67295,75409,13193,237979,67916,11838,109934,15558,234214,14544,15194,100039795,12041,207728,225791,74012,58807,545156,544963,70530,333605,232227,19415,242274,241638,216439,14811,22631,23984,18125,16432,12343,66589,14394,14083,81905,246317,102193,56298,67951,214230,99470,13823,72555,245666,14814,53321,50997,53623,16522,216739,64930,11496,239667,16517,20355,226251,665113,207393	Kcnab2,Nckap1,Cacng4,Homer1,Tnpo2,Vangl1,Grm3,Shank2,Gnai1,Ptk2b,Sipa1l1,Dab2ip,Nsf,P4ha1,Gria1,Ppp3ca,Kcna2,Elmo1,Grm7,Lrrc20,Kcna4,Begain,Arglu1,Gpm6a,Fzr1,Plppr2,Anks1b,Adgrl3,Kif1b,Ubash3b,Drd2,Cnksr2,Atp1a1,Synj1,Prickle2,Tulp4,Dpysl2,Arf6,Ap2b1,Gria2,Dcc,Kif5a,Camk2a,Prkar2b,Lrp1,Evi5,Gabrb1,Nrcam,Nbea,Ywhab,Gabra2,Asic2,Lrpprc,Gabrg1,Prkcb,Tanc1,Serpine2,Cyth3,Ube2v2,Grik1,Pik3c2a,Adgra1,Shank3,Thy1,Dlgap3,Kcnd2,Dlgap4,Syt1,Dock4,Sorbs1,Sh3kbp1,Epb41l4b,Adgrb2,Lrfn1,Dlg4,Anks1,Tenm2,Il1rapl1,Rps23rg1,Basp1,Arhgap39,Kcna1,Cnksr3,Nrxn1,Ppp2cb,Grin2c,Rps6ka2,Fam171a2,Slc1a2,Arhgef26,Vangl2,Dbn1,Zdhhc5,Syne2,Stox2,Grin2b,Ring1,Atp2b2,Plppr4,Sestd1,Ppia,Abtb3,Actn2,Cacng3,Homer2,Dscam,Fscn1,Dlgap2,Syne1,Gng13,Cacng2,Sema4b,Kcna6,Gabrb2,Nedd4l,Sh3rf3,Homer3,Rab3b,Sema4c,Dlgap1,Slc4a4,Dlg2,Cand1,Atp2b4,Ntrk2,Shisa7,Fam81a,Ank3,Ppib,Prkacb,Nefl,Plxnc1,Txnl1,Src,Erbb4,Ywhae,Cyfip2,Pycr1,Arhgap32,Zdhhc2,Sptbn1,Ncam1,Slc6a6,Grik2,Gabrg2,Elfn1,Kcnj1,Lrrc4c,Rab3c,Slitrk5,Dcx,Sdk2,Plpp3,Arc,Abr,Htr2a,Sorbs2,Gda,Htt,Ildr2,Bckdk,Pde2a,Ptgr3,Rap2b,Slco1c1,Kalrn,Iqgap2,Lrfn2,Frmpd4,Iqsec1,Rasal1,Lrrc7,Lzts3,Agap2,Grin2a,Ywhaz,Pde10a,Nos1,Itm2b,Capza2,Ube2v1,Gabra1,Ptk2,Cacng8,Neto1,Zdhhc7,Atl2,Tubb6,Pak6,Magi3,Epb41l3,Shisa9,Iqsec2,Grin2d,Cntnap1,Mpp2,Gria3,Kcnj6,Acsl6,Tsc1,Adam22,Dip2b,Kcnj16,Sema4f,Ablim1,Tnik,Elfn2
216439	Agap2 (ArfGAP with GTPase domain, ankyrin repeat and PH domain 2)	1.74966793587779e-10	-22.466424910937	194	123	0.0257429886982001	4778	11667	234214,226525,319504,26422,83767,11772,12933,217882,19088,14800,12322,12934,76089,18772,71770,104015,56013,218194,20742,245684,21960,12290,13196,77531,235661,70549,20779,11931,76884,20320,54216,18039,56443,14687,18749,56491,259302,227753,207565,327814,11735,19055,18538,23859,224997,60595,14799,18015,69601,11764,320706,14677,50720,116838,19229,108069,17760,26875,210274,26556,83679,50884,235072,381813,665113,64009,14816,243725,244310,243621,109711,26557,192167,14683,13426,18040,18750,12540,13429,223435,14682,13000,14812,140887,320472,245666,213109,244418,56320,13823,17754,56508,75599,17999,268566,223666,13822,14083,13175,17968,13385,13821,67824,116837,14811,242274,108071,66797,268980,19415,228836,20411,232227,544963,242667,26414,545156,58234,12297,18751,209456,229949,102098	Sorbs2,Rasal2,Nrcam,Nbea,Wasf1,Ap2a2,Crmp1,Cep170b,Prkar2b,Gria2,Camk2a,Dpysl2,Rapgef2,Pkp1,Ap2b1,Synj1,Srcin1,Phactr1,Sptbn1,Cnksr2,Tnr,Cacna1e,Asap1,Anks1b,Dync1li1,Tln2,Src,Atp1b1,Cyfip2,Nptn,Pcdh7,Nefl,Arpc1a,Gnaz,Prkacb,Vapb,Srgap3,Gsn,Camkk2,Ppfia2,Ank3,Ppp3ca,Pcna,Dlg2,Dlgap1,Actn4,Gria1,Nf1,Dab2ip,Ap1b1,Mtcl2,Gnai1,Sacs,Rims2,Ptk2b,Grm3,Map6,Pclo,Shank2,Homer1,Pde4dip,Nckap1,Septin7,Prmt8,Tnik,Syne1,Grm1,Ppp1r9a,Dlgap2,Iqsec3,Actn1,Homer2,Nlgn1,Gnas,Dync1i1,Nefm,Prkca,Cdc42,Dnm1,Trio,Gnaq,Csnk2a2,Grin2b,Lnx2,Ppm1e,Iqsec2,Phf3,Prag1,Dbn1,Epb41l3,Map1a,Rapgef4,Pcdh1,Nedd4,Gphn,Arhgap39,Epb41l2,Ptk2,Dclk1,Ncam2,Dlg4,Epb41l1,Nmral1,Rims1,Grin2a,Lrrc7,Grm5,Cntnap2,Strn,Rasal1,Dlgap4,Sorbs1,Iqsec1,Iqgap2,Dlgap3,Mapk10,Kalrn,Shank3,Cacnb3,Prkcb,Trp53bp2,Ak5,Arhgef18
545156	Kalrn (kalirin, RhoGEF kinase)	4.50583301615965e-08	-16.9153079607382	61	46	0.00962745918794475	4778	11667	69601,67847,58234,16867,217692,224997,14609,26556,83679,269941,219181,18163,14805,18039,13385,238871,26913,208727,227937,74392,232813,20411,232227,320873,23859,66098,104027,216439,241638,13823,56508,20742,245684,14812,245666,338372,665113,243725,223435,53623,14800,228071,12322,11496,18040,109294	Dab2ip,Sncaip,Shank3,Lhcgr,Sipa1l1,Dlgap1,Gja1,Homer1,Pde4dip,Chsy1,Akap11,Ctnnd2,Grik1,Nefl,Dlg4,Pde4d,Gprin1,Hdac4,Pkp4,Specc1l,Shisa7,Sorbs1,Iqsec1,Cdh10,Dlg2,Chchd6,Synpo,Agap2,Lzts3,Epb41l3,Rapgef4,Sptbn1,Cnksr2,Grin2b,Iqsec2,Map3k9,Tnik,Ppp1r9a,Trio,Gria3,Gria2,Sestd1,Camk2a,Adam22,Nefm,Prex2
20607	Sstr3 (somatostatin receptor 3)	3.66658104057756e-07	-14.8188360196705	388	207	0.0433235663457514	4778	11667	269615,56044,100434,217517,15558,20536,69551,13384,235402,67703,12939,13642,12290,192198,11829,13723,56543,94229,14406,17967,58235,20409,20742,14432,68732,70425,70948,20359,110911,20779,57138,13869,268902,243274,18213,13844,18749,15165,19057,14401,16494,171469,70155,227059,12300,22192,14167,269109,108099,54403,20503,16905,11517,16897,64933,11496,69190,16522,14360,71729,12540,66482,260315,347722,54393,497097,53321,381813,14816,57440,108116,192167,14680,668212,75209,17988,232333,81905,13838,20981,11732,214230,241263,71966,20907,12168,50779,20614,14664,20512,14807,230085,58998,14394,19299,70757,23984,228850,56710,20510,18163,16423,71435,17357,18795,94185,83921,18007,13052,74012,234353,104718,22318,14400,110862,19414,269060,11773,242384,13176,224860,11938,14718,12286,13483,12801,11852,16412,68203,13382,71947,24012,11845,11928,66447,16590,74020,71436,242425,22253,100503659,208846,17475,19179,16490,19876,13116,70310,73442,20320,216028,56079,14697,14687,69713,71302,20274,228852,235072,98170,23945,22671,14677,83674,16536,229791,319655,18222,226527,11736,20541,18189,223666,16485,70350,72729,406218,110197,11941,74342,268345,16524,93840,23966,20511,27207,17169,58994,27276,108071,17448,97130,76156,16508,52635,11981,59033,17968,80718,230775,94219,110265,20525,14057,66368,243499,20265	Plch2,Rala,Slc44a1,Stxbp6,Htr2a,Slc4a3,2310022B05Rik,Mpp3,Lingo1,Kirrel3,Pcdha7,Efnb2,Cacna1e,Lrrc4,Aqp4,Emb,Kcnd3,Slc4a10,Gabrg2,Ncam1,Nectin1,Ostf1,Sptbn1,Gap43,Carmil1,Csnk1g3,Wdr20rt,Sema6b,Cds2,Src,Slc12a5,Erbb4,Robo2,Tmem132d,Ntrk3,Ephb2,Prkacb,Hcn1,Ppp3cc,Gabrb2,Kcna6,Gpr37l1,Ogfrl1,Slc39a10,Cacng2,Ube2m,Fgf12,Dpp10,Prkag2,Slc4a4,Slc16a7,Lmna,Adcyap1r1,Llgl1,Ap3m2,Adam22,Dym,Kcnj6,Fyn,Rgs12,Cdc42,Exoc2,Nav3,Agap1,Gabbr1,Xkr4,Cntnap1,Prmt8,Grm1,Ehd3,Slco3a1,Nlgn1,Gnal,Efr3b,Sv2c,Ndrg1,Slc6a1,Cacng8,Epha4,Syt3,Ank,Pak6,Gpr158,Nkiras2,Stx1a,Bmpr2,Rgs6,Snap25,Slc6a9,Slc1a3,Grik3,Phf24,Nectin3,Gabra1,Abcd3,Hacd2,Pde10a,Ralgapb,Brinp1,Slc1a1,Ctnnd2,Cd47,Arhgap21,Marcksl1,Plcb1,Tnfrsf21,Cemip2,Neo1,Cxadr,Rap2b,Psd3,Ttc7b,Vamp2,Gabrb1,Kcnq3,Rasa3,Dagla,Ap2m1,Lingo2,Dcc,Plcl2,Atp2a2,Got1,Cacna1a,Dpp6,Cnr1,Rhob,Itgb1,Diras2,Dld,Tmem94,Rgs7,Arf6,Atp1a1,Mgst3,Kit,Cpne4,Flrt3,Gabbr2,Unc5c,Cbarp,Daam1,Mpdz,Psmc1,Kcna2,Robo1,Cyp46a1,Plscr3,Hspa12a,Nptn,Lrrtm3,Astn2,Gnb5,Gnaz,Pin4,Arhgap26,Scn9a,Ppp1r16b,Septin7,Tmem132a,Mgll,Rnf112,Gnai1,Cnnm1,Kcnq2,Plppr4,Podxl2,Numb,Cryzl2,Ankfy1,Slc8a1,Nrxn1,Arhgap39,Kcna1,Basp1,Cdc42se2,Panx2,Dgkg,Atp2b2,Lrrtm1,Kcnc2,Kcnj9,Vangl2,Tenm4,Slc1a2,Rps11,Mark3,Smpd3,Plekhb1,Grm5,Mdh2,Nhsl3,Fam131b,Kcnd2,Esyt2,Atp9a,Slc4a8,Ncam2,Rab27b,Adgrb2,Cnnm2,Msra,Slc2a1,Sfxn1,Rtca,Lrrtm4,Scn1a
26556	Homer1 (homer scaffolding protein 1)	5.22151418998901e-07	-14.4653082164168	57	42	0.00879028882377564	4778	11667	54401,26408,67299,665113,22627,14816,21841,77579,83767,22631,13385,26557,27984,216439,241638,108071,67903,13429,18750,19055,12322,269784,268373,224997,14812,30948,17762,20191,545156,17967,58234,26558,20742,14804,210274,21960,15194,19159,16438,26556,83679,22629	Ywhab,Map3k5,Dock7,Tnik,Ywhae,Grm1,Tia1,Myh10,Wasf1,Ywhaz,Dlg4,Homer2,Efhd2,Agap2,Lzts3,Grm5,Gipc1,Dnm1,Prkca,Ppp3ca,Camk2a,Cntn4,Ppia,Dlgap1,Grin2b,Bin1,Mapt,Ryr2,Kalrn,Ncam1,Shank3,Homer3,Sptbn1,Grid2,Shank2,Tnr,Htt,Cyth3,Itpr1,Homer1,Pde4dip,Ywhah
241568	Lrrc4c (leucine rich repeat containing 4C)	1.35508328061789e-06	-13.5116476438107	60	43	0.00899958141481792	4778	11667	18795,72125,14401,13052,234353,54403,242667,14799,20512,23859,228836,20907,59079,108071,55963,242425,677884,100503659,242274,26913,59033,14697,13385,13821,235044,11829,319387,20511,217219,13823,73750,14406,14812,14800,229791,243312,241568,53860,75409,26422,207393,80883,14402	Plcb1,Amer2,Gabrb2,Cxadr,Psd3,Slc4a4,Dlgap3,Gria1,Slc1a3,Dlg2,Dlgap4,Stx1a,Erbin,Grm5,Slc1a4,Gabbr2,Pakap,Cbarp,Lrrc7,Gprin1,Slc4a8,Gnb5,Dlg4,Epb41l1,Plppr2,Aqp4,Adgrl3,Slc1a2,Fam171a2,Epb41l3,Whrn,Gabrg2,Grin2b,Gria2,Plppr4,Elfn1,Lrrc4c,Septin9,Slitrk5,Nbea,Elfn2,Ntng1,Gabrb3
20274	Scn9a (sodium channel, voltage-gated, type IX, alpha)	1.50890107565124e-06	-13.4041289365559	15	15	0.00313938886563416	4778	11667	20265,12289,17999,338370,24046,12934,12286,208727,20607,20271,170759,12287,12288,83814,235574	Scn1a,Cacna1d,Nedd4,Nalcn,Scn11a,Dpysl2,Cacna1a,Hdac4,Sstr3,Scn5a,Atp13a1,Cacna1b,Cacna1c,Nedd4l,Atp2c1
19262	Ptpra (protein tyrosine phosphatase receptor type A)	7.29502354558357e-06	-11.8283181483616	31	25	0.00523231477605693	4778	11667	19276,17967,19264,19249,19268,19283,19280,13196,18751,102278,14784,19274,19266,73122,19272,103967,19256,19267,237523,78610,13649,20607,19273,19247,545622	Ptprn2,Ncam1,Ptprc,Ptpn13,Ptprf,Ptprz1,Ptprs,Asap1,Prkcb,Cpne7,Grb2,Ptprm,Ptprd,Tgfbrap1,Ptprk,Dnm3,Ptpn20,Ptpre,Ptprq,Uvrag,Egfr,Sstr3,Ptpru,Ptpn11,Ptpn3
224997	Dlgap1 (DLG associated protein 1)	2.13490058913287e-05	-10.7545053818407	165	94	0.019673503557974	4778	11667	20742,245684,223254,16574,12934,330914,13199,11838,13193,26422,83767,26936,226525,54401,67857,234214,16572,12322,56379,14800,72685,26558,69601,14799,330369,235072,50884,269941,26556,26921,210274,83814,380785,16492,18039,22627,76884,16490,23859,19055,14359,17475,208618,59079,227753,56508,56320,13823,245666,74342,14812,208151,22629,14083,16485,223666,230904,18189,215748,243621,226251,244310,64009,665113,53321,14814,53623,13429,223435,74007,11496,58234,545156,544963,242667,18578,19290,66860,18751,19159,18163,230775,13385,13821,22631,12343,232227,20411,228836,58194,14811,242274,216439,104027	Sptbn1,Cnksr2,Farp1,Kif5c,Dpysl2,Arhgap32,Ddn,Arc,Dcx,Nbea,Wasf1,Mprip,Rasal2,Ywhab,Ppp6c,Sorbs2,Kif5a,Camk2a,Kcnj1,Gria2,Dnajc6,Homer3,Dab2ip,Gria1,Fbxo41,Septin7,Nckap1,Chsy1,Homer1,Map4k4,Shank2,Nedd4l,Begain,Kcna4,Nefl,Ywhae,Cyfip2,Kcna2,Dlg2,Ppp3ca,Fxr1,Mpdz,Etl4,Erbin,Gsn,Rapgef4,Dbn1,Epb41l3,Iqsec2,Lrrtm1,Grin2b,Tmem132b,Ywhah,Ptk2,Kcna1,Arhgap39,Fbxo2,Nrxn1,Cnksr3,Iqsec3,Ablim1,Dlgap2,Syne1,Tnik,Cntnap1,Grin2d,Gria3,Dnm1,Trio,Abtb3,Adam22,Shank3,Kalrn,Iqgap2,Dlgap3,Pde4b,Pura,Tanc1,Prkcb,Cyth3,Ctnnd2,Adgrb2,Dlg4,Epb41l1,Ywhaz,Capza2,Iqsec1,Sorbs1,Dlgap4,Sh3kbp1,Grin2a,Lrrc7,Agap2,Synpo
71461	Ptk7 (PTK7 protein tyrosine kinase 7)	2.20504453879294e-05	-10.7221777572764	55	38	0.00795311845960653	4778	11667	18007,217219,23966,13823,234353,20265,218194,17967,13052,72125,70350,20617,319387,18163,53883,14401,16500,330369,94253,11682,26921,71461,66589,26913,75409,216565,83767,14182,242274,432442,677884,100503659,241263,229791,54393,76156,19882,98741	Neo1,Fam171a2,Tenm4,Epb41l3,Psd3,Scn1a,Phactr1,Ncam1,Cxadr,Amer2,Basp1,Snca,Adgrl3,Ctnnd2,Celsr2,Gabrb2,Kcnb1,Fbxo41,Hecw1,Alk,Map4k4,Ptk7,Ube2v1,Gprin1,Slitrk5,Ehbp1,Wasf1,Fgfr1,Lrrc7,Akap7,Pakap,Cbarp,Gpr158,Plppr4,Gabbr1,Fam131b,Mst1r,Kcnb2
