TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
ko04360	Axon guidance	1.40240719411094e-11	-24.9902458384661	175	106	0.0368183397012852	2879	8044	20315,80883,20360,20357,223881,12167,20359,20564,22419,13637,18209,19876,18708,19055,18479,210801,13642,14677,50780,243743,117606,237860,11350,20562,13838,18019,13840,18762,93737,13176,319757,13837,13844,12934,65254,13839,22065,22063,231148,20346,20352,14360,12162,13848,214230,18707,18208,14083,241568,13640,12322,18750,20354,13842,259302,93742,12168,20358,74769,20779,22418,57764,26456,22253,13643,19206,268902,70584,53972,20130,12540,214968,20563,192198,18710,171171,13636,18844,19877,17295,241656,16886,110157,58220,19649,54712,20187,16412,319713,13841,107448,12767,226251,19247,69632,18706,56513,107449,20351,19057,20349,16885,20355,20353,73181,13836	Cxcl12,Ntng1,Sema6c,Sema5b,Rnd1,Bmpr1b,Sema6b,Slit3,Wnt5b,Efna2,Ntn3,Robo1,Pik3r1,Ppp3ca,Pak1,Unc5d,Efnb2,Gnai1,Rgs3,Plxna4,Boc,Ssh2,Abl1,Slit1,Epha4,Nfatc2,Epha6,Prkcz,Pard6g,Dcc,Smo,Epha3,Ephb2,Dpysl2,Dpysl5,Epha5,Trpc3,Trpc1,Ablim2,Sema3a,Sema4b,Fyn,Bmp7,Ephb6,Pak6,Pik3cd,Ntn1,Ptk2,Lrrc4c,Efna5,Camk2a,Prkca,Sema4d,Epha8,Srgap3,Pard3,Bmpr2,Sema6a,Pik3cb,Src,Wnt5a,Ntn4,Sema4g,Unc5c,Efnb3,Ptch1,Robo2,Pak4,Ngef,Rras,Cdc42,Sema6d,Slit2,Lrrc4,Pik3r3,Ntng2,Efna1,Plxna1,Rock1,Met,Pak5,Limk2,Raf1,Pard6b,Robo3,Plxnc1,Ryk,Itgb1,Ablim3,Epha7,Unc5a,Cxcr4,Ablim1,Ptpn11,Arhgef12,Pik3ca,Pard6a,Unc5b,Sema4a,Ppp3cc,Sema3e,Limk1,Sema4f,Sema4c,Nfatc4,Epha2
mmu04360	Axon guidance	1.40240719411094e-11	-24.9902458384661	175	106	0.0368183397012852	2879	8044	18209,13637,19876,19055,18708,20315,20357,223881,80883,20360,12167,20564,22419,20359,11350,20562,13840,18019,13838,18762,18479,14677,13642,210801,50780,117606,237860,243743,22063,22065,20352,20346,231148,14360,12162,13848,93737,13837,319757,13176,12934,65254,13844,13839,259302,13842,12168,93742,22418,74769,20779,20358,26456,57764,214230,18208,18707,14083,20354,12322,18750,241568,13640,20563,214968,192198,18710,13643,22253,70584,20130,53972,268902,19206,12540,110157,58220,54712,19649,16412,20187,18844,13636,171171,19877,16886,241656,17295,69632,18706,56513,13841,12767,107448,319713,226251,19247,20353,20355,13836,73181,107449,20351,16885,20349,19057	Ntn3,Efna2,Robo1,Ppp3ca,Pik3r1,Cxcl12,Sema5b,Rnd1,Ntng1,Sema6c,Bmpr1b,Slit3,Wnt5b,Sema6b,Abl1,Slit1,Epha6,Nfatc2,Epha4,Prkcz,Pak1,Gnai1,Efnb2,Unc5d,Rgs3,Boc,Ssh2,Plxna4,Trpc1,Trpc3,Sema4b,Sema3a,Ablim2,Fyn,Bmp7,Ephb6,Pard6g,Epha3,Smo,Dcc,Dpysl2,Dpysl5,Ephb2,Epha5,Srgap3,Epha8,Bmpr2,Pard3,Wnt5a,Pik3cb,Src,Sema6a,Sema4g,Ntn4,Pak6,Ntn1,Pik3cd,Ptk2,Sema4d,Camk2a,Prkca,Lrrc4c,Efna5,Slit2,Sema6d,Lrrc4,Pik3r3,Efnb3,Unc5c,Pak4,Rras,Ngef,Robo2,Ptch1,Cdc42,Raf1,Pard6b,Plxnc1,Robo3,Itgb1,Ryk,Plxna1,Efna1,Ntng2,Rock1,Limk2,Pak5,Met,Arhgef12,Pik3ca,Pard6a,Epha7,Cxcr4,Unc5a,Ablim3,Ablim1,Ptpn11,Sema4c,Sema4f,Epha2,Nfatc4,Unc5b,Sema4a,Limk1,Sema3e,Ppp3cc
mmu05200	Pathways in cancer	3.19049903988948e-11	-24.1682586795362	393	203	0.0705105939562348	2879	8044	19015,216795,16590,240168,381810,14180,65086,16451,14170,22415,22413,16410,56458,14082,17685,66197,13063,80794,20846,17126,69632,21415,14065,14683,19217,66066,12578,216033,54354,67112,19877,64654,18035,110157,22416,16773,12370,16775,14184,14174,18095,22029,11608,14178,218772,57265,18749,21416,15251,12061,21803,14709,18595,21809,14083,17127,16193,12043,210044,14682,69635,19361,67923,56044,14369,16777,12395,14367,13143,235320,319757,19645,17311,20181,19713,19419,20375,12982,22339,26414,11513,14706,14677,13819,18795,224129,22423,12443,21802,22419,16842,16476,18708,13618,12830,110279,16772,14362,208650,16782,22409,14370,14708,22411,11607,100043507,17342,14633,11514,12006,12767,13017,13144,12579,12394,12566,109880,11864,11835,18706,17295,19218,14165,12156,14103,16001,433759,20525,12448,16412,14182,14172,12827,14281,19765,93735,64337,12540,14696,18591,13645,112407,19206,14700,14745,18710,80903,18751,13016,18750,20851,12550,22414,15245,13617,18707,74769,22418,18590,23928,14701,13649,12122,21813,56636,21414,76551,14784,13176,16780,12385,14167,16000,11789,14632,14169,14176,16774,18034,20890,22421,12062,14013,14697,18126,13557,11350,18510,19211,269209,71745,20315,17395,269608,12826,14102,12159,14371,22410,17128,21808,14173,14183	Ppard,Wnt9a,Kit,Rasgrp3,Lpar5,Fgf9,Lpar3,Jak1,Fgf15,Wnt3,Wnt2,Itgav,Foxo1,Fadd,Msh2,Cks2,Cycs,Cblc,Stat1,Smad2,Arhgef12,Tcf7l1,F2rl3,Gnas,Ptger2,Gng11,Cdkn2a,Ctnna3,Rassf5,Fgf22,Rock1,Fgf23,Nfkbia,Raf1,Wnt3a,Lama2,Casp8,Lama4,Fgfr3,Fgf3,Nkx3-1,Traf1,Agtr1b,Fgf7,Rarb,Fzd2,Prkacb,Tcf7l2,Hif1a,Bdkrb1,Tgfb1,Gng8,Pdgfra,Tgfb3,Ptk2,Smad3,Il6,Bcl2,Adcy2,Gnaq,Dapk1,Rad51,Eloc,Rala,Fzd7,Lamb1,Runx1t1,Fzd5,Dapk2,Zbtb16,Smo,Rb1,Kitl,Rxra,Ret,Rasgrp1,Spi1,Csf2ra,Vegfa,Mapk10,Adcy7,Gng4,Gnai1,Epas1,Plcb1,Adcy5,Wnt8b,Ccnd1,Tgfa,Wnt5b,Lef1,Jun,Pik3r1,Ednrb,Col4a5,Bcr,Lama1,Fzd1,Cblb,Lamc2,Wnt10a,Fzd8,Gng7,Wnt11,Agtr1a,Gng5-ps,Mitf,Gli2,Adcy8,Axin2,Cxcr4,Ctbp2,Dapk3,Cdkn2b,Runx1,Cdk2,Braf,Arnt2,Ar,Pik3ca,Met,Ptger3,Fgf10,Bmp2,Fasl,Igf1r,Hdac1,Slc2a1,Ccne2,Itgb1,Fgfr1,Fgf18,Col4a2,Fos,Ralbp1,Wnt16,Gng13,Cdc42,Gnb4,Pdgfb,Egf,Egln3,Ptch1,Gng10,Lpar1,Pik3r3,Fgf16,Prkcb,Ctbp1,Prkca,Stat5b,Cdh1,Wnt2b,Hhip,Ednra,Pik3cd,Pik3cb,Wnt5a,Pdgfa,Lamc3,Gng12,Egfr,Bid,Tgfbr2,Fgf21,Tcf7,Ccdc6,Grb2,Dcc,Lamb3,Ctnna1,Fgf12,Igf1,Apc,Gli1,Fgf14,Fgf5,Lama3,Nfkb2,Wnt8a,Wnt7a,Bdkrb2,Mecom,Gnb5,Nos2,E2f3,Abl1,Pax8,Pten,Stk36,Cul2,Cxcl12,Mmp9,Plekhg5,Col4a1,Fas,Bmp4,Fzd9,Wnt10b,Smad4,Tgfb2,Fgf2,Fgfr2
ko04080	Neuroactive ligand-receptor interaction	2.63532793523212e-10	-22.0568433020923	285	153	0.0531434525877041	2879	8044	18101,108071,78826,67373,15563,14814,18216,11550,14064,15565,208188,23796,14427,14309,19204,21390,110637,11541,213788,19228,13617,14407,13610,20606,226278,14400,93742,12801,94045,12921,14806,14812,54598,19220,15566,14938,231252,114229,243764,18439,18390,11552,21338,26361,12311,15465,13618,244701,18430,17201,14395,11443,14823,17171,18815,94226,12640,54140,22355,12062,381489,108073,14799,20605,14428,13491,18442,11554,14308,14805,387285,14402,170732,237362,21336,13489,11548,20607,14602,242443,53623,13490,14807,14811,14061,11539,170483,14800,15558,19217,14652,14813,14065,14815,14406,17200,14654,381853,14399,11607,17199,11556,65086,14658,11438,74191,12273,22095,242425,13609,14600,14394,11444,18441,207911,110834,216749,54393,14401,21834,239845,140498,57249,233571,14745,11608,108069,12061,14405,12671,93896,14816,18169,22045,19218,14804,11540,11555,16867,15557,17202,213438,11553,11517,268934,18436,19214,15550,11549,22354,18386,20608,11551	Nmbr,Grm5,P2ry10,Prss3b,Htr5a,Grin2d,Ntsr1,Adra1d,F2rl2,Htr6,Ghsr,Aplnr,Galr1,Fshr,Ptafr,Tbxa2r,Grik4,Adora2b,Chrm5,Pth1r,Ednra,Gabrg3,S1pr3,Sstr2,Prlhr,Gabrb1,Pard3,Cnr1,P2rx5,Crhr1,Grik2,Grin2b,Calcrl,Ptgfr,Htr7,Gzma,Chrna9,Kiss1r,Chrm2,P2rx7,Oprm1,Adra2b,Tacr3,Avpr1b,Calcr,Hrh1,Ednrb,Mtnr1b,Oxtr,Mc3r,Gabra2,Chrnb1,Grm8,Mas1,Plg,S1pr5,Cga,Avpr1a,Vipr2,Bdkrb2,Rxfp1,Grm7,Gria1,Sstr1,Galr2,Drd4,P2ry2,Adrb1,Fshb,Grik1,Hcrtr2,Gabrb3,Trhr2,Npffr1,Tacr1,Drd2,Adra1b,Sstr3,Ghrhr,Grin3a,Gria3,Drd3,Grik3,Grin2a,F2,Adora1,Grin3b,Gria2,Htr2a,Ptger2,Glp1r,Grin2c,F2rl3,Nr3c1,Gabrg2,Mc2r,Glra1,Gipr,Gabra6,Agtr1a,Mc1r,Adrb3,Lpar3,Glrb,Chrna4,P2ry13,C5ar1,Tshr,Gabbr2,S1pr1,Ghr,Gabra1,Chrnb2,P2ry1,Mchr1,Chrna3,Nmur2,Gabbr1,Gabrb2,Thrb,Gpr156,Rxfp2,Gabrq,P2ry6,Lpar1,Agtr1b,Grm3,Bdkrb1,Gabrg1,Chrm3,Glp2r,Grm1,Npy6r,Trhr,Ptger3,Grid2,Adora2a,Adrb2,Lhcgr,Htr1f,Mc4r,P2ry10b,Adra2c,Adcyap1r1,Grm4,P2rx1,Ptgdr,Htr1a,Adra1a,Vipr1,Oprd1,Sstr4,Adra2a
mmu04080	Neuroactive ligand-receptor interaction	2.63532793523212e-10	-22.0568433020923	285	153	0.0531434525877041	2879	8044	17171,17201,18430,11443,14823,14395,13618,15465,244701,26361,12311,18390,21338,11552,18439,243764,14938,114229,231252,19220,15566,237362,170732,14402,14805,14308,387285,13491,18442,11554,14428,14799,20605,108073,381489,12062,12640,94226,22355,54140,18815,11541,110637,21390,19204,14309,14427,23796,18216,14064,11550,14814,15563,208188,15565,78826,18101,108071,67373,54598,14812,14806,12921,12801,94045,93742,14400,226278,20606,13610,14407,13617,19228,213788,12671,14816,93896,108069,14405,12061,140498,233571,57249,11608,14745,21834,239845,54393,14401,110834,216749,14394,207911,18441,11444,13609,14600,11551,22354,20608,18386,11549,18436,19214,268934,15550,11517,11555,15557,16867,213438,11553,17202,11540,19218,14804,22045,18169,14406,14813,14652,19217,14815,14065,14800,15558,11539,170483,13490,14061,14811,14807,242443,14602,53623,20607,11548,21336,13489,12273,22095,242425,14658,74191,11438,65086,11556,17199,11607,14399,14654,17200,381853	Mas1,Mc3r,Oxtr,Chrnb1,Grm8,Gabra2,Ednrb,Hrh1,Mtnr1b,Avpr1b,Calcr,Oprm1,Tacr3,Adra2b,P2rx7,Chrm2,Gzma,Kiss1r,Chrna9,Ptgfr,Htr7,Npffr1,Trhr2,Gabrb3,Grik1,Fshb,Hcrtr2,Drd4,P2ry2,Adrb1,Galr2,Gria1,Sstr1,Grm7,Rxfp1,Bdkrb2,Cga,S1pr5,Vipr2,Avpr1a,Plg,Adora2b,Grik4,Tbxa2r,Ptafr,Fshr,Galr1,Aplnr,Ntsr1,F2rl2,Adra1d,Grin2d,Htr5a,Ghsr,Htr6,P2ry10,Nmbr,Grm5,Prss3b,Calcrl,Grin2b,Grik2,Crhr1,Cnr1,P2rx5,Pard3,Gabrb1,Prlhr,Sstr2,S1pr3,Gabrg3,Ednra,Pth1r,Chrm5,Chrm3,Grm1,Glp2r,Grm3,Gabrg1,Bdkrb1,Rxfp2,P2ry6,Gabrq,Agtr1b,Lpar1,Thrb,Gpr156,Gabbr1,Gabrb2,Chrna3,Nmur2,Gabra1,Mchr1,P2ry1,Chrnb2,S1pr1,Ghr,Adra2a,Vipr1,Sstr4,Oprd1,Adra1a,P2rx1,Ptgdr,Grm4,Htr1a,Adcyap1r1,Adrb2,Htr1f,Lhcgr,P2ry10b,Adra2c,Mc4r,Adora2a,Ptger3,Grid2,Trhr,Npy6r,Gabrg2,Grin2c,Glp1r,Ptger2,Nr3c1,F2rl3,Gria2,Htr2a,Adora1,Grin3b,Drd3,F2,Grin2a,Grik3,Grin3a,Ghrhr,Gria3,Sstr3,Adra1b,Tacr1,Drd2,C5ar1,Tshr,Gabbr2,Glrb,P2ry13,Chrna4,Lpar3,Adrb3,Mc1r,Agtr1a,Gabra6,Glra1,Mc2r,Gipr
mmu04390	Hippo signaling pathway	8.91944063908466e-10	-20.8376176939376	154	92	0.0319555401180966	2879	8044	12162,12385,11789,73246,14369,21414,16475,14367,93737,211652,22418,93742,12168,29806,21813,209456,21809,12550,22414,17127,22631,27494,19053,13385,23859,14371,12159,22410,17128,21808,12160,14362,20674,54401,12167,16842,22419,16897,22629,18762,22423,22627,12443,21676,17131,11839,20890,22421,319710,56513,72930,241324,104318,17126,21415,12006,56274,73699,103583,11461,170770,50523,22413,22601,22415,14633,22062,12161,22409,216795,14370,22411,12695,57265,21416,242316,21803,17125,21679,18016,16414,15901,64010,93960,71978,170788,12166,58220,93735,22416,216033,12156	Bmp7,Ctnna1,Apc,Rassf6,Fzd7,Tcf7,Ajuba,Fzd5,Pard6g,Wwc1,Wnt5a,Pard3,Bmpr2,Limd1,Tgfbr2,Trp53bp2,Tgfb3,Cdh1,Wnt2b,Smad3,Ywhaz,Amot,Ppp2cb,Dlg4,Dlg2,Fzd9,Bmp4,Wnt10b,Smad4,Tgfb2,Bmp5,Fzd1,Sox2,Ywhab,Bmpr1b,Lef1,Wnt5b,Llgl1,Ywhah,Prkcz,Wnt8b,Ywhae,Ccnd1,Tead1,Smad7,Areg,Wnt8a,Wnt7a,Frmd6,Pard6a,Ppp2r2b,Crb2,Csnk1d,Smad2,Tcf7l1,Axin2,Stk3,Ppp2r1b,Fbxw11,Actb,Bbc3,Lats2,Wnt2,Yap1,Wnt3,Gli2,Trp73,Bmp6,Wnt10a,Wnt9a,Fzd8,Wnt11,Patj,Fzd2,Tcf7l2,Gdf6,Tgfb1,Smad1,Tead4,Nf2,Itgb2,Id1,Sav1,Nkd1,Ppp2r2a,Crb1,Bmpr1a,Pard6b,Wnt16,Wnt3a,Ctnna3,Bmp2
ko04390	Hippo signaling pathway	8.91944063908466e-10	-20.8376176939376	154	92	0.0319555401180966	2879	8044	21416,242316,21803,17125,12695,57265,18016,16414,15901,64010,21679,58220,93735,22416,71978,93960,170788,12166,12156,216033,104318,17126,21415,319710,56513,72930,241324,56274,73699,103583,12006,22413,22601,22415,14633,22062,11461,170770,50523,14370,22411,12161,22409,216795,14362,20674,12160,54401,19053,13385,14371,23859,12159,17128,22410,21808,16897,12167,22419,16842,12443,22423,22627,21676,17131,22629,18762,22421,11839,20890,11789,73246,12162,12385,14367,93737,211652,14369,21414,16475,93742,12168,29806,21813,22418,17127,27494,22631,209456,21809,12550,22414	Tcf7l2,Gdf6,Tgfb1,Smad1,Patj,Fzd2,Nf2,Itgb2,Id1,Sav1,Tead4,Pard6b,Wnt16,Wnt3a,Ppp2r2a,Nkd1,Crb1,Bmpr1a,Bmp2,Ctnna3,Csnk1d,Smad2,Tcf7l1,Frmd6,Pard6a,Ppp2r2b,Crb2,Stk3,Ppp2r1b,Fbxw11,Axin2,Wnt2,Yap1,Wnt3,Gli2,Trp73,Actb,Bbc3,Lats2,Fzd8,Wnt11,Bmp6,Wnt10a,Wnt9a,Fzd1,Sox2,Bmp5,Ywhab,Ppp2cb,Dlg4,Fzd9,Dlg2,Bmp4,Smad4,Wnt10b,Tgfb2,Llgl1,Bmpr1b,Wnt5b,Lef1,Ccnd1,Wnt8b,Ywhae,Tead1,Smad7,Ywhah,Prkcz,Wnt7a,Areg,Wnt8a,Apc,Rassf6,Bmp7,Ctnna1,Fzd5,Pard6g,Wwc1,Fzd7,Tcf7,Ajuba,Pard3,Bmpr2,Limd1,Tgfbr2,Wnt5a,Smad3,Amot,Ywhaz,Trp53bp2,Tgfb3,Cdh1,Wnt2b
mmu05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	2.30351792631404e-08	-17.5862432563817	72	49	0.0170197985411601	2879	8044	12298,16419,12293,54377,81905,16401,81904,11472,16410,12294,192897,16905,11461,11938,20541,12288,109620,20191,56808,21414,12292,16421,21415,16416,12385,54376,241226,140723,319734,12296,216033,320910,109700,16773,16420,24052,16412,13405,319480,12300,12289,24051,12558,104099,16842,21416,13346,14609,12297	Cacnb4,Itgb5,Cacna2d1,Cacng4,Cacng8,Itga4,Cacng7,Actn2,Itgav,Cacna2d3,Itgb4,Lmna,Actb,Atp2a2,Slc8a1,Cacna1c,Dsp,Ryr2,Cacna2d2,Tcf7,Cacna1s,Itgb7,Tcf7l1,Itgb3,Ctnna1,Cacng3,Itga8,Cacng5,Cacna2d4,Cacnb2,Ctnna3,Itgb8,Itga1,Lama2,Itgb6,Sgcd,Itgb1,Dmd,Itga11,Cacng2,Cacna1d,Sgcb,Cdh2,Itga9,Lef1,Tcf7l2,Des,Gja1,Cacnb3
ko05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	2.30351792631404e-08	-17.5862432563817	72	49	0.0170197985411601	2879	8044	109700,16420,16773,24052,16412,319734,140723,241226,320910,216033,12296,21416,13346,12297,14609,12300,319480,13405,12289,12558,24051,16842,104099,81904,11472,192897,12294,16410,11938,16905,11461,12288,20541,12298,16419,12293,16401,81905,54377,21415,54376,12385,16416,109620,20191,56808,21414,16421,12292	Itga1,Itgb6,Lama2,Sgcd,Itgb1,Cacna2d4,Cacng5,Itga8,Itgb8,Ctnna3,Cacnb2,Tcf7l2,Des,Cacnb3,Gja1,Cacng2,Itga11,Dmd,Cacna1d,Cdh2,Sgcb,Lef1,Itga9,Cacng7,Actn2,Itgb4,Cacna2d3,Itgav,Atp2a2,Lmna,Actb,Cacna1c,Slc8a1,Cacnb4,Itgb5,Cacna2d1,Itga4,Cacng8,Cacng4,Tcf7l1,Cacng3,Ctnna1,Itgb3,Dsp,Ryr2,Cacna2d2,Tcf7,Itgb7,Cacna1s
ko04810	Regulation of actin cytoskeleton	4.25261541365744e-08	-16.9731465588429	214	115	0.0399444251476207	2879	8044	329251,16407,16411,243764,50884,319480,76709,22325,23920,18708,107589,14183,14173,320910,237860,241226,12062,18479,109711,16420,227753,74192,71785,56636,16333,232906,22330,14167,16416,17698,14176,14169,11789,54126,14186,213788,73178,14083,19303,18707,71960,214230,14701,13649,77579,18590,20779,74769,192897,56419,16408,57257,12475,104099,14174,12540,213435,83767,14184,16414,98932,20130,70584,544963,18591,17931,13645,18710,105855,56443,14178,18595,76884,12061,12927,80903,12671,241656,14165,16886,66922,330662,381924,19877,20259,67112,16412,219140,242687,64654,14172,60595,14182,110157,109700,75477,226970,16421,14061,54004,18706,17886,109880,69632,16401,16885,228785,16419,14170,18718,11461,21844,14180,16410,59310	Ppp1r12b,Itgae,Itgax,Chrm2,Nckap1,Itga11,Arpc2,Vav2,Insrr,Pik3r1,Mylk,Fgfr2,Fgf2,Itgb8,Ssh2,Itga8,Bdkrb2,Pak1,Actn1,Itgb6,Gsn,Arpc5l,Pdgfd,Fgf21,Ins1,Arhgap35,Vcl,Fgf12,Itgb3,Msn,Fgf5,Fgf14,Apc,Arhgef7,Fgfr4,Chrm5,Wasl,Ptk2,Pxn,Pik3cd,Myh14,Pak6,Gng12,Egfr,Myh10,Pdgfa,Src,Pik3cb,Itgb4,Diaph3,Itgal,Vav3,Cd14,Itga9,Fgf3,Cdc42,Mylk3,Wasf1,Fgfr3,Itgb2,Myl9,Rras,Pak4,Iqgap2,Pdgfb,Ppp1r12a,Egf,Pik3r3,Nckap1l,Arpc1a,Fgf7,Pdgfra,Cyfip2,Bdkrb1,Bcar1,Fgf16,Chrm3,Pak5,Fgf10,Limk2,Rras2,Dock1,Itgad,Rock1,Scin,Fgf22,Itgb1,Spata13,Wasf2,Fgf23,Fgf18,Actn4,Fgfr1,Raf1,Itga1,Pfn3,Arhgef4,Itgb7,F2,Diaph2,Pik3ca,Myh9,Braf,Arhgef12,Itga4,Limk1,Mylk2,Itgb5,Fgf15,Pip4k2a,Actb,Tiam1,Fgf9,Itgav,Myl10
