TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF07679	I-set	4.54099198268339e-17	-37.6308010943244	130	97	0.0130904183535762	7410	19276	20320,26563,14186,14257,238205,170643,19649,269959,235106,269784,107449,237979,22253,68810,242384,211323,269116,330222,22174,15530,53311,19272,14184,56741,11790,107589,233067,545370,192198,29817,16206,320398,77739,12661,223435,107250,17967,60367,225638,117606,101434,17930,16177,19268,68753,19266,84004,114873,13176,71461,66601,19876,70530,116904,19280,13723,53870,235402,16980,18488,210801,244682,13508,80749,319504,17968,330908,16542,68802,226438,72333,235472,69675,242702,107448,14182,14183,18595,100042150,75426,241568,71306,268890,268902,320772,18007,14254,16979,545156,26564,67703,114872,21367,18213,18212,269473,109272	Nptn,Ror1,Fgfr4,Flt4,Lrfn5,Kirrel1,Robo3,Adamtsl3,Ntm,Cntn4,Unc5b,Sdk2,Unc5c,Nexn,Lingo2,Nrg1,Nfasc,Sdk1,Tyro3,Hspg2,Mybph,Ptprk,Fgfr3,Igdcc4,Speg,Mylk,Lrfn3,Hmcn1,Lrrc4,Igfbp7,Lrig1,Lrig3,Adamtsl1,Chl1,Trio,Kazald1,Ncam1,Il1rapl2,Alpk2,Boc,Ceacam15,Myom2,Il1r1,Ptprf,Mybphl,Ptprd,Mcam,Dscaml1,Dcc,Ptk7,Tmigd1,Robo1,Lrfn2,Alpk3,Ptprs,Emb,Cntn6,Lingo1,Lrrn2,Cntn3,Unc5d,Cntn5,Dscam,Lrfn1,Nrcam,Ncam2,Opcml,Kdr,Mypn,Igfn1,Palld,Prtg,Pxdn,Myom3,Unc5a,Fgfr1,Fgfr2,Pdgfra,Nrg2,Igfbpl1,Lrrc4c,Mfap3l,Lsamp,Robo2,Mdga2,Neo1,Flt1,Lrrn1,Kalrn,Ror2,Kirrel3,Psg29,Cntn2,Ntrk3,Ntrk2,Lrig2,Mybpc1
PF00046	Homeodomain	6.25202173657755e-12	-25.7981162266355	227	138	0.0186234817813765	7410	19276	21908,225631,228731,18988,14842,14843,384452,14028,20231,14912,11859,13047,15426,13172,18741,18933,18998,109663,223843,15425,15242,11906,14836,244813,18994,18986,219150,19009,13798,195333,16871,16874,11695,15416,18508,54422,18505,22255,11694,20472,20473,668814,16875,15402,17702,17703,15399,672284,15436,18092,13394,15414,75507,209448,15407,18089,15415,13395,16392,13796,18291,18423,18091,546024,18094,15413,13392,13393,21869,17701,15401,27140,15417,15396,18740,12677,13799,15371,664783,15408,18424,18509,140477,20476,16917,18095,22770,20475,387609,18096,18609,22326,15432,16872,74318,12020,15395,16815,246086,20230,212712,13390,15410,17285,20429,11878,18742,71468,252830,15423,27217,21909,18935,14472,12590,231044,194588,14029,18997,71950,19434,216285,20204,13048,18736,110648,104382,100039913,15285,15430,16870,15284,12023,12022,71597,18999,17286,80892	Tlx1,Onecut2,Nkx2-4,Pou2f3,Gsx1,Gsx2,Noto,Evx1,Nkx1-2,Nkx6-2,Phox2a,Cux1,Hoxc8,Dbx1,Pitx2,Prrx1,Pou4f3,Hoxc11,Dbx2,Hoxc6,Hhex,Zfhx3,Gsc,Bsx,Pou3f4,Pou2f1,Hmbox1,Pou6f1,En1,Gsc2,Lhx3,Lhx6,Alx4,Hoxb8,Pax6,Barhl1,Pax3,Uncx,Alx3,Six2,Six3,Gm9376,Lhx8,Hoxa5,Msx2,Msx3,Hoxa2,Nkx1-1,Hoxd4,Nkx2-6,Dlx4,Hoxb6,Pou5f2,Hoxc10,Hoxb1,Nkx2-3,Hoxb7,Dlx5,Isl1,Emx1,Nobox,Otx1,Nkx2-5,Crxos,Nkx2-9,Hoxb5,Dlx2,Dlx3,Nkx2-1,Msx1,Hoxa4,Tlx3,Hoxb9,Hoxa11,Pitx1,Vsx2,En2,Hmx1,Dux,Hoxb13,Otx2,Pax7,Dmbx1,Six6,Lmx1b,Nkx3-1,Zhx1,Six5,Zhx2,Nkx6-1,Pdx1,Vax1,Hoxd12,Lhx4,Hopx,Nkx3-2,Hoxa10,Lbx2,Onecut3,Satb1,Satb2,Dlx1,Hoxb3,Meox1,Shox2,Arx,Pitx3,Obox1,Obox6,Hoxc4,Mixl1,Tlx2,Phox2b,Gbx2,Cdx1,Gbx1,Obox7,Evx2,Pou4f2,Nanog,Rax,Alx1,Prrx2,Cux2,Pou1f1,Lmx1a,Barhl2,Rhox2b,Mnx1,Hoxd10,Lhx2,Hlx,Barx2,Barx1,Isx,Pou5f1,Meox2,Zfhx4
PF00169	PH	1.27724788953529e-10	-22.7811432530636	185	114	0.0153846153846154	7410	19276	26382,69710,16561,69239,19157,13998,17909,54153,27062,623279,20947,26377,545156,103967,216445,50915,26936,226970,239027,77300,70292,19159,233765,319934,331374,68018,71704,74486,76117,13448,194231,241075,218952,75415,94190,57257,106326,102595,19417,231717,231999,16428,20649,78255,14388,219140,17207,320129,18760,114713,227333,13429,76303,232970,381605,213783,54126,230837,78514,101540,18805,79196,109294,320495,67016,16367,380921,210293,106877,83435,14783,19415,19418,13196,16560,21844,54353,27260,245684,19414,223435,241639,27276,544817,105445,213556,263406,212285,211914,230972,21682,109135,71435,226971,216190,114255,232237,22325,74309,231532,622434,72318,24055,71801,53972,240753,223254,213649,71302,384783,24001,208177,78473,216991	Fgd2,Arap1,Kif1b,Pdzph1,Cyth1,Fgd6,Myo10,Rasa4,Cadps,Dok6,Swap70,Dapp1,Kalrn,Dnm3,Arhgap9,Grb14,Mprip,Arhgef4,Arhgap22,Raph1,Afap1,Cyth3,Plekha7,Sbf2,Dgkk,Cert1,Arhgef3,Osbpl10,Arhgap15,Dok1,Cnksr1,Plekhm3,Fermt2,Arhgap12,Ophn1,Vav3,Osbpl11,Plekho2,Rasgrf1,Pheta1,Plekha8,Itk,Sntb1,Ralgps2,Gab1,Spata13,Mcf2l,Grk3,Prkd1,Rasa2,Dgkd,Dnm1,Osbp,Phldb3,Tbc1d2,Plekhg1,Arhgef7,Asap3,Arhgap10,Prkd2,Pld1,Osbpl5,Prex2,Ipcef1,Tbc1d2b,Irs1,Dgkh,Dock10,Afap1l1,Plekha3,Grb10,Rasal1,Rasgrf2,Asap1,Kif1a,Tiam1,Skap2,Plek2,Cnksr2,Rasa3,Trio,Fermt1,Plekhb1,Arhgap27,Dock9,Plekhh2,Plekhg3,Arap2,Asap2,Arhgef16,Tec,Plekha5,Arhgap21,Plekhb2,Appl2,Dok4,Fgd5,Vav2,Osbp2,Arhgap24,Arhgef26,Cyth4,Sh3bp2,Plekhf2,Ngef,Plekha6,Farp1,Arhgef19,Arhgap26,Irs2,Tiam2,Phldb2,Skap1,Adap2
PF00041	fn3	2.28171445135867e-09	-19.8983387242043	135	86	0.0116059379217274	7410	19276	319448,13842,16880,399558,19274,242702,12661,235472,226438,17930,19268,330863,13838,117606,19281,17967,320181,545902,114873,192897,13176,545156,208777,18007,19266,68753,19270,16197,20660,13836,268902,13857,18414,109272,19280,21923,68655,70530,21367,12804,81877,19876,13839,12818,19649,13840,53870,22283,72007,21960,16001,269116,13508,230735,244682,18488,16195,269784,237979,319636,78911,233067,268780,28105,237523,17968,107589,19263,329278,56741,70911,13844,19272,19273,319504,13841,22174,53311,330222,13837,80749,19283,13848,12816,16161,16337	Fndc3a,Epha8,Lifr,Flrt2,Ptprm,Myom3,Chl1,Prtg,Igfn1,Myom2,Ptprf,Trim67,Epha4,Boc,Ptprt,Ncam1,Fndc7,Ptprh,Dscaml1,Itgb4,Dcc,Kalrn,Sned1,Neo1,Ptprd,Mybphl,Ptprg,Il7r,Sorl1,Epha2,Robo2,Epor,Osmr,Mybpc1,Ptprs,Tnc,Fndc1,Lrfn2,Cntn2,Cntfr,Tnxb,Robo1,Epha5,Col14a1,Robo3,Epha6,Cntn6,Ush2a,Fndc3b,Tnr,Igf1r,Nfasc,Dscam,Epha10,Cntn5,Cntn3,Il6st,Cntn4,Sdk2,Fsd1l,Trim42,Lrfn3,Egflam,Trim36,Ptprq,Ncam2,Mylk,Ptprb,Tnn,Igdcc4,Phyhipl,Ephb2,Ptprk,Ptpru,Nrcam,Epha7,Tyro3,Mybph,Sdk1,Epha3,Lrfn1,Ptprz1,Ephb6,Col12a1,Il12rb1,Insr
PF02210	Laminin_G_2	2.8945193653375e-07	-15.0552765760525	36	29	0.0039136302294197	7410	19276	66797,16773,16772,620292,270120,170788,338352,22283,53883,20562,107934,238680,54003,14107,170571,329628,18191,245827,636808,268780,121021,16774,12614,18190,18189,53321,16775,241324,20564	Cntnap2,Lama2,Lama1,Cntnap5c,Fat3,Crb1,Nell1,Ush2a,Celsr2,Slit1,Celsr3,Cntnap3,Nell2,Fat1,Cntnap4,Fat4,Nrxn3,Fat2,Cntnap5a,Egflam,Cspg4,Lama3,Celsr1,Nrxn2,Nrxn1,Cntnap1,Lama4,Crb2,Slit3
PF00028	Cadherin	5.46582505489168e-07	-14.4195805700218	116	71	0.00958164642375169	7410	19276	93702,93703,93891,219228,211712,381409,93714,320865,12939,12614,93715,192164,12941,93878,241201,11994,93716,54216,116731,353237,227485,68764,19713,192163,12557,93723,170677,12563,12562,12552,93888,93874,329628,13507,245827,320873,12943,12942,12558,12555,12565,93706,12554,93873,23836,93872,12561,12564,219257,18526,75599,268663,270120,93713,104010,93701,93717,93893,93704,73173,93879,53883,93699,93708,93705,107934,215654,14107,12550,12560,22295	Pcdhgb5,Pcdhgb6,Pcdhb20,Pcdh17,Pcdh9,Cdh26,Pcdhga6,Cdh18,Pcdha7,Celsr1,Pcdhga7,Pcdha12,Pcdha5,Pcdhb7,Cdh7,Pcdh15,Pcdhga8,Pcdh7,Pcdha1,Pcdhac2,Cdh19,Cdhr3,Ret,Pcdha3,Cdh17,Pcdhga11,Cdhr1,Cdh6,Cdh5,Cdh11,Pcdhb17,Pcdhb3,Fat4,Dsc3,Fat2,Cdh10,Pcdha10,Pcdha11,Cdh2,Cdh15,Cdh9,Pcdhgc3,Cdh13,Pcdhb2,Cdh20,Pcdhb1,Cdh4,Cdh8,Pcdh20,Pcdh10,Pcdh1,Cdhr2,Fat3,Pcdhga5,Cdh22,Pcdhgb4,Pcdhga9,Pcdhb22,Pcdhgb7,Pcdh18,Pcdhb8,Celsr2,Pcdhgb1,Pcdhgc5,Pcdhgb8,Celsr3,Cdh12,Fat1,Cdh1,Cdh3,Cdh23
PF00595	PDZ	7.97002561718361e-07	-14.0424079439602	127	76	0.0102564102564103	7410	19276	16885,69632,69239,207792,116838,13384,217692,109294,26875,245469,13385,12695,140887,243725,56524,227929,67903,93737,71096,244668,23859,72823,319924,14787,116837,59079,56513,21844,245684,55983,58220,333605,16886,50997,118449,76089,227157,54132,71729,268534,19249,71228,17356,215748,50791,27428,20649,545622,11784,50780,213019,242274,26941,192786,68070,56376,239618,360013,21873,21872,16170,14924,99470,74053,93742,24001,18693,18125,54120,27375,666060,73750,59020,380928,17475,110380	Limk1,Arhgef12,Pdzph1,BC034090,Rims2,Mpp3,Sipa1l1,Prex2,Pclo,Pdzd4,Dlg4,Patj,Lnx2,Ppp1r9a,Pals2,Cytip,Gipc1,Pard6g,Sntg1,Sipa1l2,Dlg2,Pard3b,Apba1,Rhpn1,Rims1,Erbin,Pard6a,Tiam1,Cnksr2,Pdzrn3,Pard6b,Frmpd4,Limk2,Mpp2,Synpo2,Rapgef2,Mpp4,Pdlim1,Rgs12,Sntg2,Ptpn13,Dlg5,Afdn,Cnksr3,Magi2,Shroom3,Sntb1,Ptpn3,Apba2,Rgs3,Pdlim2,Lrrc7,Nherf1,Rapgef6,Pdzd2,Pdlim5,Pdzrn4,Myo18a,Tjp2,Tjp1,Il16,Magi1,Magi3,Grip1,Pard3,Tiam2,Pick1,Nos1,Gipc2,Tjp3,Frmpd1,Whrn,Pdzk1,Lmo7,Mpdz,Shroom2
PF00233	PDEase_I	1.08064557318049e-06	-13.7379519424664	21	19	0.00256410256410256	7410	19276	18583,207728,241489,23984,225600,242202,238871,18587,18584,110385,18575,18578,54611,18577,18585,18573,218461,29863,110855	Pde7a,Pde2a,Pde11a,Pde10a,Pde6a,Pde5a,Pde4d,Pde6b,Pde8a,Pde4c,Pde1c,Pde4b,Pde3a,Pde4a,Pde9a,Pde1a,Pde8b,Pde7b,Pde6c
PF13927	Ig_3	1.33953684752138e-06	-13.5231866399255	120	72	0.0097165991902834	7410	19276	246256,16542,239857,71566,207683,14184,83964,242235,319504,15530,330222,545370,16456,231668,330908,17968,54725,56741,80891,237979,269784,78789,213262,102657,235106,13508,269116,244682,26365,18488,58235,14186,320027,20320,19649,53870,170643,14257,21367,19876,19280,240916,269473,18007,84004,19266,320772,83382,26367,268890,268902,71461,67703,114873,210094,14254,330483,117606,17967,320840,229499,114871,12661,235472,77739,320398,16206,71740,17136,14183,68709,57278	Fcgr4,Kdr,Cadm2,Clmp,Igsf11,Fgfr3,Jam3,Lrit3,Nrcam,Hspg2,Sdk1,Hmcn1,F11r,Vsig10,Opcml,Ncam2,Cadm1,Igdcc4,Fcrl2,Sdk2,Cntn4,Vsig1,Fstl5,Cd276,Ntm,Dscam,Nfasc,Cntn5,Ceacam1,Cntn3,Nectin1,Fgfr4,Fstl4,Nptn,Robo3,Cntn6,Kirrel1,Flt4,Cntn2,Robo1,Ptprs,Vsig8,Lrig2,Neo1,Mcam,Ptprd,Mdga2,Siglece,Ceacam2,Lsamp,Robo2,Ptk7,Kirrel3,Dscaml1,Iglon5,Flt1,Ceacam16,Boc,Ncam1,Negr1,Fcrl1,Psg28,Chl1,Prtg,Adamtsl1,Lrig3,Lrig1,Nectin4,Mag,Fgfr2,Cilp2,Bcam
PF00010	HLH	1.49089627349526e-06	-13.4161330930153	104	64	0.00863697705802969	7410	19276	21350,15214,20289,17428,15207,71093,140489,21425,94222,79362,21406,17095,67341,11925,50913,20465,15901,17928,20464,59058,114712,56184,21412,21413,18012,18071,11924,11921,22160,69852,17878,11865,15903,50914,277353,18072,18109,11922,11864,320522,11624,18014,18142,100039596,21407,16918,53404,13345,15213,84653,272322,20787,234219,58805,207806,17173,17172,15205,17681,17342,19213,12753,209446,15110	Tal2,Hey2,Scx,Mnt,Hes3,Atoh8,Bhlhe23,Tfeb,Olig3,Bhlhe41,Tcf12,Lyl1,Ascl4,Neurog3,Olig2,Sim2,Id1,Myog,Sim1,Bhlhe22,Ferd3l,Msgn1,Tcf21,Tcf4,Neurod1,Nhlh1,Neurog2,Atoh1,Twist1,Tcf23,Myf6,Bmal1,Id3,Olig1,Tcfl5,Nhlh2,Mycn,Neurod6,Arnt2,Bhlha9,Ahrr,Neurog1,Npas1,Tcf24,Tcf15,Mycl,Atoh7,Twist2,Hey1,Hes7,Bmal2,Srebf1,Helt,Mlxipl,Usf3,Ascl2,Ascl1,Hes1,Msc,Mitf,Ptf1a,Clock,Tfe3,Hand1
