TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PR00024	HOMEOBOX	8.63934961509916e-12	-25.4746938119762	91	67	0.0273804658765836	2447	6344	15426,109663,15402,21909,15425,231044,12023,14472,244813,13799,13172,27140,15371,15430,13390,15413,13395,15417,14842,17703,15436,13796,15401,104382,17702,14843,18096,15395,14912,18095,15396,15284,15414,15407,12022,20231,17701,15399,14029,15242,18094,17286,15423,12020,18091,672284,228731,17285,15416,14028,21869,13393,15410,15415,15285,18092,223843,13798,13392,21908,15432,54422,18089,18609,209448,13394,12590	Hoxc8,Hoxc11,Hoxa5,Tlx2,Hoxc6,Gbx1,Barx2,Gbx2,Bsx,En2,Dbx1,Tlx3,Hmx1,Hoxd10,Dlx1,Hoxb5,Dlx5,Hoxb9,Gsx1,Msx3,Hoxd4,Emx1,Hoxa4,Barhl2,Msx2,Gsx2,Nkx6-1,Hoxa10,Nkx6-2,Nkx3-1,Hoxa11,Hlx,Hoxb6,Hoxb1,Barx1,Nkx1-2,Msx1,Hoxa2,Evx2,Hhex,Nkx2-9,Meox2,Hoxc4,Nkx3-2,Nkx2-5,Nkx1-1,Nkx2-4,Meox1,Hoxb8,Evx1,Nkx2-1,Dlx3,Hoxb3,Hoxb7,Mnx1,Nkx2-6,Dbx2,En1,Dlx2,Tlx1,Hoxd12,Barhl1,Nkx2-3,Pdx1,Hoxc10,Dlx4,Cdx1
PR00387	PDIESTERASE1	4.15443294097092e-07	-14.6939197082653	19	18	0.00735594605639559	2447	6344	110385,18573,218461,23984,238871,242202,207728,18577,18575,110855,18587,18585,18583,29863,18584,18578,225600,241489	Pde4c,Pde1a,Pde8b,Pde10a,Pde4d,Pde5a,Pde2a,Pde4a,Pde1c,Pde6c,Pde6b,Pde9a,Pde7a,Pde7b,Pde8a,Pde4b,Pde6a,Pde11a
PR00109	TYRKINASE	9.13684796931627e-07	-13.9057801860957	97	61	0.024928483857785	2447	6344	14360,16001,381983,14186,19713,26564,13840,11682,59126,13839,71461,234878,17179,11350,26563,14191,14158,19229,21682,16885,13836,22174,20187,16886,12143,18213,26409,13869,14083,14183,13838,338372,13649,23920,83813,51789,20779,16452,16337,22637,243659,13842,230735,13848,18214,19882,12305,65964,14184,15162,22165,14182,17295,16451,13841,13837,18212,16428,71751,14302,13844	Fyn,Igf1r,Lmtk3,Fgfr4,Ret,Ror2,Epha6,Alk,Nek6,Epha5,Ptk7,Map3k21,Matk,Abl1,Ror1,Fgr,Fer,Ptk2b,Tec,Limk1,Epha2,Tyro3,Ryk,Limk2,Blk,Ntrk3,Map3k7,Erbb4,Ptk2,Fgfr2,Epha4,Map3k9,Egfr,Insrr,Tnk1,Tnk2,Src,Jak2,Insr,Zap70,Styk1,Epha8,Epha10,Ephb6,Ddr2,Mst1r,Ddr1,Map3k20,Fgfr3,Hck,Txk,Fgfr1,Met,Jak1,Epha7,Epha3,Ntrk2,Itk,Map3k13,Frk,Ephb2
PR00205	CADHERIN	1.38594235850517e-06	-13.4891302464415	116	70	0.0286064568859828	2447	6344	93891,12942,104010,192163,12557,93703,245827,11994,13507,329628,12941,68764,93714,12552,215654,12558,320865,93893,75599,93708,93699,93879,93702,170677,18526,14107,93717,93704,93701,227485,107934,12565,116731,12560,73173,12943,12554,93713,192164,268663,93878,12939,93872,22295,53883,23836,12562,12555,12561,12550,12564,93706,93874,93888,93705,320873,353237,54216,381409,211712,219228,93723,93715,241201,12614,219257,12563,93873,93716,270120	Pcdhb20,Pcdha11,Cdh22,Pcdha3,Cdh17,Pcdhgb6,Fat2,Pcdh15,Dsc3,Fat4,Pcdha5,Cdhr3,Pcdhga6,Cdh11,Cdh12,Cdh2,Cdh18,Pcdhb22,Pcdh1,Pcdhgc5,Pcdhgb1,Pcdhb8,Pcdhgb5,Cdhr1,Pcdh10,Fat1,Pcdhga9,Pcdhgb7,Pcdhgb4,Cdh19,Celsr3,Cdh9,Pcdha1,Cdh3,Pcdh18,Pcdha10,Cdh13,Pcdhga5,Pcdha12,Cdhr2,Pcdhb7,Pcdha7,Pcdhb1,Cdh23,Celsr2,Cdh20,Cdh5,Cdh15,Cdh4,Cdh1,Cdh8,Pcdhgc3,Pcdhb3,Pcdhb17,Pcdhgb8,Cdh10,Pcdhac2,Pcdh7,Cdh26,Pcdh9,Pcdh17,Pcdhga11,Pcdhga7,Cdh7,Celsr1,Pcdh20,Cdh6,Pcdhb2,Pcdhga8,Fat3
PR00047	STROIDFINGER	2.54612945101147e-06	-12.8809362142624	47	34	0.0138945647731917	2447	6344	26423,18124,225998,13983,19013,18171,218772,19015,11819,21907,26381,30942,14536,22337,21834,110784,15378,14815,22260,217166,20186,11835,15370,26424,26380,13865,19883,13982,18227,20181,22025,18667,19411,381463	Nr5a1,Nr4a3,Rorb,Esr2,Ppara,Nr1i2,Rarb,Ppard,Nr2f2,Nr2e1,Esrrg,Hnf4g,Nr6a1,Vdr,Thrb,Nr3c2,Hnf4a,Nr3c1,Nr1h2,Nr1d1,Nr1h4,Ar,Nr4a1,Nr5a2,Esrrb,Nr2f1,Rora,Esr1,Nr4a2,Rxra,Nr2c1,Pgr,Rarg,Nr1h5
PR00053	FORKHEAD	9.14693735416097e-06	-11.6020914500988	45	32	0.0130772374335922	2447	6344	14240,15227,14234,15220,15223,17300,74123,14106,384244,30923,17425,14238,64290,232077,15229,14236,116810,56484,14233,114142,14241,14235,14237,15221,108655,329934,14239,15228,15376,17301,15375,56458	Foxb2,Foxf1,Foxc2,Foxq1,Foxj1,Foxc1,Foxp4,Foxh1,Foxl3,Foxe3,Foxk1,Foxf2,Foxb1,Foxi3,Foxd1,Foxn2,Foxn4,Foxo3,Foxi1,Foxp2,Foxl1,Foxm1,Foxd4,Foxd3,Foxp1,Foxo6,Foxs1,Foxg1,Foxa2,Foxd2,Foxa1,Foxo1
PR00014	FNTYPEIII	2.97724991300632e-05	-10.4219254385237	32	24	0.00980792807519412	2447	6344	53311,19268,13842,13839,13848,19273,13837,13841,545156,13844,72007,319448,19280,18007,237979,17930,242702,13838,109272,68753,330222,13176,13840,19266	Mybph,Ptprf,Epha8,Epha5,Ephb6,Ptpru,Epha3,Epha7,Kalrn,Ephb2,Fndc3b,Fndc3a,Ptprs,Neo1,Sdk2,Myom2,Myom3,Epha4,Mybpc1,Mybphl,Sdk1,Dcc,Epha6,Ptprd
PR00398	STRDHORMONER	3.756910075775e-05	-10.1893286337793	47	32	0.0130772374335922	2447	6344	21834,15378,14815,22260,20186,217166,225998,26423,18124,18171,218772,13983,19013,21907,11819,19015,22337,14536,30942,26381,13865,19883,18227,13982,381463,19411,22025,18667,20181,26424,15370,26380	Thrb,Hnf4a,Nr3c1,Nr1h2,Nr1h4,Nr1d1,Rorb,Nr5a1,Nr4a3,Nr1i2,Rarb,Esr2,Ppara,Nr2e1,Nr2f2,Ppard,Vdr,Nr6a1,Hnf4g,Esrrg,Nr2f1,Rora,Nr4a2,Esr1,Nr1h5,Rarg,Nr2c1,Pgr,Rxra,Nr5a2,Nr4a1,Esrrb
PR00249	GPCRSECRETIN	5.32091338863761e-05	-9.84128048676011	40	28	0.0114425827543931	2447	6344	78249,99633,52614,22354,26364,215798,19228,53883,237175,14652,382045,12311,11517,22355,107934,54672,230775,13733,12614,319387,243277,381853,12921,224792,14602,54598,93896,77596	Adgrf4,Adgrl2,Adgre4,Vipr1,Adgre5,Adgrg6,Pth1r,Celsr2,Adgrg2,Glp1r,Adgrg5,Calcr,Adcyap1r1,Vipr2,Celsr3,Adgrg3,Adgrb2,Adgre1,Celsr1,Adgrl3,Adgrd1,Gipr,Crhr1,Adgrf5,Ghrhr,Calcrl,Glp2r,Adgrf1
PR01103	ADRENERGICR	0.000187286305631141	-8.58287206581008	9	9	0.00367797302819779	2447	6344	11549,11552,11555,11550,11554,11548,11553,11551,11556	Adra1a,Adra2b,Adrb2,Adra1d,Adrb1,Adra1b,Adra2c,Adra2a,Adrb3
