TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00389	HOX	3.97346368357253e-10	-21.6462127512412	252	158	0.0367783985102421	4296	9882	18994,71468,18998,15425,18736,12023,15242,14912,18291,80892,245596,20231,71950,16917,140477,14842,13393,15414,18997,16872,54422,18508,18933,16871,21909,208076,17286,13798,209448,18095,18089,110648,20472,104382,74318,15417,15371,15416,18091,20230,18509,216285,16875,11859,20475,225631,18092,21815,21869,13799,668814,12590,15399,21908,20204,16870,71597,100039913,12677,15396,15436,18771,15284,546024,18999,13796,22326,17702,15402,231044,15413,16371,240442,13394,387609,21410,15401,17701,252830,27217,672284,11695,18609,14028,18935,20429,12020,16874,17537,13047,22255,18740,15426,13390,15432,18096,75507,13172,16373,16392,17703,15423,17285,15285,18988,18516,109663,223843,18424,195333,243931,13048,14472,13395,244813,11694,19009,194588,110796,228911,19434,18423,239099,228839,18741,15408,20476,14836,11878,219150,24136,12022,64379,18742,246086,15430,228731,15415,13392,14843,22770,212712,15407,16815,14029,384452,18505,17536,15410,664783,18514,18986,11906,15395,54352,20473,18094,27140	Pou3f4,Obox1,Pou4f3,Hoxc6,Pou1f1,Barx2,Hhex,Nkx6-2,Nobox,Zfhx4,Hdx,Nkx1-2,Nanog,Lmx1b,Dmbx1,Gsx1,Dlx3,Hoxb6,Pou4f2,Lhx4,Barhl1,Pax6,Prrx1,Lhx3,Tlx2,Pknox2,Meox2,En1,Hoxc10,Nkx3-1,Nkx2-3,Lmx1a,Six2,Barhl2,Hopx,Hoxb9,Hmx1,Hoxb8,Nkx2-5,Satb1,Pax7,Alx1,Lhx8,Phox2a,Six5,Onecut2,Nkx2-6,Tgif1,Nkx2-1,En2,Gm9376,Cdx1,Hoxa2,Tlx1,Prrx2,Lhx2,Isx,Rhox2b,Vsx2,Hoxa11,Hoxd4,Pknox1,Hlx,Crxos,Pou5f1,Emx1,Vax1,Msx2,Hoxa5,Gbx1,Hoxb5,Irx1,Adnp2,Dlx4,Zhx2,Hnf1b,Hoxa4,Msx1,Obox6,Mixl1,Nkx1-1,Alx4,Pdx1,Evx1,Phox2b,Shox2,Nkx3-2,Lhx6,Meis3,Cux1,Uncx,Pitx1,Hoxc8,Dlx1,Hoxd12,Nkx6-1,Pou5f2,Dbx1,Irx3,Isl1,Msx3,Hoxc4,Meox1,Mnx1,Pou2f3,Pbx3,Hoxc11,Dbx2,Otx2,Gsc2,Tshz3,Cux2,Gbx2,Dlx5,Bsx,Alx3,Pou6f1,Obox7,Tshz1,Tshz2,Rax,Otx1,Homez,Tgif2,Pitx2,Hoxb13,Six6,Gsc,Arx,Hmbox1,Zeb2,Barx1,Irx6,Pitx3,Onecut3,Hoxd10,Nkx2-4,Hoxb7,Dlx2,Gsx2,Zhx1,Satb2,Hoxb1,Lbx2,Evx2,Noto,Pax3,Meis2,Hoxb3,Dux,Pbx1,Pou2f1,Zfhx3,Hoxa10,Irx5,Six3,Nkx2-9,Tlx3
SM00181	EGF	2.03373344728876e-09	-20.0133925964383	177	116	0.0270018621973929	4296	9882	17064,18191,19699,23876,171508,545370,54485,15530,16998,170788,23966,21828,18302,16782,17183,192188,226243,14114,14118,667277,16449,16775,13612,24087,114249,171171,20563,80883,20344,16997,15245,52020,21827,268935,23928,211323,11899,18131,18552,21826,13733,20564,53883,23964,54003,56788,18190,16780,320924,13003,21923,26364,18074,107934,75740,192187,65969,14119,620292,70417,16772,230316,94217,329278,228357,18189,170571,224024,16971,270120,636808,13645,634731,208777,18553,70945,23965,13388,329628,245827,64706,19128,21960,70445,216616,241324,22359,268780,14068,268977,81877,231470,102635496,353156,12614,16773,338352,16974,24117,214058,240675,66797,140474,17304,238680,77446,16774,14115,14107,13389,20562,226255,230971,18791,14725,16777	Cd93,Nrxn3,Reln,Fbln5,Creld1,Hmcn1,Dll4,Hspg2,Ltbp3,Crb1,Tenm4,Thbs4,Oit3,Lamc2,Matn4,Stab2,Habp2,Fbln1,Fbn1,C1rb,Jag1,Lama4,Edil3,Tll2,Npnt,Ntng2,Slit2,Ntng1,Selp,Ltbp2,Hhip,Umodl1,Thbs3,Scube3,Lamc3,Nrg1,Astn1,Notch3,Pcsk5,Thbs2,Adgre1,Slit3,Celsr2,Tenm2,Nell2,Scube2,Nrxn2,Lamb3,Ccbe1,Vcan,Tnc,Adgre5,Nid2,Celsr3,Egfem1,Stab1,Cubn,Fbn2,Cntnap5c,Megf10,Lama1,Megf9,Lrp1b,Tnn,Lrp4,Nrxn1,Cntnap4,Scarf2,Lrp1,Fat3,Cntnap5a,Egf,Susd1,Sned1,Pcsk6,Mmrn1,Tenm3,Dll1,Fat4,Fat2,Scube1,Pros1,Tnr,Cd248,Efemp1,Crb2,Vldlr,Egflam,F7,Ltbp1,Tnxb,Fras1,Malrd1,Egfl7,Celsr1,Lama2,Nell1,Lrp6,Wif1,Megf11,Vwa2,Cntnap2,Muc4,Mfge8,Cntnap3,Heg1,Lama3,Fbln2,Fat1,Dll3,Slit1,Atrnl1,Megf6,Plat,Lrp2,Lamb1
SM00408	IGc2	2.7773800525534e-08	-17.3991726877526	228	140	0.0325884543761639	4296	9882	545156,210801,11790,57278,14183,75690,14129,53870,16979,68802,22174,268890,83964,26564,26438,109272,242235,26365,19268,60367,12661,225638,69675,331461,17930,58235,71566,239857,14186,235472,170643,117606,19266,269959,17968,68753,26436,101434,116904,18613,330908,319504,71461,12501,630146,16194,241568,18488,80749,231668,224792,330483,268902,547431,213262,14184,17967,12804,240916,269116,17136,98752,16160,77739,72333,330222,26563,84004,269784,17082,226438,71306,18007,320772,269473,211323,18212,320398,14257,83382,242702,16178,102657,19280,56741,320840,54725,53311,107589,71740,105827,20320,14254,70530,107527,18595,75426,114872,15530,13052,13176,545370,21367,67703,107250,16590,192198,320027,238205,14182,242384,237979,68709,22253,235106,100042150,29817,210094,16456,20354,114871,223435,19649,244682,16542,114873,107449,233067,66601,72431,13508,80891,235402,16206,207683,16980,78789,19876,246256,26367	Kalrn,Unc5d,Speg,Bcam,Fgfr2,Vsig10l,Fcgr1,Cntn6,Lrrn1,Mypn,Tyro3,Lsamp,Jam3,Ror2,Psg18,Mybpc1,Lrit3,Ceacam1,Ptprf,Il1rapl2,Chl1,Alpk2,Pxdn,Il1rapl1,Myom2,Nectin1,Clmp,Cadm2,Fgfr4,Prtg,Kirrel1,Boc,Ptprd,Adamtsl3,Ncam2,Mybphl,Psg16,Ceacam15,Alpk3,Pecam1,Opcml,Nrcam,Ptk7,Cd3e,Cd101,Il6ra,Lrrc4c,Cntn3,Lrfn1,Vsig10,Adgrf5,Ceacam16,Robo2,Btnl2,Fstl5,Fgfr3,Ncam1,Cntfr,Vsig8,Nfasc,Mag,Fcrla,Il12b,Adamtsl1,Palld,Sdk1,Ror1,Mcam,Cntn4,Il1rl1,Igfn1,Mfap3l,Neo1,Mdga2,Lrig2,Nrg1,Ntrk2,Lrig3,Flt4,Siglece,Myom3,Il1r2,Cd276,Ptprs,Igdcc4,Negr1,Cadm1,Mybph,Mylk,Nectin4,Amigo2,Nptn,Flt1,Lrfn2,Il1rl2,Pdgfra,Igfbpl1,Psg29,Hspg2,Cxadr,Dcc,Hmcn1,Cntn2,Kirrel3,Kazald1,Kit,Lrrc4,Fstl4,Lrfn5,Fgfr1,Lingo2,Sdk2,Cilp2,Unc5c,Ntm,Nrg2,Igfbp7,Iglon5,F11r,Sema4d,Psg28,Trio,Robo3,Cntn5,Kdr,Dscaml1,Unc5b,Lrfn3,Tmigd1,Ceacam18,Dscam,Fcrl2,Lingo1,Lrig1,Igsf11,Lrrn2,Vsig1,Robo1,Fcgr4,Ceacam2
SM00282	LamG	6.80190780812851e-08	-16.503477611101	40	34	0.00791433891992551	4296	9882	16772,620292,121021,338352,16773,12614,270120,170571,18189,636808,268780,12819,20563,20415,14107,107934,20562,22283,18190,19128,170788,54003,245827,16774,238680,241324,16775,18191,53321,329628,15530,53883,20564,66797	Lama1,Cntnap5c,Cspg4,Nell1,Lama2,Celsr1,Fat3,Cntnap4,Nrxn1,Cntnap5a,Egflam,Col15a1,Slit2,Shbg,Fat1,Celsr3,Slit1,Ush2a,Nrxn2,Pros1,Crb1,Nell2,Fat2,Lama3,Cntnap3,Crb2,Lama4,Nrxn3,Cntnap1,Fat4,Hspg2,Celsr2,Slit3,Cntnap2
SM00233	PH	7.83074067960446e-08	-16.3626236433271	252	151	0.0351489757914339	4296	9882	71435,210293,544817,21682,212285,226525,240753,211914,17207,110596,320129,13448,67016,76829,353047,19877,18805,227333,380921,68018,269615,18799,71704,70292,75547,19157,208177,106766,78473,71096,20947,223254,319934,106326,215632,219140,27062,109135,277360,14783,27260,75415,26377,76303,24055,231717,54126,19415,80297,69632,109934,57257,13998,18760,20166,78514,54353,102075,223435,76117,14388,19159,234353,216190,231134,94190,245666,226751,24001,71801,19417,232237,69601,114255,230972,226970,103967,384783,331374,623279,232970,72318,102098,69239,74486,320495,16367,194231,226971,218952,347722,13429,16560,74002,102595,213522,545156,20649,19418,79196,19414,26382,105445,114713,50915,101540,16428,22325,241075,213783,69710,106877,381605,20741,230837,263406,622434,54153,216439,78255,74309,227120,245684,21844,216445,20742,71302,231999,109294,216991,269608,13196,71720,53972,27276,83435,239027,77300,233765,16369,213556,231532,213649,26936,244867,110279,17909,240505,16561,241639,224860	Arhgap21,Dock10,Arhgap27,Tec,Arap2,Rasal2,Plekha6,Asap2,Mcf2l,Arhgef28,Grk3,Dok1,Tbc1d2b,Dok5,Plekhm1,Rock1,Pld1,Dgkd,Dgkh,Cert1,Plch2,Plcd1,Arhgef3,Afap1,Akap13,Cyth1,Phldb2,Stap2,Skap1,Sntg1,Swap70,Farp1,Sbf2,Osbpl11,Psd4,Spata13,Cadps,Plekha5,Prex1,Grb10,Plek2,Arhgap12,Dapp1,Osbp,Sh3bp2,Pheta1,Arhgef7,Rasal1,Sptbn4,Arhgef12,Abr,Vav3,Fgd6,Prkd1,Rtkn,Arhgap10,Skap2,Plekhg4,Trio,Arhgap15,Gab1,Cyth3,Psd3,Appl2,Dok7,Ophn1,Iqsec2,Cdc42bpa,Tiam2,Plekhf2,Rasgrf1,Fgd5,Dab2ip,Dok4,Arhgef16,Arhgef4,Dnm3,Irs2,Dgkk,Dok6,Phldb3,Cyth4,Arhgef18,Pdzph1,Osbpl10,Ipcef1,Irs1,Cnksr1,Plekhb2,Fermt2,Agap1,Dnm1,Kif1a,Psd2,Plekho2,Plekhg6,Kalrn,Sntb1,Rasgrf2,Osbpl5,Rasa3,Fgd2,Dock9,Rasa2,Grb14,Prkd2,Itk,Vav2,Plekhm3,Plekhg1,Arap1,Afap1l1,Tbc1d2,Sptb,Asap3,Plekhg3,Arhgef26,Rasa4,Agap2,Ralgps2,Osbp2,Plcl1,Cnksr2,Tiam1,Arhgap9,Sptbn1,Arhgap26,Plekha8,Prex2,Adap2,Plekhg5,Asap1,Osbpl3,Ngef,Plekhb1,Plekha3,Arhgap22,Raph1,Plekha7,Irs3,Plekhh2,Arhgap24,Arhgef19,Mprip,Arhgap20,Bcr,Myo10,Cdc42bpg,Kif1b,Fermt1,Plcl2
SM00179	EGF_CA	8.77106347409169e-06	-11.6440524962077	122	77	0.0179236499068901	4296	9882	114249,268780,20563,14068,268977,20344,16997,52020,12614,353156,268935,338352,21827,17064,634731,208777,70945,545370,54485,171508,23876,13388,329628,16998,15530,64706,170788,245827,19128,18302,21828,192188,17183,226243,70445,14118,14114,17174,16449,667277,216616,24087,13612,22359,241324,14107,13389,26364,18074,20562,107934,65969,230971,75740,192187,14119,94217,228357,14725,270120,16971,13645,18131,21826,240675,13733,53883,20564,72832,23964,54003,56788,320924,77446,13003,52614,14115	Npnt,Egflam,Slit2,F7,Ltbp1,Selp,Ltbp2,Umodl1,Celsr1,Egfl7,Scube3,Nell1,Thbs3,Cd93,Susd1,Sned1,Mmrn1,Hmcn1,Dll4,Creld1,Fbln5,Dll1,Fat4,Ltbp3,Hspg2,Scube1,Crb1,Fat2,Pros1,Oit3,Thbs4,Stab2,Matn4,Habp2,Cd248,Fbn1,Fbln1,Masp1,Jag1,C1rb,Efemp1,Tll2,Edil3,Vldlr,Crb2,Fat1,Dll3,Adgre5,Nid2,Slit1,Celsr3,Cubn,Megf6,Egfem1,Stab1,Fbn2,Lrp1b,Lrp4,Lrp2,Fat3,Lrp1,Egf,Notch3,Thbs2,Vwa2,Adgre1,Celsr2,Slit3,Crtac1,Tenm2,Nell2,Scube2,Ccbe1,Heg1,Vcan,Adgre4,Fbln2
SM00409	IG	1.17381708225606e-05	-11.3526645629812	378	205	0.0477188081936685	4296	9882	620235,105827,71740,107589,11595,70530,14254,16177,13052,75426,19272,98365,20353,21367,71306,226438,211323,18212,269473,83382,14257,320398,17086,242702,211739,16174,19280,66601,13003,114873,107449,72431,13508,78789,16206,207683,20349,246256,229499,16590,54215,237979,242384,235106,22253,19221,19294,114871,69675,407814,58235,17930,217303,12477,14186,117606,170643,107448,545156,14183,57278,75690,328830,381484,268890,26365,109272,68481,12661,60367,19268,268902,14184,668101,100039795,240916,12516,269116,230622,17136,98752,72333,50723,84004,12522,26436,246746,17968,101434,70693,231668,80749,241568,330483,54725,53311,235281,20320,751864,632126,276891,107527,277432,15530,12506,114872,18595,13176,545370,67703,107250,14125,18007,74761,320772,68810,12231,16178,102657,78908,320840,56741,233067,16542,208154,18566,80891,235402,16980,19876,26367,320027,192198,84544,238205,20346,14182,68709,16456,210094,29817,100042150,223435,72058,244682,19649,106347,230868,26456,331461,71566,12518,117586,239857,27028,329919,235472,13723,11790,58998,210801,233274,12950,19274,53870,14129,83964,22174,17085,16979,68802,242235,26438,26564,225638,547431,171285,17967,195564,213262,12804,319742,77739,238555,330222,26563,242627,17082,269784,19273,269959,18213,19266,68753,18613,116904,217306,330908,319504,630146,71461,12519,18488,16194,224792	Siglec15,Amigo2,Nectin4,Mylk,Acan,Lrfn2,Flt1,Il1r1,Cxadr,Igfbpl1,Ptprk,Slamf9,Sema4c,Cntn2,Mfap3l,Igfn1,Nrg1,Ntrk2,Lrig2,Siglece,Flt4,Lrig3,Ncr1,Myom3,Vstm2a,Il18rap,Ptprs,Tmigd1,Vcan,Dscaml1,Unc5b,Ceacam18,Dscam,Vsig1,Lrig1,Igsf11,Sema3e,Fcgr4,Fcrl1,Kit,Cd160,Sdk2,Lingo2,Ntm,Unc5c,Ptgfrn,Nectin2,Psg28,Pxdn,Timd6,Nectin1,Myom2,Cd300a,Ctla4,Fgfr4,Boc,Kirrel1,Unc5a,Kalrn,Fgfr2,Bcam,Vsig10l,A530064D06Rik,Gm5150,Lsamp,Ceacam1,Mybpc1,Mpzl1,Chl1,Il1rapl2,Ptprf,Robo2,Fgfr3,Sirpb1b,Ildr2,Vsig8,Cd7,Nfasc,Skint6,Mag,Fcrla,Palld,Icosl,Mcam,Cd83,Psg16,Cd300lf,Ncam2,Ceacam15,Adgra3,Vsig10,Lrfn1,Lrrc4c,Ceacam16,Cadm1,Mybph,Scn3b,Nptn,Sirpd,Btnl4,Timd4,Il1rl2,Vstm2l,Hspg2,Cd48,Psg29,Pdgfra,Dcc,Hmcn1,Kirrel3,Kazald1,Fcer1a,Neo1,Mxra8,Mdga2,Nexn,Btn1a1,Il1r2,Cd276,Igsf3,Negr1,Igdcc4,Lrfn3,Kdr,Btla,Pdcd1,Fcrl2,Lingo1,Lrrn2,Robo1,Ceacam2,Fstl4,Lrrc4,Cd96,Lrfn5,Sema3a,Fgfr1,Cilp2,F11r,Iglon5,Igfbp7,Nrg2,Trio,Igsf5,Cntn5,Robo3,Ildr1,Igsf21,Sema4g,Il1rapl1,Clmp,Cd79a,A1bg,Cadm2,Ermap,Skint2,Prtg,Emb,Speg,Nectin3,Unc5d,Siglech,Hapln1,Ptprm,Cntn6,Fcgr1,Jam3,Tyro3,Ly9,Lrrn1,Mypn,Lrit3,Psg18,Ror2,Alpk2,Btnl2,Havcr2,Ncam1,Skint3,Fstl5,Cntfr,Mpzl3,Adamtsl1,Btn2a2,Sdk1,Ror1,Skint5,Il1rl1,Cntn4,Ptpru,Adamtsl3,Ntrk3,Ptprd,Mybphl,Pecam1,Alpk3,Cd300e,Opcml,Nrcam,Cd101,Ptk7,Cd80,Cntn3,Il6ra,Adgrf5
SM00228	PDZ	1.4363870311421e-05	-11.1507945103643	148	90	0.0209497206703911	4296	9882	333605,666060,97998,116838,71096,170720,56376,17475,78558,50997,213019,14924,210274,26941,67903,17356,74206,12695,71435,55983,93737,245469,14787,21873,72823,16885,207792,59079,56513,69632,110380,68070,54132,73750,19249,27428,227157,268534,50780,58234,192786,545622,116837,56213,13385,71729,58220,277360,20649,194231,69239,140887,50791,380614,242274,93742,380928,18693,27375,24001,319924,71228,13384,59020,360013,99470,227929,11784,76089,118449,215748,244668,56527,26875,74053,239618,243725,330723,16886,23859,217692,328329,18125,56524,109294,21844,54120,21872,245684,16170	Frmpd4,Frmpd1,Deptor,Rims2,Sntg1,Card14,Pdlim5,Mpdz,Htra3,Mpp2,Pdlim2,Magi1,Shank2,Nherf1,Gipc1,Afdn,Sipa1l3,Patj,Arhgap21,Pdzrn3,Pard6g,Pdzd4,Rhpn1,Tjp2,Pard3b,Limk1,BC034090,Erbin,Pard6a,Arhgef12,Shroom2,Pdzd2,Pdlim1,Whrn,Ptpn13,Shroom3,Mpp4,Sntg2,Rgs3,Shank3,Rapgef6,Ptpn3,Rims1,Htra1,Dlg4,Rgs12,Pard6b,Prex1,Sntb1,Cnksr1,Pdzph1,Lnx2,Magi2,Intu,Lrrc7,Pard3,Lmo7,Pick1,Tjp3,Tiam2,Apba1,Dlg5,Mpp3,Pdzk1,Myo18a,Magi3,Cytip,Apba2,Rapgef2,Synpo2,Cnksr3,Sipa1l2,Mast1,Pclo,Grip1,Pdzrn4,Ppp1r9a,Htra4,Limk2,Dlg2,Sipa1l1,Mast4,Nos1,Pals2,Prex2,Tiam1,Gipc2,Tjp1,Cnksr2,Il16
SM00399	ZnF_C4	5.63026039630474e-05	-9.7847697723243	47	34	0.00791433891992551	4296	9882	19883,11819,18667,26424,11835,19015,218772,14536,19411,22025,381463,15370,20186,18124,22260,110784,18171,19013,22337,26381,13982,26423,13983,225998,21834,26380,13865,20181,18227,15378,21907,30942,217166,14815	Rora,Nr2f2,Pgr,Nr5a2,Ar,Ppard,Rarb,Nr6a1,Rarg,Nr2c1,Nr1h5,Nr4a1,Nr1h4,Nr4a3,Nr1h2,Nr3c2,Nr1i2,Ppara,Vdr,Esrrg,Esr1,Nr5a1,Esr2,Rorb,Thrb,Esrrb,Nr2f1,Rxra,Nr4a2,Hnf4a,Nr2e1,Hnf4g,Nr1d1,Nr3c1
SM00353	HLH	7.55753745561404e-05	-9.49038006122582	110	68	0.015828677839851	4296	9882	15214,11924,59058,20289,114712,17173,18142,18012,17878,84653,16918,18109,19213,27386,50914,15903,13819,21412,15205,320522,272322,18071,11624,234219,11865,11922,21425,277353,58805,15110,18072,22160,21406,20464,140489,18014,67341,11921,53404,79362,11925,17172,15901,21407,207806,21350,17342,12753,100039596,21413,94222,69852,56184,71093,17979,17428,15213,11864,17681,20465,17928,50913,15251,209446,15207,13345,17095,20787	Hey2,Neurog2,Bhlhe22,Scx,Ferd3l,Ascl2,Npas1,Neurod1,Myf6,Hes7,Mycl,Mycn,Ptf1a,Npas3,Olig1,Id3,Epas1,Tcf21,Hes1,Bhlha9,Bmal2,Nhlh1,Ahrr,Helt,Bmal1,Neurod6,Tfeb,Tcfl5,Mlxipl,Hand1,Nhlh2,Twist1,Tcf12,Sim1,Bhlhe23,Neurog1,Ascl4,Atoh1,Atoh7,Bhlhe41,Neurog3,Ascl1,Id1,Tcf15,Usf3,Tal2,Mitf,Clock,Tcf24,Tcf4,Olig3,Tcf23,Msgn1,Atoh8,Ncoa3,Mnt,Hey1,Arnt2,Msc,Sim2,Myog,Olig2,Hif1a,Tfe3,Hes3,Twist2,Lyl1,Srebf1
