TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
WP2309	XPodNet - protein-protein interactions in the podocyte expanded by STRING	1.97608921793425e-12	-26.9499013668457	838	443	0.215152986886838	2059	4906	103967,16367,20181,16572,11489,14066,11472,14401,54004,18193,16691,13644,231470,68058,68404,50913,16773,11482,171531,59287,15530,18187,319924,14783,18706,11864,13836,14489,17295,22431,215280,54607,14102,13047,12628,12562,21416,58998,110829,12167,14115,18479,12822,224796,17886,18131,18109,21912,16452,12161,56715,18212,241324,74352,16531,16765,140723,17199,12162,56213,18124,18844,18510,17125,16000,227743,56013,12561,384783,71775,57342,21834,13838,53321,69908,16871,15376,11608,238130,15251,14107,18451,12389,18810,74053,239405,13840,20410,16410,18708,11481,241226,21813,13016,12122,20692,15194,237459,19339,18189,18792,214444,13199,50754,64930,12322,72058,26992,20404,14804,12477,16416,21872,22337,12124,320207,11461,23959,210757,17463,54353,16542,54485,12487,112407,16332,21367,66102,18750,18504,22142,19268,16842,56443,12577,17754,14083,13819,17762,17130,268859,17126,66889,225341,12159,19341,27218,17475,21809,18008,13052,19055,104027,17207,57278,14623,13388,71745,668303,17128,60595,70549,232906,17984,13082,93960,22288,12753,16337,16008,235442,17913,50798,11554,20315,21415,15213,211652,12043,66725,13448,22770,12501,11975,12740,19211,30955,16490,13642,73178,12507,13039,21390,240725,83382,22339,16917,66313,13848,21844,16822,54126,58194,56320,208154,16569,12452,18003,22041,20538,19303,16782,16591,72433,20779,74244,227937,18764,12927,12695,11350,12166,56177,243328,83964,13557,75477,216033,18016,54401,18125,170643,83671,16772,18538,11607,18779,242274,17756,18707,16998,268902,13857,64929,73542,13844,21848,19713,58235,18049,216190,11789,11772,11845,18160,11981,14406,71365,74769,228536,12143,12741,67393,74117,22218,14042,83408,24052,50766,16533,12308,109700,14924,18074,387609,229658,192119,11865,27278,66795,18213,20346,72145,69993,83814,22330,192897,12450,18710,26921,14254,14609,53624,16777,11610,20218,14234,13992,16197,23928,24117,12443,21412,19264,18693,83672,17131,67923,12550,319594,16456,18771,20979,19894,93742,12168,76089,18508,59006,12830,12560,17127,54611,20649,21414,16475,19013,64652,18749,23938,210789,20742,19247,13429,268977,66993,18007,78808,77579,238871,21814,58804,94187,76408,239036,15896,67703,27205,50791,22629,16001,76709,24136,72333,22325,26558,19876,241201,19229,13869,64176,71602,80976,14388,252870,11517,14082,14811,18704,94217,15110,17060,20411,73181,16411,218772,12305,26380,109880,12343,16412,26408,14800,228357,14360,213556,14812,12125,20400,14463,118449,72281,231532,20166,74192,16419,21803,12488,226041,20419,15481,74440,14281,12977,56299,17258,58220,13717,54377,170770,55982,18762,16392,16423,19249,18613,104010,67903,18741,13643,56513,83767,93840,21808,12370,12385,330222,20613,16009,50914,110157,12540,231830,11819,12558,13617,29817,330914,12739,22627,14784,12578,13162	Dnm3,Irs1,Rxra,Kif5a,Adam12,F3,Actn2,Gabrb2,Diaph2,Nsd1,Krt8,Efs,Fras1,Chd1l,Nrn1,Olig2,Lama2,Acvrl1,Mlph,Ncstn,Hspg2,Nrp2,Apba1,Grb10,Pik3ca,Arnt2,Epha2,Mtpn,Met,Wt1,Wipf1,Socs6,Fas,Cux1,Cfh,Cdh5,Tcf7l2,Nectin3,Lims1,Bmpr1b,Fbln2,Pak1,Col18a1,Clic5,Myh9,Notch3,Mycn,Tspan7,Jak2,Bmp6,Rabgef1,Ntrk2,Crb2,Zfp84,Kcnma1,Stmn1,Cacng5,Mc1r,Bmp7,Htra1,Nr4a3,Plxna1,Pax8,Smad1,Igf1,Mapkap1,Srcin1,Cdh4,Irs2,Inhca,Parva,Thrb,Epha4,Cntnap1,Rab3b,Lhx3,Foxa2,Agtr1b,Dock4,Hif1a,Fat1,P4ha1,Cav1,Plec,Grip1,Rspo2,Epha6,Sorbs3,Itgav,Pik3r1,Acvr2b,Itga8,Tgfbr2,Ctbp1,Bid,Sparc,Htt,Cdk17,Rab3a,Nrxn1,Plau,Cdk5rap2,Ddn,Fbxw7,Tsc1,Camk2a,Igsf5,Brd7,Sh3gl2,Grid2,Ctla4,Itgb3,Tjp1,Vdr,Bik,Pik3r5,Actb,Nt5e,Themis,Psmd7,Skap2,Kdr,Dll4,Cd28,Egln3,Inppl1,Cntn2,Cxcl16,Prkca,Pax2,Tuba1a,Ptprf,Lef1,Arpc1a,Cdkn1c,Map1a,Ptk2,Epas1,Mapt,Smad6,Rbfox1,Smad2,Rnf128,Lims2,Bmp4,Rab4a,Slamf1,Mpdz,Tgfb3,Nes,Cxadr,Ppp3ca,Synpo,Mcf2l,Bcam,Gjb6,Dll1,Cul2,Kif26a,Smad4,Actn4,Tln2,Arhgap35,Ndn,Cyp26a1,Nkd1,Utrn,Clock,Insr,Igfbp2,Rab8b,Myo1c,Gne,Adrb1,Cxcl12,Tcf7l1,Hey1,Wwc1,Bcl2,Lrrk2,Dok1,Zhx1,Cd3e,Atp6v0a1,Cldn4,Pten,Pik3cg,Kcna2,Efnb2,Wasl,Cd5,Ctsl,Tbxa2r,Sulf1,Siglece,Vegfa,Lmx1b,Smurf2,Ephb6,Tiam1,Lcp2,Arhgef7,Sh3kbp1,Dbn1,Btla,Kif3b,Ccng2,Nedd9,Trf,Slc6a2,Pxn,Lamc2,Kl,Rab38,Src,Atg7,Pkp4,Pkd2,Bcar1,Patj,Abl1,Bmpr1a,Olfm1,Slc29a4,Jam3,E2f3,Pfn3,Ctnna3,Nf2,Ywhab,Nos1,Kirrel1,Sytl2,Lama1,Pcna,Agtr1a,Pla2r1,Lrrc7,Map2,Pik3cd,Ltbp3,Robo2,Epor,Scel,Tssk5,Ephb2,Trim24,Ret,Nectin1,Ngf,Appl2,Apc,Ap2a2,Arf6,Npr1,Atp9a,Gabrg2,Pdss2,Pik3cb,Bahd1,Blk,Cldn5,Cxxc5,Actr3,Sumo1,Ext1,Gimap3,Sgcd,Crim1,Kcnmb1,Calb2,Itga1,Magi1,Nid2,Zhx2,Vangl1,Dicer1,Bmal1,Clnk,Atg10,Ntrk3,Sema3a,Wdfy3,Chn2,Nedd4l,Vcl,Itgb4,Ccng1,Pik3r3,Map4k4,Flt1,Gja1,Cldn7,Lamb1,Agtrap,Khdrbs1,Foxc2,Khdrbs3,Il7r,Lamc3,Wif1,Ccnd1,Tcf21,Ptprc,Pick1,Sytl3,Smad7,Eloc,Cdh1,Hif1an,F11r,Pknox1,Syt1,Rph3a,Pard3,Bmpr2,Rapgef2,Pax6,Myoz2,Col4a5,Cdh3,Smad3,Pde3a,Sntb1,Tcf7,Ajuba,Ppara,Nisch,Prkacb,Map2k5,Tbc1d4,Sptbn1,Ptpn11,Dnm1,Ltbp1,Smarcd3,Neo1,Stxbp5,Myh10,Pde4d,Tgfbr3,Cdc42ep5,Zfp423,Abcc3,4930596D02Rik,Icam2,Kirrel3,Podxl,Magi2,Ywhah,Igf1r,Arpc2,Zeb2,Palld,Vav2,Homer3,Robo1,Cdh7,Ptk2b,Erbb4,Sv2b,Myo1e,Syt13,Gab1,Usp7,Adcyap1r1,Fadd,Grin2a,Pik3c2a,Lrp1b,Hand1,Blnk,Sorbs1,Nfatc4,Itgax,Rarb,Ddr1,Esrrb,Braf,Capza2,Itgb1,Map3k5,Gria2,Lrp4,Fyn,Plekhh2,Grin2b,Bcl2l11,Sh2d1a,Gata4,Synpo2,Sh2d4a,Arhgap24,Rtkn,Arpc5l,Itgb5,Tgfb1,Cd2ap,Pgm5,Shcbp1,Hspa8,Cmip,Fos,Csf1,Fkbpl,Mef2a,Pard6b,Eln,Cacng4,Bbc3,Paxip1,Prkcz,Isl1,Cd47,Ptpn13,Pecam1,Cdh22,Gipc1,Pitx2,Efnb3,Pard6a,Wasf1,Vangl2,Tgfb2,Casp8,Ctnna1,Sdk1,Snai1,Igfbp3,Olig1,Raf1,Cdc42,Micall2,Nr2f2,Cdh2,Ednra,Igfbp7,Arhgap32,Cldn3,Ywhae,Grb2,Cdkn2a,Slc6a3
WP1270	Endochondral Ossification	2.30810575888479e-09	-19.88683866661	62	49	0.0237979601748422	2059	4906	13039,22339,12406,21821,21808,17260,18214,12393,16002,14600,14182,20378,12161,20846,11595,20259,12283,12399,14172,19206,12577,14173,19226,20678,58214,18792,18605,12020,19227,18791,12166,16000,19228,16147,12162,14184,67760,58250,17395,20679,240913,208727,20682,21859,11647,16001,21803,12824,20851	Ctsl,Vegfa,Serpinh1,Ift88,Tgfb2,Mef2c,Ddr2,Runx2,Igf2,Ghr,Fgfr1,Frzb,Bmp6,Stat1,Acan,Scin,Cab39,Runx3,Fgf18,Ptch1,Cdkn1c,Fgf2,Pth,Sox5,Cst5,Plau,Enpp1,Nkx3-2,Pthlh,Plat,Bmpr1a,Igf1,Pth1r,Ihh,Bmp7,Fgfr3,Slc38a2,Chst11,Mmp9,Sox6,Adamts4,Hdac4,Sox9,Timp3,Alpl,Igf1r,Tgfb1,Col2a1,Stat5b
WP1396	Non-odorant GPCRs	1.07743579469835e-06	-13.7409266040308	267	150	0.0728508984944148	2059	4906	12061,12778,19217,12775,93896,20608,15465,242425,20605,54393,14823,15563,21390,14362,216749,12273,107934,78826,232431,14369,114229,99633,14371,319757,19214,230775,13617,353344,22355,140741,108073,65086,14065,15557,14744,387616,11556,54598,14309,14602,12767,12801,387347,21336,11551,319387,208188,18441,13489,23796,22045,17199,243764,14428,13491,12458,17201,52614,11541,268934,381810,18386,12311,11554,381489,19204,70839,226278,15565,11608,54140,12614,13733,17171,18390,18101,53883,237175,207911,14064,213788,15550,14745,14370,56696,12769,246313,244701,15566,108071,22095,12777,94226,13610,19218,22354,20607,57265,64297,11553,12374,17202,13609,11552,15558,18442,21338,18430,11549,13618,16867,233571,93746,12671,11517,74191,238377,11540,387515,76854,26364,229214,18216,319239,12145,18169,14427,239283,19228,140498,108069,12921,11555,14816,14367,20606,11607,11548,11550,381853,84112,57254,11539,14652,26361,13490,12062,19220,17200,387285	Bdkrb1,Ackr3,Ptger2,Ccr7,Glp2r,Sstr4,Hrh1,Gabbr2,Sstr1,Gabbr1,Grm8,Htr5a,Tbxa2r,Fzd1,Nmur2,C5ar1,Celsr3,P2ry10,Gprc5a,Fzd7,Kiss1r,Adgrl2,Fzd9,Smo,Ptgdr,Adgrb2,Ednra,Opn5,Vipr2,Gpr6,Grm7,Lpar3,F2rl3,Htr1f,Gpr65,Tas2r140,Adrb3,Calcrl,Fshr,Ghrhr,Cxcr4,Cnr1,Tas2r118,Tacr1,Adra2a,Adgrl3,Ghsr,P2ry1,Drd2,Aplnr,Trhr,Mc1r,Chrm2,Galr2,Drd4,Ccr6,Mc3r,Adgre4,Adora2b,Grm4,Lpar5,Oprd1,Calcr,Adrb1,Rxfp1,Ptafr,P2ry12,Prlhr,Htr6,Agtr1b,Avpr1a,Celsr1,Adgre1,Mas1,Oprm1,Nmbr,Celsr2,Adgrg2,Mchr1,F2rl2,Chrm5,Htr1a,Lpar1,Fzd8,Gpr132,Ccr9,Prokr2,Mtnr1b,Htr7,Grm5,Tshr,Ccr10,S1pr5,S1pr3,Ptger3,Vipr1,Sstr3,Fzd2,Gprc5b,Adra2c,Casr,Mc4r,S1pr1,Adra2b,Htr2a,P2ry2,Tacr3,Oxtr,Adra1a,Ednrb,Lhcgr,P2ry6,Gprc5d,Chrm3,Adcyap1r1,P2ry13,Gpr68,Adora2a,Tas2r144,Gper1,Adgre5,Qrfpr,Ntsr1,Npsr1,Cxcr5,Npy6r,Galr1,Oxgr1,Pth1r,Rxfp2,Grm3,Crhr1,Adrb2,Grm1,Fzd5,Sstr2,Agtr1a,Adra1b,Adra1d,Gipr,Sucnr1,Tas2r119,Adora1,Glp1r,Avpr1b,Drd3,Bdkrb2,Ptgfr,Mc2r,Hcrtr2
WP2310	PodNet: protein-protein interactions in the podocyte	3.60568399809354e-06	-12.5329990692767	315	171	0.0830500242836328	2059	4906	18706,11607,242274,18779,59287,170643,15530,216033,54401,243328,56177,68404,231470,12166,12695,12927,14066,20181,18764,103967,19303,20779,50766,14042,74117,18131,224796,17886,67393,110829,12822,74769,18479,71365,12628,13047,17295,64929,22431,18707,268902,18451,14107,15251,11608,22330,192897,57342,16000,20346,16531,18213,12162,17199,229658,387609,56715,18074,14924,241324,192119,12830,76089,93742,13199,19339,19894,20692,18189,16456,319594,21813,18708,18693,16410,17131,21412,12443,24117,14234,13992,27205,67703,16001,76709,112407,50791,16542,11461,77579,16416,13429,22337,21872,20742,18749,12322,17127,12560,72058,12159,109880,225341,12305,17126,19341,13819,218772,17130,18704,14083,12577,71602,64176,66102,18750,18504,19876,72333,16332,22325,20315,211652,15213,50798,16008,74440,13082,16337,22288,70549,12488,21803,16419,232906,72281,231532,60595,104027,57278,19055,12343,13052,14360,213556,16412,18008,21809,12578,14784,56320,58194,11819,29817,12540,16009,20613,330222,12385,56513,21808,16917,93840,22339,73178,240725,21390,13039,12043,22770,55982	Pik3ca,Agtr1a,Lrrc7,Pla2r1,Ncstn,Kirrel1,Hspg2,Ctnna3,Ywhab,Slc29a4,Olfm1,Nrn1,Fras1,Bmpr1a,Patj,Bcar1,F3,Rxra,Pkd2,Dnm3,Pxn,Src,Crim1,Ext1,Actr3,Notch3,Clic5,Myh9,Cxxc5,Lims1,Col18a1,Pik3cb,Pak1,Pdss2,Cfh,Cux1,Met,Scel,Wt1,Pik3cd,Robo2,P4ha1,Fat1,Hif1a,Agtr1b,Vcl,Itgb4,Parva,Igf1,Sema3a,Kcnma1,Ntrk3,Bmp7,Mc1r,Vangl1,Zhx2,Rabgef1,Nid2,Magi1,Crb2,Dicer1,Col4a5,Rapgef2,Pard3,Ddn,Rab3a,Rph3a,Sparc,Nrxn1,F11r,Hif1an,Tgfbr2,Pik3r1,Pick1,Itgav,Smad7,Tcf21,Ccnd1,Wif1,Foxc2,Khdrbs3,Podxl,Kirrel3,Igf1r,Arpc2,Egln3,Magi2,Kdr,Actb,Myh10,Itgb3,Dnm1,Vdr,Tjp1,Sptbn1,Prkacb,Camk2a,Smad3,Cdh3,Igsf5,Bmp4,Braf,Lims2,Ddr1,Smad2,Rab4a,Epas1,Rarb,Smad6,Pik3c2a,Ptk2,Cdkn1c,Myo1e,Sv2b,Cxcl16,Prkca,Pax2,Robo1,Palld,Inppl1,Vav2,Cxcl12,Wwc1,Hey1,Gne,Igfbp2,Cmip,Cyp26a1,Insr,Utrn,Tln2,Cd2ap,Tgfb1,Itgb5,Arhgap35,Sh2d4a,Arhgap24,Actn4,Synpo,Bcam,Ppp3ca,Capza2,Cxadr,Fyn,Plekhh2,Itgb1,Nes,Tgfb3,Cdkn2a,Grb2,Dbn1,Sh3kbp1,Nr2f2,Igfbp7,Cdc42,Igfbp3,Snai1,Sdk1,Ctnna1,Pard6a,Tgfb2,Lmx1b,Vangl2,Vegfa,Wasl,Sulf1,Tbxa2r,Ctsl,Bcl2,Zhx1,Paxip1
WP339	ESC Pluripotency Pathways	6.22815175310487e-05	-9.68384584502929	117	70	0.0339970859640602	2059	4906	14178,225724,26397,22419,14180,19247,18590,14169,17125,12166,17128,67112,16974,22421,16451,23938,14184,22413,18591,18595,14367,14170,14174,13645,14281,16880,22416,18121,17131,14362,22409,26399,16195,14167,56636,14186,14370,11789,14388,22411,57265,14165,14183,17129,18707,93735,19211,64654,22415,22418,14182,17130,14176,80903,14784,14371,13649,109880,22414,12159,12168,14369,22410,20363,11477,14172,12167,14173,110157,16476	Fgf7,Mapk4,Map2k3,Wnt5b,Fgf9,Ptpn11,Pdgfa,Fgf14,Smad1,Bmpr1a,Smad4,Fgf22,Lrp6,Wnt7a,Jak1,Map2k5,Fgfr3,Wnt2,Pdgfb,Pdgfra,Fzd5,Fgf15,Fgf3,Egf,Fos,Lifr,Wnt3a,Nog,Smad7,Fzd1,Wnt10a,Map2k6,Il6st,Fgf12,Fgf21,Fgfr4,Fzd8,Apc,Gab1,Wnt11,Fzd2,Fgf10,Fgfr2,Smad5,Pik3cd,Wnt16,Pten,Fgf23,Wnt3,Wnt5a,Fgfr1,Smad6,Fgf5,Fgf16,Grb2,Fzd9,Egfr,Braf,Wnt2b,Bmp4,Bmpr2,Fzd7,Wnt10b,Selenop,Acvr1,Fgf18,Bmpr1b,Fgf2,Raf1,Jun
WP488	Alpha6-Beta4 Integrin Signaling Pathway	0.000111316262174309	-9.1031351991762	66	43	0.0208839242350656	2059	4906	18710,18208,13685,18706,22629,11835,384783,16773,54401,22631,192897,16772,22062,11350,12821,20166,17127,20779,16367,13684,16782,14360,59079,19882,109620,17126,13649,13518,22627,14784,74769,18479,16774,14083,30955,18708,16780,18810,16777,18707,17295,229933,18750	Pik3r3,Ntn1,Eif4ebp1,Pik3ca,Ywhah,Ar,Irs2,Lama2,Ywhab,Ywhaz,Itgb4,Lama1,Trp73,Abl1,Col17a1,Rtkn,Smad3,Src,Irs1,Eif4e,Lamc2,Fyn,Erbin,Mst1r,Dsp,Smad2,Egfr,Dst,Ywhae,Grb2,Pik3cb,Pak1,Lama3,Ptk2,Pik3cg,Pik3r1,Lamb3,Plec,Lamb1,Pik3cd,Met,Clca2,Prkca
WP1498	Dopaminergic Neurogenesis	0.000114974978261754	-9.07079603360763	30	23	0.0111704711024769	2059	4906	110648,14472,13799,11668,11924,19713,17172,14633,20674,14632,16917,13798,21803,18227,18742,18096,12577,15376,17701,13195,18012,18424,13162	Lmx1a,Gbx2,En2,Aldh1a1,Neurog2,Ret,Ascl1,Gli2,Sox2,Gli1,Lmx1b,En1,Tgfb1,Nr4a2,Pitx3,Nkx6-1,Cdkn1c,Foxa2,Msx1,Ddc,Neurod1,Otx2,Slc6a3
WP553	Calcium Regulation in the Cardiac Cell	0.000154119005632695	-8.77778549013023	158	89	0.0432248664400194	2059	4906	12322,11555,12287,14683,18749,14682,14772,66066,19084,16440,50779,54401,16439,11550,22631,14611,20192,14706,11931,18761,12292,11548,14697,22629,19737,27222,50780,14616,50778,14696,18750,11749,11514,67865,213788,14701,16527,12671,18755,64214,210044,12290,11549,11941,16438,58226,224129,100043507,20190,11928,12286,11513,14709,243764,12314,14610,24012,18760,14623,12288,14622,14615,19735,19088,56188,64337,12373,11554,58175,14609,18768,11938,14620,12289,14677,18762,20541,14708,20191,12297,14613,14687,11556,16500,18751,381290,14619,22627,19739	Camk2a,Adrb2,Cacna1b,Gnas,Prkacb,Gnaq,Grk4,Gng11,Prkar1a,Itpr3,Rgs6,Ywhab,Itpr2,Adra1d,Ywhaz,Gja3,Ryr3,Gng4,Atp1b1,Prkcq,Cacna1s,Adra1b,Gnb5,Ywhah,Rgs5,Atp1a4,Rgs3,Gja8,Rgs1,Gnb4,Prkca,Anxa6,Adcy8,Rgs10,Chrm5,Gng12,Kcnk3,Chrm3,Prkch,Rgs18,Adcy2,Cacna1e,Adra1a,Atp2b2,Itpr1,Cacna1h,Adcy5,Gng5-ps,Ryr1,Atp1a1,Cacna1a,Adcy7,Gng8,Chrm2,Calm2,Gja10,Rgs7,Prkd1,Gjb6,Cacna1c,Gjb5,Gjc1,Rgs2,Prkar2b,Fxyd1,Gng13,Casq2,Adrb1,Rgs20,Gja1,Pkib,Atp2a2,Gjb3,Cacna1d,Gnai1,Prkcz,Slc8a1,Gng7,Ryr2,Cacnb3,Gja5,Gnaz,Adrb3,Kcnb1,Prkcb,Atp2b4,Gjb2,Ywhae,Rgs9
WP85	Focal Adhesion	0.000284256113405429	-8.16563491842179	185	101	0.0490529383195726	2059	4906	12826,81877,13649,215449,241656,14784,241226,20363,12842,12540,16476,110157,16774,12843,14191,26399,30955,21828,16410,243659,18708,22339,16777,12043,22165,17931,12333,12443,19211,23928,14254,53867,18595,16408,12389,12824,16419,13645,22330,192897,18590,225724,104099,16000,16420,71785,12827,14360,16412,109711,51789,320910,319480,16411,170736,109880,74769,18479,381924,75669,14083,12143,83813,15891,70584,16775,214230,16780,18707,19699,17295,16414,21827,228785,16401,18591,21826,21923,19877,105083,18706,16421,16773,11461,320207,16407,11852,16772,107589,26397,12390,12927,330662,16416,329278,19303,20779,16782,15162,21960,23938	Col4a1,Tnxb,Egfr,Rap1b,Pak5,Grb2,Itga8,Selenop,Col1a1,Cdc42,Jun,Raf1,Lama3,Col1a2,Fgr,Map2k6,Pik3cg,Thbs4,Itgav,Styk1,Pik3r1,Vegfa,Lamb1,Bcl2,Txk,Ppp1r12a,Capn1,Ccnd1,Pten,Lamc3,Flt1,Col5a3,Pdgfra,Itgal,Cav1,Col2a1,Itgb5,Egf,Vcl,Itgb4,Pdgfa,Mapk4,Itga9,Igf1,Itgb6,Pdgfd,Col4a2,Fyn,Itgb1,Actn1,Tnk2,Itgb8,Itga11,Itgax,Parvb,Braf,Pik3cb,Pak1,Itgad,Pik3r4,Ptk2,Blk,Tnk1,Ibsp,Pak4,Lama4,Pak6,Lamb3,Pik3cd,Reln,Met,Itgb2,Thbs3,Mylk2,Itga4,Pdgfb,Thbs2,Tnc,Rock1,Pelo,Pik3ca,Itgb7,Lama2,Actb,Pik3r5,Itgae,Rhob,Lama1,Mylk,Map2k3,Cav2,Bcar1,Dock1,Itgb3,Tnn,Pxn,Src,Lamc2,Hck,Tnr,Map2k5
WP512	Id Signaling Pathway	0.000524759096420036	-7.55257126464477	52	34	0.0165128703254007	2059	4906	12161,16542,14254,16001,15903,12168,13713,11482,18507,13645,17878,20787,18510,19645,18049,22339,21406,16000,17125,11910,21815,17128,21416,19185,15205,16367,17928,17129,17681,17127,12156,12566,18504,15901	Bmp6,Kdr,Flt1,Igf1r,Id3,Bmpr2,Elk3,Acvrl1,Pax5,Egf,Myf6,Srebf1,Pax8,Rb1,Ngf,Vegfa,Tcf12,Igf1,Smad1,Atf3,Tgif1,Smad4,Tcf7l2,Psmd4,Hes1,Irs1,Myog,Smad5,Msc,Smad3,Bmp2,Cdk2,Pax2,Id1
