File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated chgs	Unmethylated chgs	Methylated CHHs	Unmethylated CHHs
Week4_1_val_1_bismark_bt2_pe.bam	105887672	79286164	20113488	6488010	10	29406008	49880156	1933460113	67132579	10583802	1451470	409990449	5808895	1438492918
2-year_1_val_1_bismark_bt2_pe.bam	42799398	31484598	8238087	3076706	7	10818880	20665718	782012632	28249983	4344984	584258	167291796	2371982	579169629
2-year_1_val_1_bismark_bt2_pe.bam	140276386	101688900	29807180	8780292	14	45115617	56573283	2277420900	79948469	12280185	2164044	484025918	8995302	1690006982
2-year_1_val_1_bismark_bt2_pe.bam	238322904	177318408	47199436	13805035	25	73129479	104188929	4155235162	145673091	23108004	2734557	888568630	10966517	3084184363
2-year_1_val_1_bismark_bt2_pe.bam	218068266	159790590	43564106	14713536	34	60001963	99788627	3966086812	138838596	21751144	2653924	847170278	10759358	2944913512
E18pt5_1_val_1_bismark_bt2_pe.bam	111203727	82004469	21977536	7221698	24	31607118	50397351	2034336211	73438601	12865653	1992379	436503087	7584472	1501952019
E18pt5_1_val_1_bismark_bt2_pe.bam	65693679	49814180	11650930	4228556	13	15370208	34443972	1295764970	45352933	8244178	1166745	276754521	4515900	959730693
E18pt5_1_val_1_bismark_bt2_pe.bam	257380066	192997676	47823987	16558338	65	78630106	114367570	4368531987	152145522	25749499	3315882	931036113	13255981	3243028990
E18pt5_1_val_1_bismark_bt2_pe.bam	248274012	183335959	49715049	15222954	50	79840122	103495837	4106526245	142510351	23986435	3171290	877240972	12550418	3047066779
Week4_1_val_1_bismark_bt2_pe.bam	223014132	164721394	45009832	13282864	42	64777514	99943880	3912715622	135970746	22154499	2616354	835434117	10696215	2905843691
Week4_1_val_1_bismark_bt2_pe.bam	117281795	87392871	21049246	8839659	19	26774676	60618195	2263922040	81719728	14272829	1829352	488004961	7132323	1670962847
Week4_1_val_1_bismark_bt2_pe.bam	123628602	92284943	22991768	8351865	26	30509405	61775538	2303489344	83407416	14614414	1597354	496887792	6248993	1700733375
Week4_1_val_1_bismark_bt2_pe.bam	105887672	79286164	20113488	6488010	10	29406008	49880156	1933460113	67132579	10583802	1451470	409990449	5808895	1438492918
2-year_1_val_1_bismark_bt2_pe.bam	42799398	31484598	8238087	3076706	7	10818880	20665718	782012632	28249983	4344984	584258	167291796	2371982	579169629
2-year_1_val_1_bismark_bt2_pe.bam	140276386	101688900	29807180	8780292	14	45115617	56573283	2277420900	79948469	12280185	2164044	484025918	8995302	1690006982
2-year_1_val_1_bismark_bt2_pe.bam	238322904	177318408	47199436	13805035	25	73129479	104188929	4155235162	145673091	23108004	2734557	888568630	10966517	3084184363
2-year_1_val_1_bismark_bt2_pe.bam	218068266	159790590	43564106	14713536	34	60001963	99788627	3966086812	138838596	21751144	2653924	847170278	10759358	2944913512
E18pt5_1_val_1_bismark_bt2_pe.bam	111203727	82004469	21977536	7221698	24	31607118	50397351	2034336211	73438601	12865653	1992379	436503087	7584472	1501952019
E18pt5_1_val_1_bismark_bt2_pe.bam	65693679	49814180	11650930	4228556	13	15370208	34443972	1295764970	45352933	8244178	1166745	276754521	4515900	959730693
E18pt5_1_val_1_bismark_bt2_pe.bam	257380066	192997676	47823987	16558338	65	78630106	114367570	4368531987	152145522	25749499	3315882	931036113	13255981	3243028990
E18pt5_1_val_1_bismark_bt2_pe.bam	248274012	183335959	49715049	15222954	50	79840122	103495837	4106526245	142510351	23986435	3171290	877240972	12550418	3047066779
Week4_1_val_1_bismark_bt2_pe.bam	223014132	164721394	45009832	13282864	42	64777514	99943880	3912715622	135970746	22154499	2616354	835434117	10696215	2905843691
Week4_1_val_1_bismark_bt2_pe.bam	117281795	87392871	21049246	8839659	19	26774676	60618195	2263922040	81719728	14272829	1829352	488004961	7132323	1670962847
Week4_1_val_1_bismark_bt2_pe.bam	123628602	92284943	22991768	8351865	26	30509405	61775538	2303489344	83407416	14614414	1597354	496887792	6248993	1700733375
Week4_1_val_1_bismark_bt2_pe.bam	105887672	79286164	20113488	6488010	10	29406008	49880156	1933460113	67132579	10583802	1451470	409990449	5808895	1438492918
