chr	start	end	strand	pvalue	qvalue	meth.diff
chr1	6332815	6332815	+	0.243208173042851	0.568710279161462	4.76190476190477
chr1	6664328	6664328	+	0.561396636724524	0.781541518604479	-4.79082321187584
chr1	6664404	6664404	+	0.916777031230248	0.895617013109918	0.961538461538461
chr1	7541406	7541406	+	0.312167291352258	0.615898932671271	7.43727598566307
chr1	7541437	7541437	+	0.708315060783425	0.846541215936814	-2.61865793780688
chr1	7708218	7708218	+	0.285701965352847	0.597120257598458	12.6373626373626
chr1	8217396	8217396	+	1	0.895617013109918	0
chr1	8217564	8217564	+	0.827928641059796	0.887490314635614	0.844854070660517
chr1	8217655	8217655	+	0.425849184662078	0.697173816694584	-4.72154963680388
chr1	8217725	8217725	+	0.712464088664198	0.847923895470711	1.4246947082768
chr1	8217770	8217770	+	0.547474308270074	0.774476967349477	4.21747967479675
chr1	8217778	8217778	+	0.507446519314378	0.75179531444047	3.56265356265356
chr1	10423885	10423885	+	0.687518868499992	0.838055798183276	-3.15315315315315
chr1	10424138	10424138	+	0.591549620463815	0.795971429747542	-4.23340961098399
chr1	11072908	11072908	+	0.876158867417174	0.895617013109918	1.62473794549266
chr1	11719000	11719000	+	0.527731160486071	0.764209562502377	-5.29100529100529
chr1	15260982	15260982	+	0.303430088618969	0.609211783157527	-6.91421254801536
chr1	18804174	18804174	+	0.885967415335051	0.895617013109918	-0.740740740740742
chr1	18804205	18804205	+	0.140064354465285	0.469594638682566	9.93464052287582
chr1	18804228	18804228	+	0.82590345153634	0.886568229079681	1.29032258064516
chr1	21361699	21361699	+	0.0524966532067413	0.294999130732419	17.4603174603175
chr1	24611552	24611552	+	0.645016262805904	0.820325041130455	2.38095238095238
chr1	24611578	24611578	+	0.289304373133615	0.598852211296256	2.46091488129705
chr1	24611677	24611677	+	0.984733949478512	0.895617013109918	-0.0187523440430052
chr1	24611687	24611687	+	0.936750575955089	0.895617013109918	0.0715083661719393
chr1	24611849	24611849	+	0.138595195214402	0.467574116015684	-0.754236688900936
chr1	24611945	24611945	+	0.309197613600751	0.61352279601536	-0.583776912687694
chr1	24611978	24611978	+	0.407432552686128	0.685747863829437	-0.456255401352244
chr1	24611986	24611986	+	0.618990924336048	0.809193456931334	-0.279671358947851
chr1	24612007	24612007	+	0.495192033962181	0.743446162358369	-0.330001369300288
chr1	24612143	24612143	+	0.290121794091959	0.599235437522842	-0.443862777304441
chr1	24612272	24612272	+	0.127784361387994	0.451515993324171	0.948044780826238
chr1	24612275	24612275	+	0.236469346137205	0.565186499947589	0.657492931196984
chr1	24612332	24612332	+	0.512051720681498	0.75472240628006	0.364858018205497
chr1	24612433	24612433	+	0.4885235064216	0.739817317117314	-0.385428101653428
chr1	24612445	24612445	+	0.560125854893521	0.780708612452919	-0.312015655577299
chr1	24612449	24612449	+	0.712276892507018	0.847923895470711	-0.207759999129801
chr1	24612493	24612493	+	0.815619262704953	0.883114929332981	0.140072529465095
chr1	24612502	24612502	+	0.90387851960203	0.895617013109918	0.0719443019252983
chr1	24612633	24612633	+	0.00896780783881802	0.0944108690394695	1.56184486373166
chr1	24612737	24612737	+	0.000108389631102238	0.00203157752141021	2.09916005922482
chr1	24612977	24612977	+	0.745372853313527	0.860515322119491	0.158808297807402
chr1	24612996	24612996	+	0.515070178974369	0.756290158310467	0.305978186716366
chr1	24613002	24613002	+	0.404393286622618	0.684118522003342	0.384078949135439
chr1	24613072	24613072	+	0.552182375027002	0.776636481509357	0.304960818992443
chr1	24613212	24613212	+	0.465856698154807	0.725506458407309	-0.403787245892509
chr1	24613233	24613233	+	0.187213933361729	0.52647671712432	-0.708257634237564
chr1	24613260	24613260	+	0.313886406611168	0.61738976749242	-0.585997101709932
chr1	24613272	24613272	+	0.411588193368932	0.687326188360408	-0.426941479573059
chr1	24613310	24613310	+	0.855531772263623	0.895168167319417	0.0984837404319632
chr1	24613505	24613505	+	0.224836872552357	0.559830203643264	-0.594060518861562
chr1	24613653	24613653	+	0.66564061359879	0.828599402619264	-0.241635128807633
chr1	24613672	24613672	+	0.795332861388741	0.877925246300088	0.138411685202977
chr1	24613705	24613705	+	0.888002670357715	0.895617013109918	-0.0812677773262901
chr1	24613710	24613710	+	0.695757816278299	0.84160554806873	0.22462240376855
chr1	24613733	24613733	+	0.544128591863735	0.773317965493996	0.346694200594456
chr1	24613784	24613784	+	0.618668650585941	0.809039017844976	-0.225095968677864
chr1	24613791	24613791	+	0.451586574426611	0.715385767482659	-0.443310968095303
chr1	24613796	24613796	+	0.597757391558883	0.798568726897798	-0.27317724836008
chr1	24614015	24614015	+	0.45776333263575	0.71998975943674	0.393273835896787
chr1	24614129	24614129	+	0.096600529467416	0.396955609854355	0.9212880308253
chr1	24614176	24614176	+	0.170928084740736	0.5085240779598	0.733097016920034
chr1	24614299	24614299	+	0.998120249265746	0.895617013109918	0.00101071356377602
chr1	24614315	24614315	+	0.683178033500213	0.836338453059413	-0.163283961739223
chr1	24614455	24614455	+	0.775272318486747	0.872662507084947	0.127176227094295
chr1	24614530	24614530	+	0.0730137870538763	0.352498386585838	-0.763764683134336
chr1	24614545	24614545	+	0.335717131849566	0.63528337530523	-0.448929219600726
chr1	24614594	24614594	+	0.272932415697874	0.587411529435048	-0.38790509163395
chr1	24614645	24614645	+	0.925436546667695	0.895617013109918	-0.0438415109747734
chr1	24614860	24614860	+	0.0586605129827471	0.314222232671825	-0.77341393091318
