chr	start	end	strand	pvalue	qvalue	meth.diff
chr1	56782362	56782362	+	0.000130274450009722	0.0023936356057369	30.2656546489564
chr1	56782368	56782368	+	0.00155056272678123	0.0224157282436545	28.1951219512195
chr1	85078921	85078921	+	0.00194458756439592	0.0272177901996027	28.1818181818182
chr1	85101441	85101441	+	4.77032832045592e-05	0.000956171114251878	39.5480225988701
chr1	85619836	85619836	+	0.00136715825057339	0.0200671346264832	29.46505608283
chr1	167340402	167340402	+	7.64140267524178e-05	0.00147540602301429	30.7716338644174
chr1	171065450	171065450	+	0.000673987503623894	0.0106719813753874	25.9259259259259
chr1	171065453	171065453	+	0.000199429032660286	0.00355593263584284	30.7692307692308
chr1	171065461	171065461	+	0.000524434320582441	0.00858228667461176	37.962962962963
chr1	171066151	171066151	+	0.000521456511226507	0.00854037122305261	31.547619047619
chr1	171066474	171066474	+	2.76180912839771e-05	0.000574937204403287	38.5566417481311
chr10	44235143	44235143	+	0.00278943173057151	0.0369255779706522	30.137684854666
chr10	81182222	81182222	+	0.000579581962519504	0.00935780784008767	31.7434210526316
chr10	81182288	81182288	+	0.000874228195569517	0.0135907366254515	29.406850459482
chr12	20232972	20232972	+	0.00029934320029927	0.00514939402446888	40.2312842361534
chr12	20234455	20234455	+	0.00239232367247047	0.0325730141947483	26.0869565217391
chr12	99645089	99645089	+	0.000411707704910882	0.00690280365425425	30.3176940879445
chr12	99645321	99645321	+	0.00286117790410544	0.0378021175486379	25.5741360089186
chr12	114774276	114774276	+	0.00232787749228074	0.0318648068677755	26.9230769230769
chr13	9834398	9834398	+	6.58132670589853e-10	2.06980216679698e-08	27.3848420782882
chr13	9834508	9834508	+	4.07760538952372e-06	9.15484160924869e-05	27.381509806982
chr13	49871929	49871929	+	0.00218701672351676	0.0302802898594744	28.3543204515849
chr13	64830811	64830811	+	0.00197624043966315	0.0275499376882971	31.0483870967742
chr13	106589157	106589157	+	0.00138026445259883	0.0202450155447188	28
chr13	106589165	106589165	+	0.00130307202149411	0.0193349371424774	44
chr13	119611629	119611629	+	0.00198607137621761	0.0276662326693258	27.6869158878505
chr13	119617349	119617349	+	2.03767142960411e-06	4.73727453538864e-05	28.7240696341082
chr14	27683753	27683753	+	0.00129019578388989	0.0192125345191518	44.1666666666667
chr14	43354985	43354985	+	0.00029269115874142	0.00504766741559134	28.116213683224
chr14	44505182	44505182	+	0.000267028008372999	0.0046718854696907	43.3333333333333
