chr	start	end	strand	pvalue	qvalue	meth.diff
chr1	56782076	56782076	+	0.000116191261799418	0.00188195300646954	29.0224187890804
chr1	56782079	56782079	+	0.000178430692410283	0.00272186112736711	26.9292505247561
chr1	56782362	56782362	+	0.000630987538370922	0.0079146063569454	25.0265486725664
chr1	84976974	84976974	+	0.004028969844408	0.0354688590826173	32.1428571428571
chr1	85091824	85091824	+	0.000208907990831108	0.0031309975246163	34.1032608695652
chr1	85125887	85125887	+	0.00261524781903799	0.0254091353912218	33.3333333333333
chr1	85511801	85511801	+	0.00550056555961688	0.0446590376220973	26.4568764568765
chr1	85597554	85597554	+	0.00367567520747047	0.0330379730143655	36.7974549310711
chr1	85607431	85607431	+	0.000654560275449417	0.008162457144807	26.8115942028985
chr1	88235113	88235113	+	0.000157910238063437	0.00244365949271881	26.7344006568145
chr1	88244994	88244994	+	0.000281794623651147	0.00400283322038938	28.9473684210526
chr1	167340408	167340408	+	5.86263910689527e-05	0.00103293769457897	36.2702702702703
chr1	167340449	167340449	+	0.00407640422161418	0.0357730885771517	27.4086378737541
chr1	171064464	171064464	+	6.09707971222314e-05	0.00107130464984575	27.7777777777778
chr12	20227052	20227052	+	5.68336423770133e-05	0.00100410602550627	26.007326007326
chr12	81278684	81278684	+	0.00571104716494315	0.045768947333851	32.183908045977
chr12	99645089	99645089	+	0.000122332480019791	0.00196654321618648	34.3667196608373
chr13	12836218	12836218	+	0.000142942559368951	0.00224448518982454	48.3838383838384
chr13	12859729	12859729	+	0.00232074459039463	0.0231430171768462	28.4552845528455
chr13	12920969	12920969	+	0.000473162453921111	0.006214123992037	39.6321070234114
chr13	44869936	44869936	+	1.75010878347361e-05	0.000362561636834372	28.3977420755536
chr13	44869941	44869941	+	0.000298443573828233	0.00419396237659423	28.8461538461538
chr13	119605945	119605945	+	0.000122547602244121	0.0019675388896664	33.3333333333333
chr13	119616133	119616133	+	2.90334174751143e-09	1.38115649057261e-07	26.2043088840474
chr13	119617349	119617349	+	5.7095692869684e-15	7.48317265916644e-13	43.8905180840665
chr14	44609968	44609968	+	0.0033540352002237	0.0307275614915234	31.8333333333333
chr16	3253406	3253406	+	0.00241673894224988	0.0239700238226754	32.3899371069182
chr16	8501836	8501836	+	0.00450970010860604	0.0385130860741811	32.6984126984127
chr16	93993187	93993187	+	0.00471564986759241	0.0399267963659879	27.8745644599303
chr17	13187753	13187753	+	0.00226300337429631	0.0227302256048504	39.8484848484849
chr17	13226869	13226869	+	5.30958527987672e-05	0.000952480454007343	39.3661971830986
chr17	13379958	13379958	+	0.00119619278521804	0.0135248152460126	28.5714285714286
chr17	39845753	39845753	+	8.24636392454704e-16	1.23160810890011e-13	28.18263669104
chr17	39845755	39845755	+	1.2216653499615e-16	2.03345725529469e-14	29.1978021978022
chr17	39845773	39845773	+	3.09684682523698e-12	2.63421532278737e-10	28.0582911897791
chr17	39845783	39845783	+	6.34924123100501e-08	2.34342510290298e-06	25.4431724870792
chr17	39845798	39845798	+	2.29096893501814e-07	7.35644009694537e-06	28.2408290418971
chr2	5379131	5379131	+	0.0028802248842632	0.0273064716296046	27.3066485753053
chr2	5379246	5379246	+	0.00062967464943755	0.00790585908677983	34.0909090909091
chr2	20899896	20899896	+	0.00282647223511897	0.0270118263342696	27.4038461538462
chr2	73867911	73867911	+	0.00604152101690465	0.0476358259989435	29.9112097669256
chr3	35610690	35610690	+	0.00182019414251131	0.0191317633597393	30.3359683794466
chr3	106202018	106202018	+	0.000681911482033578	0.00844612959220223	32.0048309178744
chr4	3091170	3091170	+	2.32933627834718e-09	1.1247578889727e-07	26.6666666666667
chr4	3253769	3253769	+	1.62322112504555e-05	0.000339008872166448	37.6057254391672
chr4	101803957	101803957	+	0.00327187051806418	0.0301550217767295	39.8809523809524
chr4	145837132	145837132	+	0.00635367833126612	0.049489499558786	26.0989010989011
chr4	145859929	145859929	+	0.00198845416999109	0.0204130817512704	26.2458471760797
chr4	146240105	146240105	+	0.00157665823449511	0.0170033422200112	40.2777777777778
chr4	146490979	146490979	+	0.00351772005586035	0.0320442901972269	29.1891891891892
chr4	147132778	147132778	+	0.00232282139496646	0.0231457572576929	26.268115942029
chr4	147233650	147233650	+	0.00186550737972759	0.0194805114060443	26.5914786967419
chr4	147271593	147271593	+	0.0029764544482836	0.028048286992547	40
chr4	147289504	147289504	+	0.00360460676471174	0.0326045374155083	26.6666666666667
chr4	147452972	147452972	+	0.00272949925277643	0.0263398573249053	27.522349936143
chr4	147527293	147527293	+	0.000150684591724109	0.00234882211857093	32.6108374384236
chr4	147615513	147615513	+	1.62822993239069e-06	4.33887551328503e-05	38.287368062649
chr4	147621401	147621401	+	6.14118551602025e-05	0.00107758026694003	30.3177966101695
chr4	147632831	147632831	+	0.00505027426151129	0.0421761683509512	33.9130434782609
chr4	147708222	147708222	+	0.00387947500990364	0.0343410871853843	29.5833333333333
chr4	147709294	147709294	+	0.000670284661915458	0.00833426785178462	48.4848484848485
chr4	147711017	147711017	+	0.00419781372528717	0.0364972911759176	26.1904761904762
chr4	147718328	147718328	+	0.00318994708847473	0.0295403415464136	29.2295780100658
chr4	147757807	147757807	+	1.10776338255602e-06	3.02088777797205e-05	50.9501797637391
chr4	147764347	147764347	+	3.56614102263639e-05	0.000683647459907128	39.3033075299085
chr5	10236861	10236861	+	0.00315823497008455	0.029352485954042	33.125
chr5	14903538	14903538	+	3.42596951539144e-13	3.25955429583348e-11	51.0815709969789
chr5	14949986	14949986	+	3.38780393607487e-08	1.31461556014345e-06	25.8056758056758
chr5	14973475	14973475	+	1.66575248456367e-08	6.87952692299675e-07	31.8303226259928
chr5	14973621	14973621	+	9.80869796222467e-12	7.41089967605802e-10	36.969696969697
chr5	14989822	14989822	+	0.00210397132676349	0.0214135640052339	32.7767470624613
chr5	14991067	14991067	+	1.25870745756306e-05	0.000267225516134575	26.7391304347826
chr5	15011718	15011718	+	1.07805926479668e-05	0.000233505135661874	51.5521064301552
chr5	15011720	15011720	+	2.18954560363237e-05	0.000441252317480026	47.3776223776224
chr5	15019889	15019889	+	9.40210166278003e-15	1.2076287305412e-12	39.9208071941416
chr5	15022495	15022495	+	0.000898128998616271	0.0106027450243286	28.0672268907563
chr5	15037445	15037445	+	7.03723905292763e-06	0.000159978768837431	28.2949534541891
chr5	15508604	15508604	+	1.79593680713018e-06	4.7076423937551e-05	38.2352941176471
chr5	15582417	15582417	+	1.14829984092722e-08	4.91634717752939e-07	33.2086916780922
chr5	15589767	15589767	+	5.37857193093278e-05	0.000960830066441257	28.4444444444444
chr5	15601993	15601993	+	0.000154147206677012	0.00239118851640017	28.797342192691
chr5	15615103	15615103	+	0.000256274068904847	0.00369969979681967	26.1021543729491
chr5	15615973	15615973	+	0.000601161508465867	0.00760735384321071	25.0669045495094
chr5	15680643	15680643	+	1.25020067719346e-05	0.000265858949947431	32.4153406772746
chr5	15680646	15680646	+	9.23664527573938e-07	2.56791582485563e-05	40.0641025641026
chr5	15689588	15689588	+	8.27803927103697e-11	5.3699567269999e-09	26.4635761589404
chr5	32730451	32730451	+	0.00364762511487236	0.0328778815776672	33.048433048433
chr5	93529966	93529966	+	0.00511195493194219	0.0425805372293562	29.8837209302325
chr5	93537010	93537010	+	0.000146810592953273	0.00229679762038809	36.3636363636364
chr5	93538165	93538165	+	0.0046083374076741	0.0391990747264047	28.5384615384615
chr5	93567387	93567387	+	0.00283417592802836	0.0270653105520807	28.6868686868687
chr5	93657435	93657435	+	5.19815374523136e-05	0.000937729590761733	42.600422832981
chr5	93663132	93663132	+	0.000403446335474373	0.00540914669937901	34.2421812349639
chr6	3182778	3182778	+	0.00198817446251733	0.0204130817512704	43.6363636363636
chr6	3182812	3182812	+	0.000535335781792373	0.0069035969475026	45.8625525946704
chr6	3183069	3183069	+	0.000250722531253382	0.0036305986162775	44.6969696969697
chr6	3183151	3183151	+	3.97435402815421e-05	0.000748498044243067	39.5408163265306
chr6	3235628	3235628	+	8.33113320232064e-05	0.00141356795930332	28.021978021978
chr6	47759500	47759500	+	0.00384055221652198	0.0340905208790393	25.0398724082935
chr7	21258662	21258662	+	0.00095445046081088	0.0111548617839717	28.9565826330532
chr7	33831900	33831900	+	0.000869841977383192	0.010316215353917	29.1271347248577
chr8	15519943	15519943	+	0.000336403762626875	0.00466614630627094	31.7741935483871
chr8	19683798	19683798	+	3.19364376598077e-05	0.000618701881552452	35.8668653750621
chr8	19711374	19711374	+	2.75093203046821e-05	0.000540161778639205	40.0462962962963
chr8	19785037	19785037	+	0.00371187828978912	0.0332442343358086	25.9929906542056
chr8	20593118	20593118	+	0.000618952024869024	0.00777883547592317	31.7099567099567
chr8	71830167	71830167	+	1.22091727131683e-05	0.000260856270887279	38.5964912280702
