chr	start	end	strand	pvalue	qvalue	meth.diff
chr1	84963695	84963695	+	0.000809211175280773	0.0213493038815313	-30.6122448979592
chr1	85071071	85071071	+	0.00171349589076094	0.0378607950938685	-32.0930232558139
chr1	85507682	85507682	+	0.00227709664559043	0.0476909163000518	-32.1590909090909
chr1	88258921	88258921	+	0.00000291014974000099	0.000191945171538453	-33.1617647058824
chr1	88259219	88259219	+	0.0000583889320212518	0.00229358409234322	-26.4119850187266
chr1	88259318	88259318	+	0.000890313158608994	0.023041923920564	-25.9893048128342
chr1	88260797	88260797	+	0.0000862892903228002	0.00317108928857478	-26.7715680954965
chr1	88262169	88262169	+	0.0000174283116772817	0.000837151672360868	-40.6417112299465
chr1	88262336	88262336	+	0.0000000713769085915523	0.00000852496625801952	-61.1111111111111
chr1	88262359	88262359	+	0.000104232818570693	0.00369974497339356	-43.5109717868339
chr1	88262394	88262394	+	0.000000209751403687435	0.000022069487293646	-47.8835978835979
chr1	88262406	88262406	+	0.0000000000000028537959491541	0.00000000000157641147920485	-67.6814988290398
chr1	88276776	88276776	+	0.000183122094699461	0.00607309658824055	-26.2896825396825
chr1	88279555	88279555	+	0.0000369763530919692	0.00152747568360477	-31.267217630854
chr1	88279611	88279611	+	0.000000459842812473032	0.0000418990641339943	-37.9310344827586
chr11	3125971	3125971	+	0.000000384975002933008	0.0000361968961292549	-29.5384615384615
chr11	3128980	3128980	+	0.0000000000204565322533487	0.00000000602667003872963	-35.9674329501916
chr11	3133525	3133525	+	0.0000000000000000000000000000000000150509652099945	0.0000000000000000000000000000000295609571754884	-27.5791430032196
chr12	119556672	119556672	+	0.000429877094417757	0.0122758141724795	-47.2934472934473
chr12	119556685	119556685	+	0.00000306491851985342	0.000200655846867958	-61.9252873563218
chr13	66469662	66469662	+	0.00210969086872379	0.0447994370207118	-34.7402597402597
chr13	66474180	66474180	+	0.0000267718118279684	0.00118489964726429	-56.1076604554865
chr14	44527459	44527459	+	0.000279312133090017	0.00860150723443851	-43.7275985663082
chr16	3127919	3127919	+	0.00237177711075883	0.0491233444248169	-25.4310344827586
chr16	3245167	3245167	+	0.00137440889784881	0.0321359255386266	-25.4840397697541
chr17	3079414	3079414	+	0.0000000000000000000000773429564213296	0.000000000000000000097653852931758	-28.330238666727
chr17	3079539	3079539	+	0.00000000000000000000168868576158002	0.00000000000000000199000529671448	-26.1886600559369
chr2	151288986	151288986	+	0.000311080647996717	0.00938365492774253	-35
chr4	3225665	3225665	+	0.00035059187126891	0.0103632818135166	-28.3982683982684
chr5	14903538	14903538	+	0.0000131203415883279	0.000658017931370591	-34.3776106934002
chr5	14933782	14933782	+	0.000185115313147436	0.00612770344125116	-35.2713178294574
chr5	14954463	14954463	+	0.0000987321847022161	0.00352044780447154	-26.8509458577952
chr5	14973475	14973475	+	0.00000719772058350299	0.000397793804724652	-27.9694101288839
chr5	14989822	14989822	+	0.000000000032212152134236	0.00000000889685305099585	-70.6521739130435
chr5	14989859	14989859	+	0.00000185809304095201	0.000130855019088897	-56.8877551020408
chr5	14994757	14994757	+	0.00173004434853891	0.0381311161343408	-28.7878787878788
chr5	15000019	15000019	+	0.00000188316127496471	0.000131572050631068	-51.9021739130435
chr5	15022882	15022882	+	0.0000319788237150184	0.0013588321200148	-31.3875786163522
chr5	15061542	15061542	+	0.0000055131508237742	0.00031951899694765	-34.1269841269841
chr5	15462596	15462596	+	0.000252838087383501	0.00788894705293472	-28.782172002511
chr5	15498093	15498093	+	0.00000300310633966758	0.000197339980352213	-39.1470749043193
chr5	15604032	15604032	+	0.00000633198301351809	0.00035874164640253	-27.9086066722736
chr5	15610155	15610155	+	0.000000145208622228499	0.0000160671000657056	-30.0631735414344
chr5	15631475	15631475	+	0.000554683510041432	0.0153201116711609	-28.8700564971751
chr5	15680104	15680104	+	0.00000121624117927252	0.0000942934457601202	-32.078853046595
chr5	15680643	15680643	+	0.0000000000658764112668234	0.0000000173800803266485	-33.5190615835777
chr5	15709425	15709425	+	0.0000000000000687003089393661	0.0000000000311380013302687	-62.1468926553672
chr5	32739345	32739345	+	0.00000000749087464748495	0.00000120375053822153	-29.0274942448856
chr7	11606520	11606520	+	0.00154106226361938	0.0348345402203277	-31.3247863247863
chr8	20511928	20511928	+	0.000316840077739246	0.0095411046588842	-26.9444444444444
chr8	20548572	20548572	+	0.00109885795641047	0.0273235720995926	-28.7171229200215
chr8	20590760	20590760	+	0.00178804020000845	0.0391512420163906	-28.4458398744113
chr8	20592703	20592703	+	0.00100128213959478	0.0252484720563319	-29.9248120300752
chrX	5367675	5367675	+	0.00063690811644081	0.0172145504134388	-37.0967741935484
chrX	169973121	169973121	+	0.000146565821196385	0.00492542387656305	-37.3333333333333
chrX	169979068	169979068	+	0.000000470261882523252	0.0000426286732902683	-35.2941176470588
chrX	169979078	169979078	+	0.000113842215642795	0.0039927254954205	-30.4935370152761
chrX	169979170	169979170	+	0.000208085510087395	0.00673349062495121	-32.7317073170732
chrX	169979204	169979204	+	0.000000333269928939643	0.0000323684118046483	-39.9716656547258
chrX	169979253	169979253	+	0.000410461882876092	0.0118168333742324	-30.3875968992248
chrX	169979278	169979278	+	0.000000143894357751724	0.0000160671000657056	-36.8131868131868
chrX	169979281	169979281	+	0.000228079357336008	0.00726838564625151	-30.4865424430642
chrX	169979293	169979293	+	0.000000713709918195798	0.0000595089819942202	-41.7613636363636
chrX	169979300	169979300	+	0.0000257353630460439	0.00115753571199272	-34.1090425531915
chrX	169979321	169979321	+	0.0000987831648970816	0.00352044780447154	-31.9565217391304
chrX	169979324	169979324	+	0.000973561016638111	0.0246903386822498	-26.8421052631579
chrX	169979328	169979328	+	0.0000781163917736125	0.00294085003339324	-30.2274394717535
chrX	169979334	169979334	+	0.0000279126712689773	0.00122431453251945	-30.6887847097007
chrX	169979338	169979338	+	0.0000352234721009993	0.00147542236559783	-33.5531004989309
chrX	169979377	169979377	+	0.00000195192870840537	0.000134778505425019	-38.7085137085137
chrX	169979408	169979408	+	0.00151313954030148	0.0344678273331133	-25.264116575592
chrX	169979414	169979414	+	0.0000167502188628632	0.000811193143892045	-35.3355580274379
chrX	170005333	170005333	+	0.000024126288381494	0.00109350949262898	-32.4346294540035
chrX	170005357	170005357	+	0.000552021145387265	0.0152943732608068	-27.0709640938649
chrX	170005372	170005372	+	0.000014811992115151	0.000727290008465528	-31
chrY	90740540	90740540	+	0.000535423373814934	0.0149328621267187	-29.2572463768116
chrY	90740548	90740548	+	0.000543993824796341	0.0151193633433069	-29.8305860805861
chrY	90799354	90799354	+	0.000222705832939168	0.0071316359244203	-26.2013729977117
chrY	90799391	90799391	+	0.000147001075458624	0.00493067692150548	-26.4069264069264
chrY	90799436	90799436	+	0.000139650617533388	0.00475633190124738	-28.6016949152542
chrY	90800715	90800715	+	0.0000238791874580738	0.00108509207945633	-30.1467016418925
chrY	90800756	90800756	+	0.0000103096245099759	0.000535994805461827	-29.5025417574437
chrY	90800777	90800777	+	0.0000000247951082995315	0.0000034556588165332	-36.9241192411924
chrY	90803629	90803629	+	0.000013272523605617	0.00065902237250992	-28.5111662531017
chrY	90803650	90803650	+	0.00000314482340969549	0.000203779483421482	-31.7996604414261
chrY	90803695	90803695	+	0.000000227219911093557	0.0000236262129480658	-33.1598864711447
chrY	90805201	90805201	+	0.000215631638121529	0.00693021076072955	-25.974025974026
chrY	90805749	90805749	+	0.00016434034112	0.00546795339935615	-29.8214285714286
chrY	90805892	90805892	+	0.000237729729928804	0.00749061171667043	-25.5844155844156
chrY	90805901	90805901	+	0.0000750698544642906	0.00284879150459167	-27.991452991453
chrY	90807747	90807747	+	0.000000962786882303215	0.0000770077688358047	-39.6179401993355
chrY	90807769	90807769	+	0.0000871774171591474	0.00319708077859674	-28.2517482517482
chrY	90807785	90807785	+	0.000774623785221567	0.0204673379315293	-25.3611556982343
chrY	90807806	90807806	+	0.0000000000309773599094096	0.00000000869161542527965	-54.3798449612403
