chr	start	end	strand	pvalue	qvalue	meth.diff
chr1	85040499	85040499	+	0.000620240558176095	0.00988967855462132	-37.5079063883618
chr1	85111790	85111790	+	0.00112267971811181	0.0170903620808244	-26.6964285714286
chr1	85507682	85507682	+	0.0013373944550991	0.0196725078460048	-34.2424242424242
chr1	85651978	85651978	+	4.97773342386131e-05	0.000992890837143098	-33.11004784689
chr1	85651993	85651993	+	3.9906126329044e-07	9.8945727540487e-06	-35.952380952381
chr1	85652046	85652046	+	8.61455381019684e-09	2.44996853139407e-07	-33.2779393435812
chr1	85652130	85652130	+	0.000139008038424006	0.00253728057233328	-33.3483348334833
chr1	85652174	85652174	+	4.26706491549905e-05	0.000863739512510321	-37.6172607879925
chr1	88253082	88253082	+	1.55160964797689e-07	3.98399138237257e-06	-46.3889721306563
chr1	88258660	88258660	+	0.000228614377477431	0.00403075876931795	-33.9130434782609
chr1	88258921	88258921	+	2.32959109596314e-19	1.78241113399523e-17	-63.3700980392157
chr1	88258963	88258963	+	6.28189108504497e-12	2.30844316309188e-10	-48.4101005377601
chr1	88259219	88259219	+	0.000137401648377362	0.00251108878646113	-26.9091601599695
chr1	88259318	88259318	+	4.92778197151854e-08	1.33129006534414e-06	-47.459324155194
chr1	88259483	88259483	+	1.91706699651025e-06	4.47719239500448e-05	-35.625
chr1	88260797	88260797	+	0.000117772743794914	0.00218745285857775	-26.6651222054906
chr1	88262169	88262169	+	1.77901862230479e-16	1.02469231456843e-14	-71.0301021817178
chr1	88262336	88262336	+	9.84790810785503e-14	4.29955143795764e-12	-69.4041867954912
chr1	88262359	88262359	+	4.12580202931824e-12	1.5570690971016e-10	-63.2246998284734
chr1	88262394	88262394	+	7.77600643036106e-18	5.07796783558428e-16	-71.2285456187895
chr1	88262406	88262406	+	1.82484413834405e-24	2.44566702929941e-22	-77.3695119653288
chr1	88279312	88279312	+	0.000467640364321397	0.00773933537127597	-26.5567765567766
chr1	88279555	88279555	+	0.000177379401014411	0.00319051885391871	-25.1157024793388
chr1	88279611	88279611	+	3.51769888402824e-06	7.96147335559367e-05	-30
chr1	88290134	88290134	+	4.58429882588793e-05	0.000921585706034936	-26.9148936170213
chr11	3125971	3125971	+	3.4649695517236e-08	9.48594468003727e-07	-32.7989657401422
chr11	3127597	3127597	+	1.07044897628568e-31	2.67679493268008e-29	-33.2300959434439
chr11	3127605	3127605	+	6.18684223915e-35	2.26539531275197e-32	-36.1461438507987
chr11	3127731	3127731	+	7.23364030416321e-12	2.64397309167511e-10	-25.0203181237664
chr11	3127795	3127795	+	4.92051813175217e-12	1.82782554030125e-10	-26.1103804127883
chr11	3128980	3128980	+	1.20203896070253e-09	3.73454409338194e-08	-32.0169082125604
chr11	3129105	3129105	+	1.59252462351777e-25	2.41888582939567e-23	-27.6052688831313
chr11	3133525	3133525	+	1.09415424537579e-54	8.30955503051e-52	-35.0741194070447
chr11	3133543	3133543	+	3.38501891512856e-50	2.3136775245455e-47	-33.1848192403097
chr11	3143951	3143951	+	4.8116267147076e-51	3.52368338640822e-48	-30.4062566352891
chr11	3144029	3144029	+	6.69372228992593e-69	6.86278948776392e-66	-43.4779244053438
chr12	119556672	119556672	+	6.49132138388343e-07	1.5808257542764e-05	-59.2592592592593
chr12	119556685	119556685	+	3.95218908537749e-08	1.07480419114315e-06	-63.7110016420361
chr13	119488308	119488308	+	0.000543952495123942	0.00886631822699617	-37.5565610859729
chr13	119488315	119488315	+	0.000274743778674885	0.0047905295999777	-37.2294372294372
chr13	119488333	119488333	+	0.00220445536557089	0.0305011412141835	-28.75
chr13	119488337	119488337	+	0.00355188265552148	0.0454631036301542	-26.9117647058824
chr13	119488342	119488342	+	0.00113451259248639	0.0172448870309717	-25.1948051948052
chr13	119488349	119488349	+	0.000369173989355956	0.00626653028741459	-25.7729468599034
chr13	119488356	119488356	+	0.000135892120186629	0.00248571678335595	-26.8918622504935
chr14	21596463	21596463	+	0.00385304551662884	0.048830211442058	-26.0869565217391
