TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mouse chr1 H2.1|1 69.95 cM	mouse chr1 H2.1|1 69.95 cM	0.000104960789096223	-9.16192371473061	9	2	0.0103626943005181	193	112291	14103,75368	Fasl,4930558K02Rik
mouse chr17 A3.3|17 15.03 cM	mouse chr17 A3.3|17 15.03 cM	0.000131052348275405	-8.93991370942824	10	2	0.0103626943005181	193	112291	106504,207819	Stk38,Bnip5
mouse chr11 C|11 51.82 cM	mouse chr11 C|11 51.82 cM	0.000226386444007851	-8.39326708971831	13	2	0.0103626943005181	193	112291	387140,100504632	Mir21a,Gm11478
mouse chr12	mouse chr12	0.000394320323875541	-7.83834697421544	2475	13	0.0673575129533679	193	112291	73389,79221,100038713,100316805,72658,73309,105005,100499517,217684,73834,14420,67216,217732	Hbp1,Hdac9,Gm10432,Mir1190,2700097O09Rik,Spanxn4,Lratd1,Mir3072,Susd6,Atp6v1d,Galc,Mboat2,Cipc
mouse chr10	mouse chr10	0.000624756674608226	-7.37814830465966	2601	13	0.0673575129533679	193	112291	100504235,77976,19707,71137,320825,102633867,14051,320150,75030,11793,215748,14872,215900	Gm20125,Nuak1,Reps1,Rfx4,Samd5,Gm31592,Eya4,Zdhhc17,4930503E24Rik,Atg5,Cnksr3,Gstt2,Calhm6
mouse chr2	mouse chr2	0.00138752430442005	-6.58023419579796	4323	17	0.0880829015544041	193	112291	51902,68975,108011,99151,66934,71897,70599,227696,14269,241274,20322,21353,102638221,13589,320684,100504728,227606	Rnf24,Med27,Ap4e1,Cercam,Dsn1,Lypd6b,Itprid2,Phyhd1,Fnbp1,Pnpla7,Sord,Tank,Gm14637,Mapre1,9630028H03Rik,Gm13985,Tbpl2
mouse chr13	mouse chr13	0.00164035281731022	-6.41284392777748	2545	12	0.0621761658031088	193	112291	105245634,73102,14088,15550,13803,22360,238880,13614,56043,193385,16392,12593	Gm41062,Slc22a23,Fancc,Htr1a,Enc1,Nrsn1,Actbl2,Edn1,Akr1e1,Ripor2,Isl1,Cdyl
mouse chr4 A5|4 20.16 cM	mouse chr4 A5|4 20.16 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	75471	1700009N14Rik
mouse chr10 D1|10 57.86 cM	mouse chr10 D1|10 57.86 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	320150	Zdhhc17
mouse chr17 E2|17 46.55 cM	mouse chr17 E2|17 46.55 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	240168	Rasgrp3
mouse chr7 B5|7 33.88 cM	mouse chr7 B5|7 33.88 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	11982	Atp10a
mouse chr19 C2|19 32.23 cM	mouse chr19 C2|19 32.23 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	77059	4931408D14Rik
mouse chr12 A3|12 15.06 cM	mouse chr12 A3|12 15.06 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	79221	Hdac9
mouse chr2 A3|2 16.14 cM	mouse chr2 A3|2 16.14 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	227606	Tbpl2
mouse chr7 E1|7 53.9 cM	mouse chr7 E1|7 53.9 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	22411	Wnt11
mouse chr13 50.66 cM|13 D1	mouse chr13 50.66 cM|13 D1	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	13803	Enc1
mouse chr2 B|2 21.78 cM	mouse chr2 B|2 21.78 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	14269	Fnbp1
mouse chr15 D3|15 33.95 cM	mouse chr15 D3|15 33.95 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	387169	Mir151
mouse chr9 A4|9 16.66 cM	mouse chr9 A4|9 16.66 cM	0.00171874860845322	-6.36615880617694	1	1	0.00518134715025907	193	112291	11804	Aplp2
