chr	start	end	strand	pvalue	qvalue	meth.diff	target.row	dist.to.feature	feature.name	feature.strand	prom	exon	intron	CpGi	shores
chr1	56782076	56782076	+	0.000116191261799418	0.00188195300646954	29.0224187890804	131	-103321	XR_003947825.1	+	0	0	0	0	0
chr1	56782079	56782079	+	0.000178430692410283	0.00272186112736711	26.9292505247561	132	-103318	XR_003947825.1	+	0	0	0	0	0
chr1	56782362	56782362	+	0.000630987538370922	0.0079146063569454	25.0265486725664	147	-103035	XR_003947825.1	+	0	0	0	0	0
chr1	84976974	84976974	+	0.004028969844408	0.0354688590826173	32.1428571428571	213	-41694	XM_006496551.4	-	0	0	0	0	0
chr1	85091824	85091824	+	0.000208907990831108	0.0031309975246163	34.1032608695652	477	9131	XM_017321386.2	-	0	0	1	0	0
chr1	85125887	85125887	+	0.00261524781903799	0.0254091353912218	33.3333333333333	637	-15591	XM_006496502.4	-	0	0	0	0	0
chr1	85511801	85511801	+	0.00550056555961688	0.0446590376220973	26.4568764568765	1578	15373	XM_030244923.1	+	0	0	1	0	0
chr1	85597554	85597554	+	0.00367567520747047	0.0330379730143655	36.7974549310711	1831	1257	NM_030194.1	-	0	0	1	0	0
chr1	85607431	85607431	+	0.000654560275449417	0.008162457144807	26.8115942028985	1924	-1577	XM_017321620.2	+	0	0	1	0	0
chr1	88235113	88235113	+	0.000157910238063437	0.00244365949271881	26.7344006568145	2216	-2508	XM_006529045.2	+	0	0	1	0	0
chr1	88244994	88244994	+	0.000281794623651147	0.00400283322038938	28.9473684210526	2319	6511	XM_006529046.3	+	0	1	1	0	0
chr1	167340408	167340408	+	5.86263910689527e-05	0.00103293769457897	36.2702702702703	2938	-8617	XR_003949344.1	+	0	0	0	0	0
chr1	167340449	167340449	+	0.00407640422161418	0.0357730885771517	27.4086378737541	2946	-8576	XR_003949344.1	+	0	0	0	0	0
chr1	171064464	171064464	+	6.09707971222314e-05	0.00107130464984575	27.7777777777778	2979	189	NR_106103.1	-	1	0	1	1	0
chr12	20227052	20227052	+	5.68336423770133e-05	0.00100410602550627	26.007326007326	4398	-13687	XM_030247026.1	+	0	0	0	0	0
chr12	81278684	81278684	+	0.00571104716494315	0.045768947333851	32.183908045977	4693	50402	NR_152198.1	+	0	0	1	0	0
chr12	99645089	99645089	+	0.000122332480019791	0.00196654321618648	34.3667196608373	4706	1995	NR_166738.1	+	0	0	1	0	0
chr13	12836218	12836218	+	0.000142942559368951	0.00224448518982454	48.3838383838384	4868	-36126	XM_006516579.1	-	0	0	0	0	0
chr13	12859729	12859729	+	0.00232074459039463	0.0231430171768462	28.4552845528455	4893	-59637	XM_006516579.1	-	0	0	0	0	0
chr13	12920969	12920969	+	0.000473162453921111	0.006214123992037	39.6321070234114	5006	-4793	XR_873141.1	+	0	0	0	0	0
chr13	44869936	44869936	+	1.75010878347361e-05	0.000362561636834372	28.3977420755536	5142	29118	XM_006516860.3	+	0	0	1	0	0
chr13	44869941	44869941	+	0.000298443573828233	0.00419396237659423	28.8461538461538	5144	29123	XM_006516860.3	+	0	0	1	0	0
chr13	119605945	119605945	+	0.000122547602244121	0.0019675388896664	33.3333333333333	5403	-17874	NM_020279.3	+	0	0	1	0	0
chr13	119616133	119616133	+	2.90334174751143e-09	1.38115649057261e-07	26.2043088840474	5484	-7686	NM_020279.3	+	0	0	0	0	0
chr13	119617349	119617349	+	5.7095692869684e-15	7.48317265916644e-13	43.8905180840665	5497	-6470	NM_020279.3	+	0	0	0	0	0
chr14	44609968	44609968	+	0.0033540352002237	0.0307275614915234	31.8333333333333	5774	-3600	XM_011245285.1	+	0	0	0	0	0
chr16	3253406	3253406	+	0.00241673894224988	0.0239700238226754	32.3899371069182	6064	-215054	XR_384619.1	+	0	0	0	0	0
chr16	8501836	8501836	+	0.00450970010860604	0.0385130860741811	32.6984126984127	6112	-11593	NM_001170978.1	+	0	0	0	0	0
chr16	93993187	93993187	+	0.00471564986759241	0.0399267963659879	27.8745644599303	6329	15651	NM_019500.4	-	0	0	1	0	0
chr17	13187753	13187753	+	0.00226300337429631	0.0227302256048504	39.8484848484849	6390	-4269	XR_876420.3	-	0	0	1	0	0
chr17	13226869	13226869	+	5.30958527987672e-05	0.000952480454007343	39.3661971830986	6457	-3394	NM_001167913.2	+	0	1	1	0	0
chr17	13379958	13379958	+	0.00119619278521804	0.0135248152460126	28.5714285714286	6568	19249	XR_003952455.1	-	0	0	0	0	0
chr17	39845753	39845753	+	8.24636392454704e-16	1.23160810890011e-13	28.18263669104	7091	52633	XR_877120.3	-	0	0	0	1	0
chr17	39845755	39845755	+	1.2216653499615e-16	2.03345725529469e-14	29.1978021978022	7093	52631	XR_877120.3	-	0	0	0	1	0
chr17	39845773	39845773	+	3.09684682523698e-12	2.63421532278737e-10	28.0582911897791	7096	52613	XR_877120.3	-	0	0	0	1	0
chr17	39845783	39845783	+	6.34924123100501e-08	2.34342510290298e-06	25.4431724870792	7101	52603	XR_877120.3	-	0	0	0	1	0
chr17	39845798	39845798	+	2.29096893501814e-07	7.35644009694537e-06	28.2408290418971	7110	52588	XR_877120.3	-	0	0	0	1	0
chr2	5379131	5379131	+	0.0028802248842632	0.0273064716296046	27.3066485753053	7665	4401	XM_006497473.4	-	0	0	1	0	0
chr2	5379246	5379246	+	0.00062967464943755	0.00790585908677983	34.0909090909091	7672	4286	XM_006497473.4	-	0	0	1	0	0
chr2	20899896	20899896	+	0.00282647223511897	0.0270118263342696	27.4038461538462	7720	57637	XM_011238986.3	-	0	0	1	0	0
chr2	73867911	73867911	+	0.00604152101690465	0.0476358259989435	29.9112097669256	7800	24344	XM_030246853.1	-	0	0	1	0	0
chr3	35610690	35610690	+	0.00182019414251131	0.0191317633597393	30.3359683794466	8173	55474	NR_040748.1	-	0	0	1	0	0
chr3	106202018	106202018	+	0.000681911482033578	0.00844612959220223	32.0048309178744	8220	17462	NM_145126.2	-	0	0	1	0	0
chr4	3091170	3091170	+	2.32933627834718e-09	1.1247578889727e-07	26.6666666666667	8267	-80913	NM_001167534.1	+	0	0	0	0	0
chr4	3253769	3253769	+	1.62322112504555e-05	0.000339008872166448	37.6057254391672	8335	22589	NR_166063.1	+	0	0	1	0	0
chr4	101803957	101803957	+	0.00327187051806418	0.0301550217767295	39.8809523809524	8430	40066	NM_001033790.3	-	0	0	1	0	0
chr4	145837132	145837132	+	0.00635367833126612	0.049489499558786	26.0989010989011	8590	-87	NR_033612.1	+	1	0	0	1	0
chr4	145859929	145859929	+	0.00198845416999109	0.0204130817512704	26.2458471760797	8628	22712	NR_033612.1	+	0	0	0	0	0
chr4	146240105	146240105	+	0.00157665823449511	0.0170033422200112	40.2777777777778	8687	-103	XR_003955307.1	-	1	0	0	0	1
chr4	146490979	146490979	+	0.00351772005586035	0.0320442901972269	29.1891891891892	8862	-11021	NM_001243138.1	+	0	0	0	0	0
chr4	147132778	147132778	+	0.00232282139496646	0.0231457572576929	26.268115942029	9041	687	NM_001083918.1	+	1	0	1	0	0
chr4	147233650	147233650	+	0.00186550737972759	0.0194805114060443	26.5914786967419	9098	-71954	NM_001384232.1	+	0	0	1	0	0
chr4	147271593	147271593	+	0.0029764544482836	0.028048286992547	40	9205	-34011	NM_001384232.1	+	0	0	1	0	0
chr4	147289504	147289504	+	0.00360460676471174	0.0326045374155083	26.6666666666667	9260	-16100	NM_001384232.1	+	0	0	1	0	0
chr4	147452972	147452972	+	0.00272949925277643	0.0263398573249053	27.522349936143	9559	9860	NM_001371348.1	+	0	0	1	0	0
chr4	147527293	147527293	+	0.000150684591724109	0.00234882211857093	32.6108374384236	9592	-25984	NM_001014397.4	+	0	0	0	0	0
chr4	147615513	147615513	+	1.62822993239069e-06	4.33887551328503e-05	38.287368062649	9613	2988	XM_017319919.1	-	0	0	1	0	0
chr4	147621401	147621401	+	6.14118551602025e-05	0.00107758026694003	30.3177966101695	9630	-2902	XM_017319919.1	-	0	0	1	0	0
chr4	147632831	147632831	+	0.00505027426151129	0.0421761683509512	33.9130434782609	9662	9678	NM_145078.2	-	0	0	1	0	0
