chr	start	end	strand	pvalue	qvalue	meth.diff	target.row	dist.to.feature	feature.name	feature.strand	prom	exon	intron	CpGi	shores
chr1	56782362	56782362	+	5.92518638190422e-05	0.000644910048920596	28.7272727272727	157	-103035	XR_003947825.1	+	0	0	0	0	0
chr1	56782368	56782368	+	0.0010739504917386	0.00872443036141204	26.3297872340426	158	-103029	XR_003947825.1	+	0	0	0	0	0
chr1	84992078	84992078	+	3.84145966939006e-05	0.000427380486195271	28.1122448979592	293	-56798	XM_006496551.4	-	0	0	0	0	0
chr1	85115104	85115104	+	0.000553014213163348	0.00491834098912962	32.258064516129	675	-4808	XM_006496502.4	-	0	0	0	0	0
chr1	85618363	85618363	+	0.00335490469077251	0.0224791478391597	29.3560606060606	2150	-7514	XM_030255685.1	-	0	0	1	0	0
chr1	85644471	85644471	+	0.000834033819555501	0.0070339582944488	32	2215	-5477	XM_006529283.4	+	0	0	1	0	0
chr1	146093078	146093078	+	0.0089471074336194	0.0490150945192159	32.3232323232323	3118	220149	XR_878590.1	-	0	0	0	0	0
chr1	167340403	167340403	+	1.18081549346963e-05	0.000140903612415914	35.2094794752433	3152	-8622	XR_003949344.1	+	0	0	0	0	0
chr1	167340408	167340408	+	1.38462561612677e-05	0.000163550587427003	35.3430656934307	3153	-8617	XR_003949344.1	+	0	0	0	0	0
chr1	167340449	167340449	+	0.000918941606731484	0.00765170641987218	27.4696879348042	3161	-8576	XR_003949344.1	+	0	0	0	0	0
chr1	171063940	171063940	+	0.000151555758010653	0.00153831853048408	39.5	3173	713	NR_106103.1	-	1	0	1	1	0
chr1	171063957	171063957	+	0.00312209780461932	0.0211623817601314	26.3386727688787	3174	696	NR_106103.1	-	1	0	1	1	0
chr1	171063964	171063964	+	3.38487072078579e-05	0.000379634434174457	33.4199134199134	3175	689	NR_106103.1	-	1	0	1	1	0
chr1	171065999	171065999	+	7.78765353644689e-07	1.05420283540926e-05	27.2609819121447	3245	-85	XM_006496659.4	-	1	0	0	0	1
