chr	start	end	strand	pvalue	qvalue	meth.diff	target.row	dist.to.feature	feature.name	feature.strand	prom	exon	intron	CpGi	shores
chr1	7541406	7541406	+	0.96127706951474	0.828714267000608	0.244200244200254	1	-143311	XR_865172.2	-	0	0	0	0	0
chr1	7541437	7541437	+	0.884773878852444	0.810114551614928	0.87301587301587	2	-143342	XR_865172.2	-	0	0	0	0	0
chr1	11072908	11072908	+	0.415210860035312	0.581134242505366	6.85645549318364	3	61331	XR_003949303.1	-	0	0	1	0	0
chr1	18804174	18804174	+	0.425150277397508	0.587942669968923	5.07518796992482	4	-298848	NM_153154.3	+	0	0	0	0	0
chr1	18804205	18804205	+	0.460912580631715	0.611402083867553	-2.85714285714286	5	-298817	NM_153154.3	+	0	0	0	0	0
chr1	18804228	18804228	+	0.948976006441548	0.828714267000608	0.322580645161291	6	-298794	NM_153154.3	+	0	0	0	0	0
chr1	24611552	24611552	+	0.77957457293993	0.770352731390654	-1.57321500605083	7	-23631	XM_006495645.4	-	0	0	0	0	0
chr1	24611578	24611578	+	0.370838778923916	0.54937100507603	-2.11069418386492	8	-23657	XM_006495645.4	-	0	0	0	0	0
chr1	24611677	24611677	+	0.582482187786039	0.677614566409473	0.434732908959713	9	-23756	XM_006495645.4	-	0	0	0	0	0
chr1	24611687	24611687	+	0.697440208479786	0.734631057415823	0.298676023524732	10	-23766	XM_006495645.4	-	0	0	0	0	0
chr1	24611849	24611849	+	0.136392114953536	0.332735686461226	-0.704719856072845	11	-23928	XM_006495645.4	-	0	0	0	0	0
chr1	24611945	24611945	+	0.393174785783378	0.564943759223771	-0.407492441959957	12	-24024	XM_006495645.4	-	0	0	0	0	0
chr1	24611978	24611978	+	0.664264362171162	0.719026841522937	-0.191818828635887	13	-24057	XM_006495645.4	-	0	0	0	0	0
chr1	24611986	24611986	+	0.856777913319043	0.800881213936712	0.085735325057858	14	-24065	XM_006495645.4	-	0	0	0	0	0
chr1	24612007	24612007	+	0.906490647523281	0.81628227626191	0.0503252627769783	15	-24086	XM_006495645.4	-	0	0	0	0	0
chr1	24612143	24612143	+	0.175108080188584	0.378871719990726	-0.656269054266551	16	-24222	XM_006495645.4	-	0	0	0	0	0
chr1	24612272	24612272	+	0.186501008560561	0.391854747392563	0.858773181169758	17	-24351	XM_006495645.4	-	0	0	0	0	0
chr1	24612275	24612275	+	0.93549162158459	0.82546784541945	0.0503861376309523	18	-24354	XM_006495645.4	-	0	0	0	0	0
chr1	24612332	24612332	+	0.973554773881544	0.828714267000608	-0.0181149848664398	19	-24411	XM_006495645.4	-	0	0	0	0	0
chr1	24612433	24612433	+	0.447866609690872	0.603544901784764	-0.420860253803187	20	-24512	XM_006495645.4	-	0	0	0	0	0
chr1	24612445	24612445	+	0.964398910730719	0.828714267000608	-0.0219327638937967	21	-24524	XM_006495645.4	-	0	0	0	0	0
chr1	24612449	24612449	+	0.390679638281636	0.563750482718811	0.404294654249087	22	-24528	XM_006495645.4	-	0	0	0	0	0
chr1	24612493	24612493	+	0.750544006111793	0.757690236920855	0.18335015444842	23	-24572	XM_006495645.4	-	0	0	0	0	0
chr1	24612502	24612502	+	0.694850037650604	0.733406387712905	0.22402721870807	24	-24581	XM_006495645.4	-	0	0	0	0	0
chr1	24612633	24612633	+	0.120529933496698	0.31018762676855	0.709138348335652	25	-24712	XM_006495645.4	-	0	0	0	0	0
chr1	24612737	24612737	+	4.43199611264333e-06	0.000107609891293178	2.0598536186865	26	-24816	XM_006495645.4	-	0	0	0	0	0
chr1	24612977	24612977	+	0.174931870406575	0.378871719990726	-0.585850402197705	27	-25056	XM_006495645.4	-	0	0	0	0	0
chr1	24612996	24612996	+	0.300636829910338	0.492155534670421	-0.472181588400951	28	-25075	XM_006495645.4	-	0	0	0	0	0
chr1	24613002	24613002	+	0.241187811498065	0.44464973742696	-0.611199123784936	29	-25081	XM_006495645.4	-	0	0	0	0	0
chr1	24613072	24613072	+	0.997914940079602	0.828714267000608	-0.00124221328409811	30	-25151	XM_006495645.4	-	0	0	0	0	0
chr1	24613212	24613212	+	0.312220076180136	0.501592288702078	-0.501112738188383	31	-25291	XM_006495645.4	-	0	0	0	0	0
chr1	24613233	24613233	+	0.153117811874818	0.354038216955842	-0.807923850749133	32	-25312	XM_006495645.4	-	0	0	0	0	0
chr1	24613260	24613260	+	0.192188959233288	0.398504892634795	-0.675830677098426	33	-25339	XM_006495645.4	-	0	0	0	0	0
chr1	24613272	24613272	+	0.121338847384669	0.311297783928692	-0.774157616262879	34	-25351	XM_006495645.4	-	0	0	0	0	0
chr1	24613310	24613310	+	0.735068077667788	0.75124998472901	-0.155302311380309	35	-25389	XM_006495645.4	-	0	0	0	0	0
chr1	24613505	24613505	+	0.631160595387425	0.702311331177794	-0.188438594704233	36	-25584	XM_006495645.4	-	0	0	0	0	0
chr1	24613653	24613653	+	0.283922156732185	0.479446993031201	-0.629176218114422	37	-25732	XM_006495645.4	-	0	0	0	0	0
chr1	24613672	24613672	+	0.458826114064011	0.610218688905011	-0.440391955536707	38	-25751	XM_006495645.4	-	0	0	0	0	0
chr1	24613705	24613705	+	0.420525425819531	0.58506751363342	-0.501741409819936	39	-25784	XM_006495645.4	-	0	0	0	0	0
chr1	24613710	24613710	+	0.961735002823959	0.828714267000608	-0.0286944045911047	40	-25789	XM_006495645.4	-	0	0	0	0	0
chr1	24613733	24613733	+	0.534892845661258	0.653888480055239	-0.430535789247356	41	-25812	XM_006495645.4	-	0	0	0	0	0
chr1	24613784	24613784	+	0.0443725605117884	0.175131441170515	-1.293157564344	42	-25863	XM_006495645.4	-	0	0	0	0	0
chr1	24613791	24613791	+	0.144047170546446	0.343579717553342	-1.02474104374217	43	-25870	XM_006495645.4	-	0	0	0	0	0
chr1	24613796	24613796	+	0.0513694274108861	0.191626726666592	-1.33333333333333	44	-25875	XM_006495645.4	-	0	0	0	0	0
chr1	24614015	24614015	+	0.982992003292129	0.828714267000608	0.0112572204515554	45	-26094	XM_006495645.4	-	0	0	0	0	0
chr1	24614129	24614129	+	0.0103077045642318	0.0692440670818321	1.40657716467545	46	-26208	XM_006495645.4	-	0	0	0	0	0
chr1	24614176	24614176	+	0.276776764088975	0.474083909335318	0.63333799123766	47	-26255	XM_006495645.4	-	0	0	0	0	0
chr1	24614299	24614299	+	0.541391788113487	0.657380163832834	0.226227283010331	48	-26378	XM_006495645.4	-	0	0	0	0	0
chr1	24614315	24614315	+	0.797794647596131	0.77777635468592	0.0852905264669971	49	-26394	XM_006495645.4	-	0	0	0	0	0
chr1	24614455	24614455	+	0.890543543821375	0.812152596292652	-0.0546489202878177	50	-26534	XM_006495645.4	-	0	0	0	0	0
chr1	24614530	24614530	+	0.719942010560463	0.74525384550573	0.106557582215611	51	-26609	XM_006495645.4	-	0	0	0	0	0
chr1	24614545	24614545	+	0.791363997690522	0.774317896865597	0.091758873638144	52	-26624	XM_006495645.4	-	0	0	0	0	0
chr1	24614594	24614594	+	0.328603487342234	0.514577909504236	-0.313658794992612	53	-26673	XM_006495645.4	-	0	0	0	0	0
chr1	24614645	24614645	+	0.840459428102858	0.794572695590554	-0.104292234969051	54	-26724	XM_006495645.4	-	0	0	0	0	0
chr1	24614860	24614860	+	0.169638144044157	0.373538557715131	-0.484232947071833	55	-26939	XM_006495645.4	-	0	0	0	0	0
chr1	24614908	24614908	+	0.502865564588479	0.635971565417286	-0.254925254925255	56	-26987	XM_006495645.4	-	0	0	0	0	0
chr1	24615003	24615003	+	0.979406090157706	0.828714267000608	0.0114493059959135	57	-27082	XM_006495645.4	-	0	0	0	0	0
chr1	24615033	24615033	+	0.306414852248879	0.497505781270888	-0.509735602574984	58	-27112	XM_006495645.4	-	0	0	0	0	0
chr1	24615091	24615091	+	0.719037185196259	0.744857481950613	-0.187215107445192	59	-27170	XM_006495645.4	-	0	0	0	0	0
chr1	24615114	24615114	+	0.0584026688031364	0.206251865914277	-0.976722640990644	60	-27193	XM_006495645.4	-	0	0	0	0	0
chr1	24615139	24615139	+	0.0204736940756759	0.108702051552225	-1.24170812603648	61	-27218	XM_006495645.4	-	0	0	0	0	0
chr1	24615144	24615144	+	0.0247730774127143	0.12405123270309	-1.06324386294602	62	-27223	XM_006495645.4	-	0	0	0	0	0
chr1	24615165	24615165	+	0.00624065960017223	0.0488164097392132	-1.19634992644033	63	-27244	XM_006495645.4	-	0	0	0	0	0
chr1	24615187	24615187	+	0.0925163308311939	0.267780729497804	-0.708290573229732	64	-27266	XM_006495645.4	-	0	0	0	0	0
chr1	24615241	24615241	+	0.0335007340449477	0.149979626860711	-0.970632376317636	65	-27320	XM_006495645.4	-	0	0	0	0	0
chr1	24615277	24615277	+	0.393265440417018	0.564947618140325	-0.362616310892173	66	-27356	XM_006495645.4	-	0	0	0	0	0
chr1	24615286	24615286	+	0.0589875441166028	0.207689231536278	-0.852245660168829	67	-27365	XM_006495645.4	-	0	0	0	0	0
chr1	24615301	24615301	+	0.0880179765059993	0.26048945344109	-0.923917854297601	68	-27380	XM_006495645.4	-	0	0	0	0	0
chr1	24615321	24615321	+	0.424955230577393	0.587942669968923	-0.539493026734941	69	-27400	XM_006495645.4	-	0	0	0	0	0
chr1	24615437	24615437	+	0.296764482819716	0.488869431863712	-0.538889167125757	70	-27516	XM_006495645.4	-	0	0	0	0	0
chr1	24615532	24615532	+	0.929591426850847	0.824099846509737	0.03475935828877	71	-27611	XM_006495645.4	-	0	0	0	0	0
chr1	24615691	24615691	+	0.89977692821917	0.813965353870544	0.0678187481161458	72	-27770	XM_006495645.4	-	0	0	0	0	0
