TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PR00109	TYRKINASE	1.02499014776549e-05	-11.4882424643622	97	90	0.0187265917602996	4806	6344	16885,26404,16451,26403,71751,16886,83813,13837,14182,13869,14186,20963,16453,11350,51789,21682,17289,16428,13840,13866,22165,12988,231876,230735,14302,12169,14184,230661,14183,54721,22612,19229,11682,16452,26409,243659,270190,59126,16337,20187,13838,17179,18212,59125,13839,16001,13649,65964,13848,13867,21687,26563,13842,13835,12143,71461,13846,15162,26564,22174,12305,11352,12229,13836,13845,234878,17295,381983,13841,18198,14360,14083,11302,14191,14159,17096,18214,19886,18213,14158,19882,13844,17005,338372,22637,23920,18211,20779,19713,26362	Limk1,Map3k12,Jak1,Map3k11,Map3k13,Limk2,Tnk1,Epha3,Fgfr1,Erbb4,Fgfr4,Syk,Jak3,Abl1,Tnk2,Tec,Mertk,Itk,Epha6,Erbb2,Txk,Csk,Lmtk2,Epha10,Frk,Bmx,Fgfr3,Tesk2,Fgfr2,Tyk2,Yes1,Ptk2b,Alk,Jak2,Map3k7,Styk1,Ephb1,Nek6,Insr,Ryk,Epha4,Matk,Ntrk2,Nek7,Epha5,Igf1r,Egfr,Map3k20,Ephb6,Erbb3,Tek,Ror1,Epha8,Epha1,Blk,Ptk7,Ephb4,Hck,Ror2,Tyro3,Ddr1,Abl2,Btk,Epha2,Ephb3,Map3k21,Met,Lmtk3,Epha7,Musk,Fyn,Ptk2,Aatk,Fgr,Fes,Lyn,Ddr2,Ros1,Ntrk3,Fer,Mst1r,Ephb2,Ltk,Map3k9,Zap70,Insrr,Ntrk1,Src,Ret,Axl
PR00249	GPCRSECRETIN	1.44428556539105e-05	-11.1453106840854	40	40	0.00832292967124428	4806	6344	22355,53883,52614,243277,14652,54672,107934,215798,213527,382045,319387,12922,11517,381628,22354,170757,107831,93896,14766,99633,381853,435529,239853,237175,210933,330814,224792,230775,54598,319229,12614,77596,12921,13733,78249,26364,14527,12311,19228,14602	Vipr2,Celsr2,Adgre4,Adgrd1,Glp1r,Adgrg3,Celsr3,Adgrg6,Pth2r,Adgrg5,Adgrl3,Crhr2,Adcyap1r1,Adgrf3,Vipr1,Adgrl4,Adgrb1,Glp2r,Adgrg1,Adgrl2,Gipr,Adgrf2,Adgrg7,Adgrg2,Adgrb3,Adgrl1,Adgrf5,Adgrb2,Calcrl,Sctr,Celsr1,Adgrf1,Crhr1,Adgre1,Adgrf4,Adgre5,Gcgr,Calcr,Pth1r,Ghrhr
PR00205	CADHERIN	3.72077906854649e-05	-10.1989923915833	116	105	0.0218476903870162	4806	6344	93888,170677,12941,93889,93714,12557,53601,225256,93713,93890,12614,12550,107934,93885,65945,329628,93711,93873,12943,270120,353235,93874,93878,12939,192163,13510,93715,93879,14107,93881,12560,93716,116731,12936,18530,93875,18526,93700,320865,13505,12942,211924,93883,232370,93876,268663,353236,64085,241201,233651,381409,93884,13506,93872,12564,12558,93892,23836,215654,12563,353234,54216,16769,227485,73173,22295,93701,12555,93880,12561,93723,219228,93724,53883,93699,93703,75599,12552,93704,93708,12562,211712,245827,192161,353237,93710,93893,320873,93877,104010,13507,12565,68764,245578,13512,192164,11994,93705,93891,93722,219257,93706,12554,93717,93702	Pcdhb17,Cdhr1,Pcdha5,Pcdhb18,Pcdhga6,Cdh17,Pcdh12,Dsg1b,Pcdhga5,Pcdhb19,Celsr1,Cdh1,Celsr3,Pcdhb14,Clstn1,Fat4,Pcdhga3,Pcdhb2,Pcdha10,Fat3,Pcdha8,Pcdhb3,Pcdhb7,Pcdha7,Pcdha3,Dsg1a,Pcdhga7,Pcdhb8,Fat1,Pcdhb10,Cdh3,Pcdhga8,Pcdha1,Pcdha4,Pcdh8,Pcdhb4,Pcdh10,Pcdhgb2,Cdh18,Dsc1,Pcdha11,Dsg1c,Pcdhb12,Clstn3,Pcdhb5,Cdhr2,Pcdhac1,Clstn2,Cdh7,Dchs1,Cdh26,Pcdhb13,Dsc2,Pcdhb1,Cdh8,Cdh2,Pcdhb21,Cdh20,Cdh12,Cdh6,Pcdha2,Pcdh7,Dsg4,Cdh19,Pcdh18,Cdh23,Pcdhgb4,Cdh15,Pcdhb9,Cdh4,Pcdhga11,Pcdh17,Pcdhga12,Celsr2,Pcdhgb1,Pcdhgb6,Pcdh1,Cdh11,Pcdhgb7,Pcdhgc5,Cdh5,Pcdh9,Fat2,Pcdha9,Pcdhac2,Pcdhga2,Pcdhb22,Cdh10,Pcdhb6,Cdh22,Dsc3,Cdh9,Cdhr3,Pcdh11x,Dsg3,Pcdha12,Pcdh15,Pcdhgb8,Pcdhb20,Pcdhga10,Pcdh20,Pcdhgc3,Cdh13,Pcdhga9,Pcdhgb5
PR00452	SH3DOMAIN	0.000273766561054523	-8.20323478166061	87	79	0.0164377861007074	4806	6344	20408,14784,15468,237353,22325,15163,234214,22612,16796,338372,74103,71520,20410,57257,20779,20409,13196,13644,11308,18803,27059,14360,333654,23969,73341,20405,19200,17444,17096,14191,259302,329165,21981,17970,16443,56324,207278,17972,14302,71602,20840,54353,329416,12143,269016,217154,59009,66938,12928,15162,17969,12229,80708,21682,12488,54126,52906,23970,12929,12927,22324,234878,13043,231760,30948,20844,58194,24057,78473,26403,75739,17974,218038,20403,20411,20740,237611,20404,17973	Sh3gl3,Grb2,Prmt2,Sh3rf3,Vav2,Hcls1,Sorbs2,Yes1,Lasp1,Map3k9,Nebl,Grap,Sorbs3,Vav3,Src,Ostf1,Asap1,Efs,Abi1,Plcg1,Sh3d19,Fyn,Ppp1r13l,Pacsin1,Arhgef6,Sh3gl1,Pstpip1,Grap2,Lyn,Fgr,Srgap3,Abi2,Ppp1r13b,Ncf2,Itsn1,Stam2,Fchsd2,Ncf4,Frk,Myo1e,Stac,Skap2,Nostrin,Blk,Sh3rf2,Stac2,Sh3rf1,Sh3d21,Crk,Hck,Ncf1,Btk,Pacsin3,Tec,Cd2ap,Arhgef7,Ahi1,Pacsin2,Crkl,Bcar1,Vav1,Map3k21,Cttn,Rimbp2,Bin1,Stam,Sh3kbp1,Sh3yl1,Skap1,Map3k11,Mpp7,Nck2,Amph,Itsn2,Sorbs1,Sptan1,Stac3,Sh3gl2,Nck1
PR00499	P67PHOX	0.001259013398568	-6.67742688174621	24	24	0.00499375780274657	4806	6344	17970,16443,56324,58194,20844,71972,13043,237611,20403,20411,71520,20410,66938,234214,59009,217154,237353,15163,14784,11308,241275,27059,12488,20409	Ncf2,Itsn1,Stam2,Sh3kbp1,Stam,Dnmbp,Cttn,Stac3,Itsn2,Sorbs1,Grap,Sorbs3,Sh3d21,Sorbs2,Sh3rf1,Stac2,Sh3rf3,Hcls1,Grb2,Abi1,Noxa1,Sh3d19,Cd2ap,Ostf1
PR00014	FNTYPEIII	0.00152721047975118	-6.48431242350767	32	31	0.00645027049521432	4806	6344	13841,545156,237979,13838,68753,13176,17930,19280,13839,19266,22138,13837,19273,14268,13848,13842,109272,13844,233199,19268,17929,333564,72007,53311,18007,242702,13840,330222,13845,270190,319448	Epha7,Kalrn,Sdk2,Epha4,Mybphl,Dcc,Myom2,Ptprs,Epha5,Ptprd,Ttn,Epha3,Ptpru,Fn1,Ephb6,Epha8,Mybpc1,Ephb2,Mybpc2,Ptprf,Myom1,Fndc3c1,Fndc3b,Mybph,Neo1,Myom3,Epha6,Sdk1,Ephb3,Ephb1,Fndc3a
PR00453	VWFADOMAIN	0.00196122584291088	-6.23418557118301	31	30	0.00624219725343321	4806	6344	245026,12835,16411,12818,69700,12833,22371,12836,73368,17181,246228,109700,12834,17180,240675,16409,74199,12810,16407,319480,17183,213945,16398,14962,12816,68553,665033,17182,381924,16408	Col6a6,Col6a3,Itgax,Col14a1,Col22a1,Col6a1,Vwf,Col7a1,Col20a1,Matn2,Vwa1,Itga1,Col6a2,Matn1,Vwa2,Itgam,Vit,Coch,Itgae,Itga11,Matn4,Col28a1,Itga2,Cfb,Col12a1,Col6a4,Col6a5,Matn3,Itgad,Itgal
PR00011	EGFLAMININ	0.00219876635020252	-6.11985882580484	22	22	0.00457761131918435	4806	6344	23928,230971,57764,230316,11603,224024,380713,16780,75740,226519,214058,16774,16772,269878,16782,22283,73182,70417,16776,16779,16773,16777	Lamc3,Megf6,Ntn4,Megf9,Agrn,Scarf2,Scarf1,Lamb3,Egfem1,Lamc1,Megf11,Lama3,Lama1,Megf8,Lamc2,Ush2a,Pear1,Megf10,Lama5,Lamb2,Lama2,Lamb1
PR00387	PDIESTERASE1	0.00507266977283206	-5.28388801756228	19	19	0.00395339159384103	4806	6344	29863,23984,242202,207728,18575,218461,18585,110855,110385,18578,18574,225600,18584,18573,18587,18577,238871,18583,241489	Pde7b,Pde10a,Pde5a,Pde2a,Pde1c,Pde8b,Pde9a,Pde6c,Pde4c,Pde4b,Pde1b,Pde6a,Pde8a,Pde1a,Pde6b,Pde4a,Pde4d,Pde7a,Pde11a
PR01349	WNTPROTEIN	0.00507266977283206	-5.28388801756228	19	19	0.00395339159384103	4806	6344	22418,22422,22421,93735,22415,22410,22408,22423,22417,20890,22416,22419,22413,22420,22409,22414,22411,22412,216795	Wnt5a,Wnt7b,Wnt7a,Wnt16,Wnt3,Wnt10b,Wnt1,Wnt8b,Wnt4,Wnt8a,Wnt3a,Wnt5b,Wnt2,Wnt6,Wnt10a,Wnt2b,Wnt11,Wnt9b,Wnt9a
