chr	start	end	strand	pvalue	qvalue	meth.diff	target.row	dist.to.feature	feature.name	feature.strand	prom	exon	intron	CpGi	shores
chr1	85168493	85168493	+	0.00256036781582734	0.0250273857851708	-28.5581395348837	703	-31099	XM_006496524.3	+	0	0	1	0	0
chr1	85537301	85537301	+	0.000284367452591826	0.00402699503710438	-26.4242424242424	1609	2780	XM_006529978.4	+	0	0	1	0	0
chr1	85572392	85572392	+	0.00514778582348347	0.0427957340225891	-27.5457875457875	1669	-15099	XM_030255396.1	+	0	0	1	0	0
chr1	85631617	85631617	+	0.00524348333559922	0.0433900370395426	-27.3594909862142	2036	-18331	XM_006529283.4	+	0	0	1	0	0
chr1	88239389	88239389	+	0.00109310576335612	0.0125246346296901	-28.7317073170732	2265	906	XM_006529046.3	+	1	0	1	0	0
chr1	88258660	88258660	+	5.42912781921796e-06	0.000127859027633178	-44.2928039702233	2432	18920	NM_198652.2	-	0	1	0	0	0
chr1	88258921	88258921	+	0.000153617844274073	0.00238585832230437	-31.5732290308561	2434	18659	NM_198652.2	-	0	1	1	0	0
chr1	88280551	88280551	+	0.00521366343427413	0.0432035852053066	-31.9347319347319	2685	-2908	XM_006529721.4	-	0	0	0	0	0
chr1	171073854	171073854	+	0.00572975626569156	0.0458531953323143	-35.472972972973	3063	-7940	XM_006496659.4	-	0	0	0	0	1
chr13	12916239	12916239	+	0.00291950111643926	0.0275726324245531	-29.2338709677419	4999	-9523	XR_873141.1	+	0	0	0	0	0
chr13	119488308	119488308	+	0.000791013516163376	0.00949529846958393	-34.4804981973124	5212	77	NR_027974.1	-	1	1	1	1	0
chr13	119488315	119488315	+	6.27929050762922e-06	0.000144798437221246	-43.6427209154482	5213	70	NR_027974.1	-	1	1	1	1	0
chr13	119488333	119488333	+	0.000727974780981905	0.00892681265575705	-26.3944064833942	5214	52	NR_027974.1	-	1	1	1	1	0
chr13	119488337	119488337	+	1.61834611850428e-07	5.39907269413007e-06	-32.8632528031441	5215	48	NR_027974.1	-	1	1	1	1	0
chr13	119488349	119488349	+	2.28095096698701e-08	9.21292049616079e-07	-30.6329497274379	5217	36	NR_027974.1	-	1	1	1	1	0
chr13	119488352	119488352	+	1.51666770724307e-07	5.11297840127294e-06	-28.5445601851852	5218	33	NR_027974.1	-	1	1	1	1	0
chr13	119488356	119488356	+	1.06448410596164e-07	3.74588819554091e-06	-29.1666666666667	5219	29	NR_027974.1	-	1	1	1	1	0
chr13	119488358	119488358	+	1.20461066581397e-06	3.2573287196932e-05	-26.1131167268351	5220	27	NR_027974.1	-	1	1	1	1	0
chr13	119488366	119488366	+	2.86974373030135e-06	7.25584334004731e-05	-25.7957559681698	5221	19	NR_027974.1	-	1	1	1	1	0
chr13	119488435	119488435	+	5.42784694287076e-07	1.59074393896132e-05	-27.1173030615755	5235	-38	NM_001177666.2	+	1	0	1	1	0
chr16	3174036	3174036	+	0.000125510514097854	0.0020075809089217	-37.018837018837	6033	171226	XR_384618.3	+	0	0	0	0	0
chr17	13194214	13194214	+	0.00287886592088364	0.0273064716296046	-28.6931818181818	6400	-10730	XR_876420.3	-	0	0	1	0	0
chr17	13223023	13223023	+	0.00374550155849614	0.0334781698105096	-29.2857142857143	6449	1837	NM_013741.1	+	0	0	1	0	0
chr18	3004868	3004868	+	3.87218983490251e-05	0.000732479307101253	-28.3214984048575	7499	118545	NM_001167539.1	-	0	0	0	0	0
chr19	9836750	9836750	+	0.000749550866555331	0.00910824317818133	-29.2603850050659	7615	-10808	NM_001378410.1	+	0	0	0	0	0
chr3	26617379	26617379	+	0.00273484688785092	0.0263522175873038	-26.1111111111111	8167	-20241	XM_017319720.2	+	0	0	0	0	0
chr4	53804547	53804547	+	0.00493861535839892	0.0415135948320436	-25.1461988304094	8394	-21441	XM_006538083.2	+	0	0	0	0	0
chr4	145686552	145686552	+	0.000975643594632924	0.0113509083778302	-29.8028169014084	8565	15857	NM_001103158.2	+	0	0	1	0	0
chr4	146446929	146446929	+	6.88750995962573e-05	0.00119224862022664	-37.5668449197861	8714	-2101	NM_001085522.2	+	0	0	0	0	0
chr4	146454908	146454908	+	0.000119899417270362	0.00193343106671097	-31.9459459459459	8731	5880	NM_001085522.2	+	0	0	1	0	0
chr4	147227949	147227949	+	0.00055845870745207	0.00714440141677636	-26.0220635950681	9089	-77655	NM_001384232.1	+	0	0	1	0	0
chr4	147237664	147237664	+	0.000140417249745111	0.00221566731728697	-27.9365079365079	9112	-67940	NM_001384232.1	+	0	0	1	0	0
chr4	147260727	147260727	+	0.00571210197945874	0.045768947333851	-27.5985663082437	9152	-44877	NM_001384232.1	+	0	0	1	0	0
