chr	start	end	strand	pvalue	qvalue	meth.diff
chr1	56782362	56782362	+	5.92518638190422e-05	0.000644910048920596	28.7272727272727
chr1	56782368	56782368	+	0.0010739504917386	0.00872443036141204	26.3297872340426
chr1	84992078	84992078	+	3.84145966939006e-05	0.000427380486195271	28.1122448979592
chr1	85115104	85115104	+	0.000553014213163348	0.00491834098912962	32.258064516129
chr1	85618363	85618363	+	0.00335490469077251	0.0224791478391597	29.3560606060606
chr1	85644471	85644471	+	0.000834033819555501	0.0070339582944488	32
chr1	146093078	146093078	+	0.0089471074336194	0.0490150945192159	32.3232323232323
chr1	167340403	167340403	+	1.18081549346963e-05	0.000140903612415914	35.2094794752433
chr1	167340408	167340408	+	1.38462561612677e-05	0.000163550587427003	35.3430656934307
chr1	167340449	167340449	+	0.000918941606731484	0.00765170641987218	27.4696879348042
chr1	171063940	171063940	+	0.000151555758010653	0.00153831853048408	39.5
chr1	171063957	171063957	+	0.00312209780461932	0.0211623817601314	26.3386727688787
chr1	171063964	171063964	+	3.38487072078579e-05	0.000379634434174457	33.4199134199134
chr1	171065999	171065999	+	7.78765353644689e-07	1.05420283540926e-05	27.2609819121447
chr1	171066219	171066219	+	0.00583900736926532	0.0351070343412075	27.3809523809524
chr1	171066462	171066462	+	0.000147814849158224	0.00150471227233491	40.2777777777778
chr1	171074133	171074133	+	0.00708441523216326	0.0410981808231591	34.0956340956341
chr10	44235135	44235135	+	0.00521876987307024	0.0322791202217571	29.5607235142119
chr10	44235143	44235143	+	0.00134039661822856	0.0105580567579871	28.3333333333333
chr12	18893357	18893357	+	0.00408748361044725	0.0262828817516473	39.8809523809524
chr12	51490725	51490725	+	0.00436194226831261	0.0277394577600186	26.2636612021858
chr12	99645089	99645089	+	5.24977372103341e-07	7.23956778852007e-06	39.8443346804371
chr13	9834398	9834398	+	0.00168503156713479	0.0128043197884878	26.9157088122605
chr13	9834399	9834399	+	6.18781822451033e-12	1.23907749242654e-10	27.208905826898
chr13	9834444	9834444	+	1.46065237705393e-05	0.000172240091510262	25.1904761904762
chr13	9834554	9834554	+	0.00318715648606425	0.0215511841886184	42.6666666666667
chr13	12797378	12797378	+	0.00205365013565301	0.0151849700941061	25.3889440582589
chr13	12875675	12875675	+	0.00161190383825804	0.0123356920954988	26.4332825976662
chr13	12890362	12890362	+	0.00721545879595735	0.0417336800005112	29.4871794871795
chr13	12899826	12899826	+	8.28758863837175e-05	0.000880806494316288	29.181141439206
chr13	44869936	44869936	+	1.11299433948388e-06	1.4780544775547e-05	32.2615347836481
chr13	112578195	112578195	+	0.00874503005728924	0.0482860232931942	31.0697674418605
chr13	112578236	112578236	+	0.00304590587464145	0.0208376599191674	31.3390313390313
chr13	119617349	119617349	+	2.21574989214776e-10	3.99665915638051e-09	38.3244206773619
chr14	27566970	27566970	+	0.000141612875018601	0.00144473011367797	38.4615384615385
chr14	43354985	43354985	+	6.01530692889563e-06	7.42476708029213e-05	32.8282828282828
chr14	44532921	44532921	+	0.0057267981668103	0.034536291290615	28.8228822882288
chr14	44590863	44590863	+	0.00495929520698832	0.0308514470893891	27.2791023842917
chr14	44596186	44596186	+	0.000343050236131174	0.00325760434644983	29.4117647058823
chr14	44609968	44609968	+	0.00404744407518083	0.0261071352778991	28.2657657657658
chr14	56008761	56008761	+	0.000781803971787602	0.00664823156938594	40.3636363636364
chr14	104715976	104715976	+	0.000360706000047121	0.00339989112296907	27.7848911651729
chr14	104715980	104715980	+	8.21696437596213e-06	9.94928030854185e-05	35.8745284891801
chr15	33836272	33836272	+	0.000157575050189843	0.00159478951133693	37.8197997775306
chr16	3253406	3253406	+	0.00159904912183881	0.0122507126866399	34.3537414965986
chr16	19601792	19601792	+	0.00569084276166476	0.0343786365850773	26.3227513227513
chr17	6698898	6698898	+	0.0069874097955289	0.0406160634165231	41.1904761904762
chr17	13213608	13213608	+	0.00129910493839692	0.0103082216811013	35.016835016835
chr17	13241500	13241500	+	0.00736540905527666	0.0423733557449323	34.5537757437071
chr17	13413369	13413369	+	0.0039165561511077	0.0254563434290109	25.4464285714286
chr17	39844637	39844637	+	4.62273880954436e-100	3.08118771716699e-97	26.5429414335664
chr17	39845432	39845432	+	0.000326654167162884	0.00311246519615338	39.5833333333333
chr17	39845735	39845735	+	2.00657217716091e-16	5.51791619799207e-15	26.8693654805071
chr17	39845742	39845742	+	5.03223807451659e-18	1.53792018855644e-16	26.535229476406
chr17	39845750	39845750	+	1.33027306861084e-19	4.63183246576194e-18	33.1818181818182
chr17	39845753	39845753	+	8.31919253692096e-19	2.70801344794794e-17	32.9615482556659
chr17	39845755	39845755	+	6.07520083539128e-13	1.30823384230188e-11	26.8553364443775
chr17	39845773	39845773	+	5.67547211559625e-10	9.86834242012579e-09	28.7171810225702
chr17	39845781	39845781	+	3.95572888828753e-09	6.4758756512205e-08	29.1784429599178
chr17	39845798	39845798	+	2.30253505435566e-05	0.000264821821981222	26.6228845668098
chr17	39846669	39846669	+	0.00131498306482792	0.0103929705166395	28.4669105420685
chr18	54699141	54699141	+	0.000211542792550628	0.00209850165506023	25.3613053613054
chr18	54699150	54699150	+	2.01627392404485e-05	0.000234596756266738	30.2022256790714
chr2	5379327	5379327	+	2.29187930089607e-05	0.000264030173478207	25.2938265495484
chr2	20899896	20899896	+	3.54996562546192e-09	5.83892214359308e-08	49.2788461538462
chr2	20899901	20899901	+	6.77424790640994e-11	1.2509212693072e-09	52.2751322751323
chr2	20899910	20899910	+	1.53809855656239e-06	2.01959857970867e-05	35.8375778155065
