chr	start	end	strand	pvalue	qvalue	meth.diff	target.row	dist.to.feature	feature.name	feature.strand	prom	exon	intron	CpGi	shores
chr1	18804205	18804205	+	0.000115179285177391	0.00237425250339938	25.993265993266	8	-298817	NM_153154.3	+	0	0	0	0	0
chr1	85578658	85578658	+	0.00208994445798963	0.0255006606051525	26.3581051716645	1741	-8833	XM_030255396.1	+	0	0	1	0	0
chr1	85607985	85607985	+	0.000466260426913933	0.0077001973040977	47.0046082949309	1989	-1023	XM_017321620.2	+	0	0	1	0	0
chr1	85631617	85631617	+	0.00334982283365913	0.0369186076262587	27.7950310559006	2096	-18331	XM_006529283.4	+	0	0	1	0	0
chr1	88211870	88211870	+	0.000269524093752541	0.00488262397576064	29.2647058823529	2134	-89	NM_201645.2	+	1	0	1	0	0
chr1	113904084	113904084	+	0.000766471191113898	0.0115073797989357	34.9882903981265	2955	31221	XR_387305.3	-	0	0	0	0	0
chr1	171063808	171063808	+	0.000107322838735674	0.00224376985586265	28.174284950548	3029	845	NR_106103.1	-	1	0	1	0	1
chr1	171064569	171064569	+	0.000166936735564957	0.00327480238539845	27.9713114754098	3050	84	NR_106103.1	-	1	0	1	1	0
chr1	171073874	171073874	+	0.000544028078818386	0.0088304942081867	33.4001603849238	3136	-7960	XM_006496659.4	-	0	0	0	0	1
chr13	12899826	12899826	+	0.00275641069799387	0.0316479784925101	25.1152073732719	5153	-25936	XR_873141.1	+	0	0	0	0	0
chr13	112578236	112578236	+	0.000225423562747522	0.00419061437506491	32.3549965059399	5418	2427	NM_139299.2	-	0	0	1	0	0
chr13	112578245	112578245	+	0.0015175516814036	0.0196475593922006	28.8522012578616	5419	2418	NM_139299.2	-	0	0	1	0	0
chr14	44505182	44505182	+	5.09073723429371e-05	0.00119114254622392	39.9068322981366	6071	5039	XM_030247875.1	+	0	0	1	0	0
chr14	104715976	104715976	+	0.00231760233632088	0.0276271902309002	29.9961933764751	6148	76834	NR_015593.3	+	0	0	1	0	0
chr17	13223023	13223023	+	0.00109573304952691	0.0154083145209353	36.3043478260869	6841	1837	NM_013741.1	+	0	0	1	0	0
chr17	13241500	13241500	+	2.50396650948377e-07	1.16600503063085e-05	56.3241106719368	6876	8501	XR_003952477.1	-	0	0	1	0	0
chr17	13319334	13319334	+	0.00508935143429175	0.049678811282687	31.4545454545455	6895	8529	XR_876419.3	-	0	0	1	0	0
chr17	13544426	13544426	+	0.00434636739626801	0.0445705926038041	32.4929971988796	6986	9669	NR_045436.2	-	0	0	1	0	0
chr18	7719762	7719762	+	0.00314497488403644	0.0351433678658905	40.0297619047619	7905	-92874	XM_006526327.3	-	0	0	0	0	0
chr2	20899867	20899867	+	0.00218086297118061	0.0263330986290359	38.0952380952381	8161	57666	XM_011238986.3	-	0	0	1	0	0
chr2	20899901	20899901	+	6.0207392112045e-05	0.00137477358516002	27.8507078507079	8163	57632	XM_011238986.3	-	0	0	1	0	0
chr2	20899919	20899919	+	4.56014285954409e-06	0.00014619969606948	26.0229007633588	8165	57614	XM_011238986.3	-	0	0	1	0	0
chr2	54926479	54926479	+	0.000483418906828168	0.00795581331652429	26.0869565217391	8239	-485319	XM_030247740.1	+	0	0	1	0	0
chr4	53804547	53804547	+	0.000456373556085551	0.00758987020089908	26.5892002734108	8904	-21441	XM_006538083.2	+	0	0	0	0	0
chr4	73406285	73406285	+	0.0022173511527654	0.0266659049031283	35.4545454545455	8922	1120	XM_011250063.1	-	0	0	1	0	0
chr4	145837184	145837184	+	0.00116017018446029	0.0161246063562616	28.6713286713287	9110	-35	NR_033612.1	+	1	0	0	1	0
chr4	145837311	145837311	+	0.0036310482667436	0.0389213496201273	33.6996336996337	9122	94	NR_033612.1	+	1	1	0	1	0
chr4	145837334	145837334	+	0.00027032812765036	0.00489095117345871	44.7272727272727	9127	117	NR_033612.1	+	1	1	0	1	0
chr4	145837367	145837367	+	2.18742118125175e-06	7.63557171057369e-05	42.8571428571429	9131	150	NR_033612.1	+	1	1	0	1	0
chr4	146239592	146239592	+	0.000450721764482352	0.00754002155103097	35	9215	412	XR_003955306.1	-	1	1	0	1	0
chr4	146489445	146489445	+	3.33910947450228e-05	0.000823341340280137	26.9495772001253	9369	-12555	NM_001243138.1	+	0	0	0	0	0
