chr	start	end	strand	pvalue	qvalue	meth.diff
chr1	85277439	85277439	+	0.000712746175087509	0.0190595938914488	31.0971348707198
chr1	171066474	171066474	+	0.00165492118101337	0.0369826034522708	37.7250409165303
chr10	96077534	96077534	+	0.00124952846164532	0.0300244964248583	26.6483516483517
chr12	19683232	19683232	+	0.0015014865647317	0.0343351229123885	26.4705882352941
chr13	119488697	119488697	+	0.00000999489449467586	0.000525818166586111	27.1630991860115
chr16	17222477	17222477	+	0.000705044026761418	0.0189115651313103	37.7777777777778
chr16	17222488	17222488	+	0.000539792637624316	0.0150262247836891	42.8571428571429
chr4	43788149	43788149	+	0.000141877664130141	0.00480441126371267	43.0740037950664
chr4	145837311	145837311	+	0.00136461219851695	0.0320339816773271	27.2368421052631
chr4	147365206	147365206	+	0.000164213963221584	0.00546795339935615	25.4237288135593
chr5	15003726	15003726	+	0.000029820199084395	0.00129195392386399	33.4782608695652
chr5	15466653	15466653	+	0.0000345285552027889	0.00145666952076856	26.9883040935673
chr5	15588837	15588837	+	0.000000511774888765976	0.0000450069481365014	28.6652677675395
chr5	15589806	15589806	+	0.00000000701283124186567	0.000001137269887173	37.3380281690141
chr5	15612955	15612955	+	0.00000720130729506247	0.000397793804724652	32.822774659182
chr6	47744008	47744008	+	0.00000158582137115621	0.000114415491815671	27.0630630630631
chr6	121571776	121571776	+	0.0000610782581107739	0.00238333499983057	45.2380952380952
chr8	19688945	19688945	+	0.0015645079337075	0.0353193463535714	34.3618513323983
chrY	90739663	90739663	+	0.000360394157815769	0.01061752131858	38.7334887334887
