chr	start	end	strand	pvalue	qvalue	meth.diff	target.row	dist.to.feature	feature.name	feature.strand	prom	exon	intron	CpGi	shores
chr1	7541406	7541406	+	0.242843615669095	0.413164776732525	7.12250712250713	1	-143311	XR_865172.2	-	0	0	0	0	0
chr1	7541437	7541437	+	0.461793180737115	0.574965824279777	-4.46886446886446	2	-143342	XR_865172.2	-	0	0	0	0	0
chr1	8217655	8217655	+	0.462913067071332	0.575216964901178	-4.87122060470324	3	-95207	XR_865178.1	-	0	0	0	0	0
chr1	8217725	8217725	+	0.661719294709336	0.68570126653661	1.93279809693726	4	-95277	XR_865178.1	-	0	0	0	0	0
chr1	11072908	11072908	+	0.967867855349535	0.799651565933561	0.344827586206897	5	61331	XR_003949303.1	-	0	0	1	0	0
chr1	11719000	11719000	+	0.556893079459346	0.632597872422341	-5.2584670231729	6	135920	XM_006495543.4	+	0	0	1	0	0
chr1	18804174	18804174	+	0.533791394960783	0.620035704989031	4.28571428571429	7	-298848	NM_153154.3	+	0	0	0	0	0
chr1	18804205	18804205	+	0.000368906005826834	0.0034678405821297	23.1361231361231	8	-298817	NM_153154.3	+	0	0	0	0	0
chr1	18804228	18804228	+	0.920245471352363	0.790401962488717	-0.526315789473683	9	-298794	NM_153154.3	+	0	0	0	0	0
chr1	24611552	24611552	+	0.798548918661371	0.743324458070771	-1.25414593698176	10	-23631	XM_006495645.4	-	0	0	0	0	0
chr1	24611578	24611578	+	0.396348388167329	0.531232366703488	-1.70423943987074	11	-23657	XM_006495645.4	-	0	0	0	0	0
chr1	24611677	24611677	+	0.815649908926971	0.750212522284829	-0.168789165150596	12	-23756	XM_006495645.4	-	0	0	0	0	0
chr1	24611687	24611687	+	0.895347853834966	0.781875329213463	-0.0903142536849214	13	-23766	XM_006495645.4	-	0	0	0	0	0
chr1	24611849	24611849	+	0.0582297549292585	0.183466444527752	-0.80558034152145	14	-23928	XM_006495645.4	-	0	0	0	0	0
chr1	24611945	24611945	+	0.168378979569665	0.339501236677375	-0.622010243690306	15	-24024	XM_006495645.4	-	0	0	0	0	0
chr1	24611978	24611978	+	0.124343466296323	0.286887985008723	-0.694855982476402	16	-24057	XM_006495645.4	-	0	0	0	0	0
chr1	24611986	24611986	+	0.386580803370547	0.524424360665202	-0.413727618014107	17	-24065	XM_006495645.4	-	0	0	0	0	0
chr1	24612007	24612007	+	0.155344511950226	0.324921223121961	-0.653765070942985	18	-24086	XM_006495645.4	-	0	0	0	0	0
chr1	24612143	24612143	+	0.830707968372237	0.756801831762693	-0.076958460901144	19	-24222	XM_006495645.4	-	0	0	0	0	0
chr1	24612272	24612272	+	0.141259529663531	0.307860474726261	0.82179675994109	20	-24351	XM_006495645.4	-	0	0	0	0	0
chr1	24612275	24612275	+	0.386574866004038	0.524424360665202	0.431411608468088	21	-24354	XM_006495645.4	-	0	0	0	0	0
chr1	24612332	24612332	+	0.754408709336599	0.72451480224599	0.145036366367011	22	-24411	XM_006495645.4	-	0	0	0	0	0
chr1	24612433	24612433	+	0.801059622348967	0.744868959618141	-0.116962664286374	23	-24512	XM_006495645.4	-	0	0	0	0	0
chr1	24612445	24612445	+	0.945040830802256	0.79918072687157	0.0298216352301288	24	-24524	XM_006495645.4	-	0	0	0	0	0
chr1	24612449	24612449	+	0.79639811399785	0.742458028898486	-0.125231474216126	25	-24528	XM_006495645.4	-	0	0	0	0	0
chr1	24612493	24612493	+	0.824909438803123	0.754170211096989	0.117730764090348	26	-24572	XM_006495645.4	-	0	0	0	0	0
chr1	24612502	24612502	+	0.925535274625792	0.792491763660016	-0.0512931629569405	27	-24581	XM_006495645.4	-	0	0	0	0	0
chr1	24612633	24612633	+	0.225679561546172	0.398173705058595	0.553264356172973	28	-24712	XM_006495645.4	-	0	0	0	0	0
chr1	24612737	24612737	+	1.91507964743715e-05	0.000223565998895467	1.94606377641581	29	-24816	XM_006495645.4	-	0	0	0	0	0
chr1	24612977	24612977	+	0.23395540760449	0.404983610202746	-0.481380773608129	30	-25056	XM_006495645.4	-	0	0	0	0	0
chr1	24612996	24612996	+	0.888338412465177	0.779409610947252	0.0529131182048163	31	-25075	XM_006495645.4	-	0	0	0	0	0
chr1	24613002	24613002	+	0.404697045596254	0.537416714891139	0.331958580851842	32	-25081	XM_006495645.4	-	0	0	0	0	0
chr1	24613072	24613072	+	0.83663816044637	0.759577454507627	0.0936317425679128	33	-25151	XM_006495645.4	-	0	0	0	0	0
chr1	24613212	24613212	+	0.274537305294844	0.439470081570549	-0.519908914852412	34	-25291	XM_006495645.4	-	0	0	0	0	0
chr1	24613233	24613233	+	0.319369989984423	0.476471329077694	-0.504472141575315	35	-25312	XM_006495645.4	-	0	0	0	0	0
chr1	24613260	24613260	+	0.090587641253405	0.238923000733127	-0.84830906885047	36	-25339	XM_006495645.4	-	0	0	0	0	0
chr1	24613272	24613272	+	0.177407092654789	0.349399886843595	-0.600901050220742	37	-25351	XM_006495645.4	-	0	0	0	0	0
chr1	24613310	24613310	+	0.397679238719906	0.532563765210735	-0.381895742048666	38	-25389	XM_006495645.4	-	0	0	0	0	0
chr1	24613505	24613505	+	0.178470565242302	0.350306921714908	-0.530969187957816	39	-25584	XM_006495645.4	-	0	0	0	0	0
chr1	24613653	24613653	+	0.761343583692958	0.727711215811435	-0.139663562043536	40	-25732	XM_006495645.4	-	0	0	0	0	0
chr1	24613672	24613672	+	0.893889801959555	0.781356763250304	0.0625544587933883	41	-25751	XM_006495645.4	-	0	0	0	0	0
chr1	24613705	24613705	+	0.969505110225044	0.799651565933561	-0.0188419826681068	42	-25784	XM_006495645.4	-	0	0	0	0	0
chr1	24613710	24613710	+	0.650601461498059	0.680455381746073	0.221850257718264	43	-25789	XM_006495645.4	-	0	0	0	0	0
chr1	24613733	24613733	+	0.347438130467216	0.496237408868397	0.471055563896208	44	-25812	XM_006495645.4	-	0	0	0	0	0
chr1	24613784	24613784	+	0.773272058879083	0.733552498571287	0.115182206335021	45	-25863	XM_006495645.4	-	0	0	0	0	0
chr1	24613791	24613791	+	0.566387887674435	0.637948698372643	-0.311410895629408	46	-25870	XM_006495645.4	-	0	0	0	0	0
chr1	24613796	24613796	+	0.990375841413923	0.799651565933561	0.00549666274047896	47	-25875	XM_006495645.4	-	0	0	0	0	0
