chr	start	end	strand	pvalue	qvalue	meth.diff
chr1	3154462	3154462	+	0.341657038149072	0.699830764474017	-7.43745774171738
chr1	3154508	3154508	+	0.835674939496974	0.90365879406672	-2.4006001500375
chr1	3154519	3154519	+	0.86172930210507	0.912588772672664	-1.37254901960785
chr1	3154574	3154574	+	0.266373447223428	0.651793551202514	13.960113960114
chr1	7541406	7541406	+	0.852152991637503	0.908954221307608	1.38888888888888
chr1	7541437	7541437	+	0.398206269049035	0.73513307031578	-5.80547112462007
chr1	8217725	8217725	+	0.864753446300561	0.912985840425981	0.706991358994491
chr1	11072908	11072908	+	0.664738478804535	0.855007290621416	-4.08233276157804
chr1	11719000	11719000	+	0.733744128131841	0.87377718432118	2.60942760942762
chr1	16630708	16630708	+	0.787080822320409	0.889493636314186	3.57142857142857
chr1	18661615	18661615	+	0.819645978021159	0.899575319843312	-2.20306513409961
chr1	18804174	18804174	+	0.303856885014476	0.677185139580638	-6.3768115942029
chr1	18804205	18804205	+	0.119053052158311	0.513039923733883	10.8010335917313
chr1	18804228	18804228	+	0.722202663331899	0.870997287373424	2.24489795918367
chr1	21361750	21361750	+	0.212473168009293	0.618338026606304	8.2010582010582
chr1	24611552	24611552	+	0.95287134597994	0.915075588937991	0.303030303030302
chr1	24611578	24611578	+	0.511227162442504	0.792953002451044	1.56141568355309
chr1	24611677	24611677	+	0.711761482381416	0.868171601714918	-0.371691941718703
chr1	24611687	24611687	+	0.951724022722707	0.915075588937991	-0.0568964267594403
chr1	24611849	24611849	+	0.633405329582556	0.84196111486062	-0.282441136099673
chr1	24611945	24611945	+	0.425607190267954	0.749850687467886	-0.481838919108615
chr1	24611978	24611978	+	0.556280921530006	0.811982505196034	-0.343675587304972
chr1	24611986	24611986	+	0.580752486253131	0.822250706562187	-0.320086661017393
chr1	24612007	24612007	+	0.703444715067236	0.866141256339361	-0.200072980357604
chr1	24612143	24612143	+	0.847420852544881	0.907637347301056	0.0961388394668663
chr1	24612272	24612272	+	0.792232039107403	0.890736519807287	0.151476153375257
chr1	24612275	24612275	+	0.223072484182742	0.628664200125931	0.711904695902866
chr1	24612332	24612332	+	0.63553890675199	0.84236917961318	0.263257269245293
chr1	24612433	24612433	+	0.760954036813085	0.88238336044775	0.183736422306397
chr1	24612445	24612445	+	0.860958714809295	0.912340373308287	0.0999355639348958
chr1	24612449	24612449	+	0.597341520398976	0.827890578325359	-0.286474941034751
chr1	24612493	24612493	+	0.977582416684565	0.915075588937991	0.0155883478970071
chr1	24612502	24612502	+	0.917291064013564	0.915075588937991	-0.056964766585692
chr1	24612633	24612633	+	0.723221522810911	0.871152596807614	-0.127965043695381
chr1	24612737	24612737	+	0.226329784039555	0.631925541809482	-0.281203647750371
chr1	24612977	24612977	+	0.724875225255057	0.871380857121055	0.133035004245798
chr1	24612996	24612996	+	0.292199406275118	0.667911943202538	0.388988016762708
chr1	24613002	24613002	+	0.107762791212303	0.487802973529793	0.596602377401673
chr1	24613072	24613072	+	0.754379216505212	0.879672717703063	0.111088014127726
chr1	24613212	24613212	+	0.933017303576678	0.915075588937991	-0.0379635415616789
chr1	24613233	24613233	+	0.387634028116919	0.72773920476006	0.456072451644509
chr1	24613260	24613260	+	0.567492646867701	0.818652607239223	-0.301325257178715
chr1	24613272	24613272	+	0.849762080692934	0.908380102035247	0.0958174152788595
chr1	24613310	24613310	+	0.87137231376357	0.91469368891461	-0.075999392004864
chr1	24613505	24613505	+	0.884353284008604	0.915075588937991	0.0869510161872401
chr1	24613653	24613653	+	0.802556903889197	0.894450472833287	0.160358957358395
chr1	24613672	24613672	+	0.550718540409379	0.809959102385167	0.352226364143356
chr1	24613705	24613705	+	0.598582942035972	0.827966788335153	0.346927216086095
chr1	24613710	24613710	+	0.669682887971128	0.856994115393622	0.260993356532743
chr1	24613733	24613733	+	0.18362413728691	0.596629791709096	0.890593110272744
chr1	24613784	24613784	+	0.0559783790099569	0.376806031747919	1.26472680045765
chr1	24613791	24613791	+	0.346652127726299	0.702706604135194	0.712020264373443
chr1	24613796	24613796	+	0.136076860424416	0.539995091661463	1.04867577128581
chr1	24614015	24614015	+	0.646406028986251	0.847428250473198	0.23697668561166
chr1	24614129	24614129	+	0.423030743681896	0.747995333625065	-0.324508899350982
chr1	24614176	24614176	+	0.86292212320925	0.912670136150659	0.081671033939077
chr1	24614299	24614299	+	0.20794932248394	0.614440393945086	-0.473054893599231
chr1	24614315	24614315	+	0.198493410053549	0.607772695355529	-0.471221275003781
chr1	24614455	24614455	+	0.619999061569951	0.836154185615431	0.236673158095806
chr1	24614530	24614530	+	0.104046732521874	0.481713893108577	-0.728590144648539
chr1	24614545	24614545	+	0.105329562564768	0.483528514806827	-0.723298506620836
chr1	24614594	24614594	+	0.70486961403701	0.866597918870632	-0.155922413007288
chr1	24614645	24614645	+	0.892010346647436	0.915075588937991	-0.0666013412132162
chr1	24614860	24614860	+	0.779954271325267	0.888102215872357	-0.147476466969485
chr1	24614908	24614908	+	0.584685398794459	0.823568075790121	0.241448692152918
chr1	24615003	24615003	+	0.935362211547801	0.915075588937991	0.0410060142154183
chr1	24615033	24615033	+	0.512712110114577	0.79352748573404	0.36283533087304
chr1	24615091	24615091	+	0.75089620097307	0.878578298583763	0.188031940623581
chr1	24615114	24615114	+	0.0680988102788182	0.407636184115709	0.929773355762917
chr1	24615139	24615139	+	0.0322757026340386	0.289458116000194	1.20430156163423
chr1	24615144	24615144	+	0.0595107210334532	0.384956401674092	1.0132837395165
chr1	24615165	24615165	+	0.0954356925866731	0.469877025785392	0.918438177874186
chr1	24615187	24615187	+	0.405082343413252	0.738242918842657	0.463921052181498
chr1	24615241	24615241	+	0.403248054254741	0.737828128968854	0.529351981006695
chr1	24615277	24615277	+	0.843033976781718	0.90605292507372	0.108083544970399
chr1	24615286	24615286	+	0.443615298700588	0.758665983094098	0.436325073413603
chr1	24615301	24615301	+	0.567293434875619	0.81859355077012	0.353568646251573
