TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PR00387	PDIESTERASE1	4.51211584198619e-05	-10.006159276905	19	16	0.00666111573688593	2402	6344	207728,23984,18587,18573,18584,225600,18585,218461,18578,110855,18575,18574,18583,18577,238871,29863	Pde2a,Pde10a,Pde6b,Pde1a,Pde8a,Pde6a,Pde9a,Pde8b,Pde4b,Pde6c,Pde1c,Pde1b,Pde7a,Pde4a,Pde4d,Pde7b
PR00008	DAGPEDOMAIN	9.16290368685507e-05	-9.29776234013537	23	18	0.00749375520399667	2402	6344	69993,217866,110157,11836,18753,108699,18762,18761,18760,18751,18750,319939,75292,240168,19419,18754,18755,18759	Chn2,Cdc42bpb,Raf1,Araf,Prkcd,Chn1,Prkcz,Prkcq,Prkd1,Prkcb,Prkca,Tns3,Prkd3,Rasgrp3,Rasgrp1,Prkce,Prkch,Prkci
PR00700	PRTYPHPHTASE	0.000230480517040486	-8.37534422387012	37	25	0.0104079933388843	2402	6344	19280,19259,19277,19255,19283,19267,545902,19260,19263,19249,24000,19246,19270,19276,19264,19248,19274,19279,19266,19250,545622,19253,15170,19272,19271	Ptprs,Ptpn5,Ptpro,Ptpn2,Ptprz1,Ptpre,Ptprh,Ptpn22,Ptprb,Ptpn13,Ptpn21,Ptpn1,Ptprg,Ptprn2,Ptprc,Ptpn12,Ptprm,Ptprr,Ptprd,Ptpn14,Ptpn3,Ptpn18,Ptpn6,Ptprk,Ptprj
PR00398	STRDHORMONER	0.00026183059748469	-8.24781283780852	47	30	0.0124895920066611	2402	6344	13982,18227,18124,21834,26380,20186,225998,14815,218772,14536,22025,13865,20181,19883,22337,15370,22026,18171,23957,19015,26381,18667,19016,22260,11819,26424,30942,21833,353187,20183	Esr1,Nr4a2,Nr4a3,Thrb,Esrrb,Nr1h4,Rorb,Nr3c1,Rarb,Nr6a1,Nr2c1,Nr2f1,Rxra,Rora,Vdr,Nr4a1,Nr2c2,Nr1i2,Nr0b2,Ppard,Esrrg,Pgr,Pparg,Nr1h2,Nr2f2,Nr5a2,Hnf4g,Thra,Nr1d2,Rxrg
PR00047	STROIDFINGER	0.00026183059748469	-8.24781283780852	47	30	0.0124895920066611	2402	6344	22026,15370,22337,19883,20181,13865,22025,14536,218772,14815,225998,20186,26380,18124,21834,18227,13982,20183,353187,21833,30942,26424,11819,22260,19016,18667,26381,19015,110784,18171	Nr2c2,Nr4a1,Vdr,Rora,Rxra,Nr2f1,Nr2c1,Nr6a1,Rarb,Nr3c1,Rorb,Nr1h4,Esrrb,Nr4a3,Thrb,Nr4a2,Esr1,Rxrg,Nr1d2,Thra,Hnf4g,Nr5a2,Nr2f2,Nr1h2,Pparg,Pgr,Esrrg,Ppard,Nr3c2,Nr1i2
PR00454	ETSDOMAIN	0.000278526407310301	-8.18599768330641	26	19	0.00791007493755204	2402	6344	14011,13876,13714,20728,30051,13709,27049,20375,14247,56501,13711,13710,23872,104156,23871,13713,13661,14009,69257	Etv6,Erg,Elk4,Spic,Spdef,Elf1,Etv3,Spi1,Fli1,Elf4,Elf5,Elf3,Ets2,Etv5,Ets1,Elk3,Ehf,Etv1,Elf2
PR00961	HUDSXLRNA	0.000419303385395593	-7.77691582989792	8	8	0.00333055786844296	2402	6344	15572,56878,15568,15571,56516,207181,14007,15569	Elavl4,Rbms1,Elavl1,Elavl3,Rbms2,Rbms3,Celf2,Elavl2
PR00249	GPCRSECRETIN	0.000442298234313745	-7.7235261651537	40	26	0.0108243130724396	2402	6344	215798,12614,12921,12922,382045,213527,13733,319387,239853,230775,26364,243277,224792,77596,170757,107831,11517,319229,12311,14602,54598,22355,54672,99633,14766,14652	Adgrg6,Celsr1,Crhr1,Crhr2,Adgrg5,Pth2r,Adgre1,Adgrl3,Adgrg7,Adgrb2,Adgre5,Adgrd1,Adgrf5,Adgrf1,Adgrl4,Adgrb1,Adcyap1r1,Sctr,Calcr,Ghrhr,Calcrl,Vipr2,Adgrg3,Adgrl2,Adgrg1,Glp1r
PR00109	TYRKINASE	0.000529938426645851	-7.54274973430698	97	53	0.0220649458784346	2402	6344	11302,16452,231876,13840,13839,14184,13835,12169,26403,18214,26563,11682,14182,14360,18213,26404,13837,26564,26409,12988,26362,19229,381983,230661,83813,19886,13844,13838,14183,65964,12305,14302,22637,16337,14158,13869,16451,21687,18198,51789,11352,22165,16001,14083,270190,13841,71461,19882,59125,23920,21682,17289,20963	Aatk,Jak2,Lmtk2,Epha6,Epha5,Fgfr3,Epha1,Bmx,Map3k11,Ddr2,Ror1,Alk,Fgfr1,Fyn,Ntrk3,Map3k12,Epha3,Ror2,Map3k7,Csk,Axl,Ptk2b,Lmtk3,Tesk2,Tnk1,Ros1,Ephb2,Epha4,Fgfr2,Map3k20,Ddr1,Frk,Zap70,Insr,Fer,Erbb4,Jak1,Tek,Musk,Tnk2,Abl2,Txk,Igf1r,Ptk2,Ephb1,Epha7,Ptk7,Mst1r,Nek7,Insrr,Tec,Mertk,Syk
PR00011	EGFLAMININ	0.000944798760498118	-6.96453860500184	22	16	0.00666111573688593	2402	6344	214058,380713,22283,16772,70417,75740,57764,226519,16774,230316,16777,224024,16782,16776,16780,11603	Megf11,Scarf1,Ush2a,Lama1,Megf10,Egfem1,Ntn4,Lamc1,Lama3,Megf9,Lamb1,Scarf2,Lamc2,Lama5,Lamb3,Agrn
