PeakID (cmd=annotatePeaks.pl filtered_anova.tsv mm10 -go filtered_anova_anno_go -annStats filtered_anova_anno.stats)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-638	chr7	123129550	123129549	-	1	NA	intron (NM_144925, intron 2 of 23)	intron (NM_144925, intron 2 of 23)	5664	NM_144925	233833		NM_144925	ENSMUSG00000052707	Tnrc6a	2010321I05Rik|3110054G10Rik|CAGH26|D130023A07Rik|GW182|Tnrc6	trinucleotide repeat containing 6a	protein-coding
1-616	chr6	81866388	81866387	-	1	NA	Intergenic	IAPEy-int|LTR|ERVK	29276	NR_106091	102465711		NR_106091	ENSMUSG00000106154	Mir7232	mmu-mir-7232	microRNA 7232	ncRNA
1-721	chrY	90787970	90787969	-	1	NA	intron (NR_137282, intron 1 of 2)	intron (NR_137282, intron 1 of 2)	2527	NR_137282	170942		NM_133362		Erdr1x	Erdr1|Gm21887|Gm55594|edr	erythroid differentiation regulator 1 x	protein-coding
1-684	chrX	19564877	19564876	+	1	NA	Intergenic	L1Md_A|LINE|L1	-83557	NM_207524	278255		NM_207524	ENSMUSG00000068149	Tex13c3	Gm720	TEX13 family member C3	protein-coding
1-231	chr15	70488790	70488789	+	1	NA	Intergenic	L1Md_A|LINE|L1	564556	NR_045071	100503580		NR_045071	ENSMUSG00000116483	Gm19782	-	predicted gene, 19782	ncRNA
1-507	chr5	15061547	15061546	+	1	NA	Intergenic	RLTR10C|LTR|ERVK	-28539	NM_182957	66773		NM_182957	ENSMUSG00000091897	Gm17019	-	predicted gene 17019	protein-coding
1-310	chr19	55981991	55981990	-	1	NA	Intergenic	IAPEz-int|LTR|ERVK	86669	NM_001142924	21416		NM_009333	ENSMUSG00000024985	Tcf7l2	TCF4B|TCF4E|Tcf-4|Tcf4	transcription factor 7 like 2, T cell specific, HMG box	protein-coding
1-479	chr5	15004229	15004228	-	1	NA	Intergenic	MMERVK10C-int|LTR|ERVK	-25329	NM_001281514	100503549		NM_001281514	ENSMUSG00000072188	Speer4e2	Gm10354	spermatogenesis associated glutamate (E)-rich protein 4E2	protein-coding
1-299	chr19	31284002	31284001	-	1	NA	intron (NM_001013833, intron 3 of 17)	intron (NM_001013833, intron 3 of 17)	-67605	NR_002849	78103		NM_030041		8430431K14Rik	-	RIKEN cDNA 8430431K14 gene	ncRNA
1-197	chr13	119489243	119489242	-	1	NA	promoter-TSS (NR_027974)	promoter-TSS (NR_027974)	769	NM_001370627	633640		NM_001039244	ENSMUSG00000074634	Tmem267	EG633640|Gm7120	transmembrane protein 267	protein-coding
1-619	chr7	15288395	15288394	-	1	NA	Intergenic	Intergenic	-100457	NM_145708	246792		NM_145708	ENSMUSG00000074369	Obox2	-	oocyte specific homeobox 2	protein-coding
1-547	chr5	15684182	15684181	-	1	NA	intron (NR_001585, intron 1 of 4)	MMERVK10C-int|LTR|ERVK	3471	NR_001585	75858		NR_001585	ENSMUSG00000089871	Speer4cos	4930568L21Rik|SPEER-7|Speer7-ps|Speer7-ps1	spermatogenesis associated glutamate (E)-rich protein 4C, opposite strand transcript	pseudo
1-558	chr5	25779233	25779232	-	1	NA	intron (NM_001310504, intron 1 of 10)	Lx|LINE|L1	19259	NM_001004365	242894		NM_001004365	ENSMUSG00000056367	Actr3b	9630005C02|ARP11|Arp3b|Arp3beta	ARP3 actin-related protein 3B	protein-coding
1-312	chr2	44660741	44660740	+	1	NA	intron (NM_001362987, intron 5 of 10)	intron (NM_001362987, intron 5 of 10)	200882	NM_172662	227835		NM_172662	ENSMUSG00000036890	Gtdc1	E330008O22Rik|QTMAN	glycosyltransferase-like domain containing 1	protein-coding
1-470	chr5	14994211	14994210	+	1	NA	Intergenic	L1Md_T|LINE|L1	-15311	NM_001281514	100503549		NM_001281514	ENSMUSG00000072188	Speer4e2	Gm10354	spermatogenesis associated glutamate (E)-rich protein 4E2	protein-coding
1-448	chr5	14928063	14928062	+	1	NA	Intergenic	Intergenic	10413	NM_001122661	624245		NM_001122661	ENSMUSG00000091255	Speer4e1	Speer4e	spermatogenesis associated glutamate (E)-rich protein 4E1	protein-coding
1-504	chr5	15061541	15061540	+	1	NA	Intergenic	RLTR10C|LTR|ERVK	-28533	NM_182957	66773		NM_182957	ENSMUSG00000091897	Gm17019	-	predicted gene 17019	protein-coding
1-303	chr19	37795605	37795604	-	1	NA	Intergenic	Intergenic	97796	NM_007811	13082		NM_007811	ENSMUSG00000024987	Cyp26a1	Cyp26|P450RA|P450RAI|RAH	cytochrome P450, family 26, subfamily a, polypeptide 1	protein-coding
1-331	chr3	106138008	106138007	-	1	NA	Intergenic	L1Md_T|LINE|L1	24625	NM_023186	81600		NM_023186	ENSMUSG00000062778	Chia1	2200003E03Rik|AMCase|Chia|YNL	chitinase, acidic 1	protein-coding
1-194	chr13	119488359	119488358	+	1	NA	promoter-TSS (NM_001177666)	promoter-TSS (NM_001177666)	26	NR_027974	67304		NM_026084	ENSMUSG00000074635	3110070M22Rik	-	RIKEN cDNA 3110070M22 gene	ncRNA
1-289	chr17	50676643	50676642	-	1	NA	intron (NM_013880, intron 5 of 5)	intron (NM_013880, intron 5 of 5)	-22039	NM_001297747	12228		NM_009770	ENSMUSG00000022863	Btg3	ANA|tob5	BTG anti-proliferation factor 3	protein-coding
1-574	chr5	94454785	94454784	-	1	NA	Intergenic	L1Md_F2|LINE|L1	-71500	NM_001243938	100041102		NM_001243937	ENSMUSG00000095074	Pramel42	Gm3139	PRAME like 42	protein-coding
1-190	chr13	119488343	119488342	+	1	NA	promoter-TSS (NM_001177666)	promoter-TSS (NM_001177666)	42	NR_027974	67304		NM_026084	ENSMUSG00000074635	3110070M22Rik	-	RIKEN cDNA 3110070M22 gene	ncRNA
1-446	chr5	14911379	14911378	+	1	NA	exon (NM_198666, exon 4 of 5)	exon (NM_198666, exon 4 of 5)	3511	NM_198666	381714		NM_198666	ENSMUSG00000033219	Gm9758	-	predicted gene 9758	protein-coding
1-474	chr5	14994759	14994758	-	1	NA	Intergenic	B1F|SINE|Alu	-15859	NM_001281514	100503549		NM_001281514	ENSMUSG00000072188	Speer4e2	Gm10354	spermatogenesis associated glutamate (E)-rich protein 4E2	protein-coding
1-345	chr3	106280395	106280394	-	1	NA	Intergenic	Intergenic	-60915	NM_145126	104183		NM_145126	ENSMUSG00000063779	Chil4	Chi3l4|Ym2	chitinase-like 4	protein-coding
1-361	chr4	61693862	61693861	-	1	NA	Intergenic	Intergenic	-19767	NM_001199333	100048884		NM_001199333	ENSMUSG00000078674	Mup18	100039228|Gm12561|Mup16|Mup6|Mup9	major urinary protein 18	protein-coding
1-720	chrY	90761459	90761458	-	1	NA	Intergenic	CpG	-6408	NR_137283	654820		NM_001039559	ENSMUSG00000072844	G530011O06Rik	-	RIKEN cDNA G530011O06 gene	ncRNA
1-80	chr1	126986061	126986060	+	1	NA	Intergenic	Intergenic	-155428	NM_176957	210356		NM_172484	ENSMUSG00000049690	Nckap5	8430408F21|D130011D22Rik|E030049G20Rik|Erih1|Erih2|Gm1548|Nap5	NCK-associated protein 5	protein-coding
1-188	chr13	119488338	119488337	+	1	NA	promoter-TSS (NM_001177666)	promoter-TSS (NM_001177666)	47	NR_027974	67304		NM_026084	ENSMUSG00000074635	3110070M22Rik	-	RIKEN cDNA 3110070M22 gene	ncRNA
1-509	chr5	15461575	15461574	-	1	NA	Intergenic	Intergenic	14962	NM_001374725	100861702		NM_001374725	ENSMUSG00000099762	Gm21149	-	predicted gene, 21149	protein-coding
1-463	chr5	14974394	14974393	-	1	NA	TTS (NM_001281514)	TTS (NM_001281514)	4506	NM_001281514	100503549		NM_001281514	ENSMUSG00000072188	Speer4e2	Gm10354	spermatogenesis associated glutamate (E)-rich protein 4E2	protein-coding
1-617	chr6	147078518	147078517	-	1	NA	intron (NM_001034903, intron 2 of 2)	RLTR10-int|LTR|ERVK	8515	NM_001034903	545893		NM_001034903	ENSMUSG00000072662	Mansc4	A430079E08|EG545893|Gm5887	MANSC domain containing 4	protein-coding
1-450	chr5	14941216	14941215	-	1	NA	Intergenic	ORR1A1|LTR|ERVL-MaLR	-2740	NM_001122661	624245		NM_001122661	ENSMUSG00000091255	Speer4e1	Speer4e	spermatogenesis associated glutamate (E)-rich protein 4E1	protein-coding
1-477	chr5	15004212	15004211	+	1	NA	Intergenic	MMERVK10C-int|LTR|ERVK	-25312	NM_001281514	100503549		NM_001281514	ENSMUSG00000072188	Speer4e2	Gm10354	spermatogenesis associated glutamate (E)-rich protein 4E2	protein-coding
1-137	chr11	46158779	46158778	-	1	NA	intron (NM_172524, intron 2 of 5)	intron (NM_172524, intron 2 of 5)	7581	NM_172524	214112		NM_172524	ENSMUSG00000020411	Nipal4	9530066K23Rik	NIPA-like domain containing 4	protein-coding
1-196	chr13	119489236	119489235	-	1	NA	promoter-TSS (NR_027974)	promoter-TSS (NR_027974)	762	NM_001370627	633640		NM_001039244	ENSMUSG00000074634	Tmem267	EG633640|Gm7120	transmembrane protein 267	protein-coding
1-506	chr5	15061544	15061543	-	1	NA	Intergenic	RLTR10C|LTR|ERVK	-28536	NM_182957	66773		NM_182957	ENSMUSG00000091897	Gm17019	-	predicted gene 17019	protein-coding
1-228	chr15	56034036	56034035	-	1	NA	Intergenic	MuRRS-int|LTR|ERV1	-127086	NM_016667	20649		NM_016667	ENSMUSG00000060429	Sntb1	-	syntrophin, basic 1	protein-coding
1-29	chr1	85511803	85511802	-	1	NA	Intergenic	Intergenic	-33013	NM_001378663	101055758		NM_001378663	ENSMUSG00000118607	Gm7592	EG665338	predicted gene 7592	protein-coding
1-609	chr6	30804614	30804613	-	1	NA	intron (NR_149738, intron 21 of 24)	intron (NR_149738, intron 21 of 24)	63314	NR_029900	723930		NR_029900	ENSMUSG00000065501	Mir335	Mirn335|mir-335|mmu-mir-335	microRNA 335	ncRNA
1-498	chr5	15060174	15060173	-	1	NA	Intergenic	MMERVK10C-int|LTR|ERVK	-27166	NM_182957	66773		NM_182957	ENSMUSG00000091897	Gm17019	-	predicted gene 17019	protein-coding
1-523	chr5	15514109	15514108	+	1	NA	Intergenic	L1_Mm|LINE|L1	15114	NM_001310449	100861755		NM_001310449	ENSMUSG00000106445	Gm21190	-	predicted gene, 21190	protein-coding
1-511	chr5	15463665	15463664	+	1	NA	Intergenic	Lx5c|LINE|L1	12872	NM_001374725	100861702		NM_001374725	ENSMUSG00000099762	Gm21149	-	predicted gene, 21149	protein-coding
1-324	chr3	15399648	15399647	+	1	NA	intron (NM_001002898, intron 4 of 5)	L1_Mus3|LINE|L1	26780	NM_001002898	320832		NM_178792	ENSMUSG00000095788	Sirpb1a	9930027N05Rik|SIRP-beta|Sirpb|Sirpb1	signal-regulatory protein beta 1A	protein-coding
1-567	chr5	87945086	87945085	-	1	NA	intron (NR_045924, intron 2 of 4)	(TTTG)n|Simple_repeat|Simple_repeat	19506	NM_001356571	12994		NM_007786	ENSMUSG00000001622	Csn3	CSN10|Csnk	casein kappa	protein-coding
1-202	chr13	119495243	119495242	-	1	NA	intron (NM_001370626, intron 2 of 2)	intron (NM_001370626, intron 2 of 2)	6769	NM_001370627	633640		NM_001039244	ENSMUSG00000074634	Tmem267	EG633640|Gm7120	transmembrane protein 267	protein-coding
1-263	chr17	13226870	13226869	+	1	NA	exon (NM_013741, exon 2 of 3)	exon (NM_013741, exon 2 of 3)	-3394	NM_001167913	236574		NM_001167913	ENSMUSG00000073457	Smok2b	Gm1847|Smok+129	sperm motility kinase 2B	protein-coding
1-678	chr9	3029032	3029031	+	1	NA	Intergenic	GSAT_MM|Satellite|Satellite	9712	NR_039546	100628572		NR_039546	ENSMUSG00000106183	Mir101c	mir-101c|mmu-mir-101c	microRNA 101c	ncRNA
1-719	chrY	90761400	90761399	-	1	NA	Intergenic	CpG	-6349	NR_137283	654820		NM_001039559	ENSMUSG00000072844	G530011O06Rik	-	RIKEN cDNA G530011O06 gene	ncRNA
1-532	chr5	15597801	15597800	-	1	NA	Intergenic	Lx|LINE|L1	20507	NM_001310450	105242399		NM_001310450	ENSMUSG00000096878	Gm21083	-	predicted gene, 21083	protein-coding
1-107	chr10	129391062	129391061	+	1	NA	Intergenic	IAPEz-int|LTR|ERVK	3426	NM_146729	258724		NM_146729	ENSMUSG00000094347	Or6c208	MOR110-3|Olfr784	olfactory receptor family 6 subfamily C member 208	protein-coding
1-183	chr13	68444522	68444521	+	1	NA	Intergenic	RLTR6-int|LTR|ERV1	-87696	NR_152173	666272		NR_152173	ENSMUSG00000113050	Gm8016	EG666272	predicted gene 8016	ncRNA
1-642	chr7	130443554	130443553	-	1	NA	intron (NM_001136054, intron 10 of 11)	MERVL-int|LTR|ERVL	76027	NM_013799	11907		NM_013799	ENSMUSG00000030850	Ate1	-	arginyltransferase 1	protein-coding
1-313	chr2	58048871	58048870	+	1	NA	intron (NM_029972, intron 2 of 2)	intron (NM_029972, intron 2 of 2)	3994	NM_029972	77767		NM_029972	ENSMUSG00000026830	Ermn	A330104H05Rik|ermin|mKIAA1189	ermin, ERM-like protein	protein-coding
1-377	chr4	145830062	145830061	+	1	NA	TTS (NM_001083918).2	TTS (NM_001083918).2	-7158	NR_033612	236069		NR_033612	ENSMUSG00000096233	Gm13238	-	carnitine deficiency-associated gene expressed in ventricle 3 pseudogene	pseudo
1-309	chr19	55981980	55981979	-	1	NA	Intergenic	IAPEz-int|LTR|ERVK	86658	NM_001142924	21416		NM_009333	ENSMUSG00000024985	Tcf7l2	TCF4B|TCF4E|Tcf-4|Tcf4	transcription factor 7 like 2, T cell specific, HMG box	protein-coding
1-327	chr3	36296143	36296142	-	1	NA	Intergenic	Intergenic	-73867	NM_198192	229214		NM_198192	ENSMUSG00000058400	Qrfpr	AQ27|Gpr103|SP9155	pyroglutamylated RFamide peptide receptor	protein-coding
1-246	chr16	45290905	45290904	-	1	NA	Intergenic	Intergenic	66567	NM_177584	208154		NM_177584	ENSMUSG00000052013	Btla	A630002H24	B and T lymphocyte associated	protein-coding
1-83	chr1	160192290	160192289	-	1	NA	Intergenic	B3|SINE|B2	-2926	NM_025474	64659		NM_025474	ENSMUSG00000058267	Mrps14	1810032L21Rik|Rpms14	mitochondrial ribosomal protein S14	protein-coding
1-505	chr5	15061543	15061542	+	1	NA	Intergenic	RLTR10C|LTR|ERVK	-28535	NM_182957	66773		NM_182957	ENSMUSG00000091897	Gm17019	-	predicted gene 17019	protein-coding
1-200	chr13	119494903	119494902	-	1	NA	intron (NM_001370626, intron 2 of 2)	B2_Mm1t|SINE|B2	6429	NM_001370627	633640		NM_001039244	ENSMUSG00000074634	Tmem267	EG633640|Gm7120	transmembrane protein 267	protein-coding
1-104	chr10	108706773	108706772	-	1	NA	intron (NM_001358504, intron 4 of 11)	intron (NM_001358504, intron 4 of 11)	-6612	NM_203660	368203		NM_203660	ENSMUSG00000112039	Brcc3dc	C6.1AL|EG368203|Gm5136	BRCA1/BRCA2-containing complex, subunit 3, domain containing	protein-coding
1-100	chr10	81144289	81144288	+	1	NA	exon (NM_010731, exon 2 of 3)	exon (NM_010731, exon 2 of 3)	8017	NM_010731	16969		NM_010731	ENSMUSG00000035011	Zbtb7a	9030619K07Rik|9130006G12Rik|FBI-1|Lrf|Pokemon|Zbtb7	zinc finger and BTB domain containing 7a	protein-coding
