chr	start	end	strand	E18pt5_3	E18pt5_4	Week4_2	Week4_3	Week4_4	X2.year_3	X2.year_4	pval	clusters
chr1	171064043	171064043	-	0.0714285714285714	0	0.111111111111111	0.166666666666667	0.230769230769231	0.3125	0.272727272727273	0.0188568095397831	5
chr10	81178087	81178087	-	0.540540540540541	0.428571428571429	0.863636363636364	0.714285714285714	0.8	0.647058823529412	0.755102040816326	0.0283267937353153	5
chr11	3102385	3102385	-	0.428571428571429	0.483870967741935	0.714285714285714	0.8	0.588235294117647	0.714285714285714	0.733333333333333	0.043458807600715	5
chr11	12861935	12861935	-	0	0	1	1	0.866666666666667	1	0.875	0.000227120906079598	5
chr12	20226999	20226999	-	0.358490566037736	0.375	0.5	0.6	0.5	0.567567567567568	0.689655172413793	0.0281219462451421	5
chr12	20233348	20233348	-	0.71875	0.722222222222222	0.916666666666667	1	1	0.861111111111111	0.96	0.0117838253067532	5
chr13	44869936	44869936	+	0.111111111111111	0.121951219512195	0.363636363636364	0.239130434782609	0.217391304347826	0.467741935483871	0.358974358974359	0.0298524192015377	5
chr14	19416970	19416970	+	0	0	0.8	0.826086956521739	1	0.714285714285714	0.4	0.00539797291663634	5
chr14	104715877	104715877	-	0.333333333333333	0.161764705882353	0.388888888888889	0.428571428571429	0.4	0.555555555555556	0.461538461538462	0.0499061806133479	5
chr15	9900381	9900381	-	0	0	1	1	1	1	0.909090909090909	8.91827511095063e-06	5
chr16	17222331	17222331	+	0.181818181818182	0.25	0.529411764705882	0.615384615384615	0.8	0.55	0.333333333333333	0.0487576363486437	5
chr17	13205555	13205555	-	0	0	0.923076923076923	0.923076923076923	0.909090909090909	0.857142857142857	0.5625	0.00159036271411487	5
chr17	13423180	13423180	+	0	0	1	1	1	1	1	2.62267123282749e-64	5
chr17	35430133	35430133	-	0.777777777777778	0.714285714285714	0.9	1	1	1	1	0.00968637474369839	5
chr17	39844637	39844637	+	0.381981981981982	0.335	0.452830188679245	0.486486486486487	0.594470046082949	0.687595712098009	0.63716814159292	0.0159032386964494	5
chr17	39845807	39845807	+	0	0	0.125	0.15	0.133333333333333	0.307692307692308	0.238095238095238	0.0012646131678889	5
chr17	39848815	39848815	-	0.163636363636364	0.122448979591837	0.296296296296296	0.238095238095238	0.333333333333333	0.378787878787879	0.412698412698413	0.00730923335130775	5
chr18	20807659	20807659	-	0	0	1	1	1	0.818181818181818	1	0.000149240548352415	5
chr18	68692098	68692098	+	0.206521739130435	0.0909090909090909	0.328571428571429	0.25	0.333333333333333	0.432098765432099	0.367647058823529	0.0285783418799751	5
chr2	95796696	95796696	-	0	0.411764705882353	0.65	0.714285714285714	0.8	0.85	0.666666666666667	0.047824338416296	5
chr2	99055711	99055711	+	0	0	0.8	0.9	1	1	1	0.000238780950153259	5
chr3	106257194	106257194	-	0	0	0.9	0.9	1	1	1	2.51795326370423e-05	5
chr4	61838350	61838350	+	0	0	1	0.857142857142857	1	1	0.9	0.000201168058248814	5
chr4	61838355	61838355	+	0	0	1	0.916666666666667	0.818181818181818	0.916666666666667	0.9	0.000193650888662613	5
chr4	145669685	145669685	-	0.642857142857143	0.6	0.818181818181818	0.909090909090909	1	0.666666666666667	0.785714285714286	0.0353929831061128	5
chr4	145844703	145844703	+	0	0	1	0.9	0.833333333333333	0.95	0.818181818181818	0.000371118354773332	5
chr4	146474982	146474982	-	0	0	0.5	0.785714285714286	0.5	0.944444444444444	0.8	0.00556927472334234	5
chr4	146474987	146474987	-	0	0	1	0.733333333333333	1	1	1	0.00125700438739023	5
chr4	146475006	146475006	-	0	0	0.866666666666667	1	0.727272727272727	0.875	1	0.00142430199282209	5
chr4	147141979	147141979	+	0.206896551724138	0.318181818181818	0.625	0.64	0.5	0.592592592592593	0.478260869565217	0.0233937003048856	5
chr4	147258755	147258755	+	0.409090909090909	0.5	0.928571428571429	0.857142857142857	0.8	0.620689655172414	0.666666666666667	0.00386429111627224	5
chr4	147268737	147268737	-	0.333333333333333	0.32	0.5625	0.666666666666667	0.428571428571429	0.695652173913043	0.611111111111111	0.0487679276980735	5
chr4	147402021	147402021	-	0.692307692307692	0.6	0.952380952380952	0.853658536585366	0.96	0.666666666666667	0.811320754716981	0.0325435478085309	5
chr4	147420444	147420444	+	0.564102564102564	0.571428571428571	0.814814814814815	0.88235294117647	0.846153846153846	0.708333333333333	0.757575757575758	0.00130303914434425	5
chr4	147808990	147808990	+	0.5	0.5	0.75	0.9	0.727272727272727	0.941176470588235	0.764705882352941	0.0336933442923285	5
chr5	14921219	14921219	-	0	0	0.631578947368421	0.7	0.526315789473684	0.733333333333333	0.9	0.00142884204841036	5
chr5	14949033	14949033	+	0	0	0.285714285714286	0.4	0.5	0.727272727272727	0.416666666666667	0.0289227240739771	5
chr5	14960487	14960487	-	0	0	0.967741935483871	0.925925925925926	0.88235294117647	1	1	7.70231999347394e-06	5
chr5	14963509	14963509	+	0.615384615384615	0.615384615384615	0.947368421052632	0.740740740740741	0.863636363636364	0.9	0.857142857142857	0.0417747630447379	5
chr5	14963794	14963794	-	0	0	0.8	0.666666666666667	0.761904761904762	1	1	7.2150659564419e-05	5
chr5	14971988	14971988	-	0	0	0.484848484848485	0.447368421052632	0.31578947368421	0.6875	0.571428571428571	0.0026599569852413	5
chr5	14972065	14972065	-	0	0	0.933333333333333	0.625	0.727272727272727	0.5	0.5	0.00434361996742197	5
chr5	14974519	14974519	-	0	0	0.5	0.538461538461538	0.384615384615385	0.454545454545455	0.416666666666667	0.001833925873934	5
chr5	14994661	14994661	+	0	0	0.722222222222222	0.769230769230769	0.888888888888889	0.666666666666667	0.818181818181818	0.000883425844588583	5
chr5	14994671	14994671	+	0	0	0.555555555555556	0.571428571428571	0.823529411764706	0.769230769230769	0.833333333333333	0.00352456699267306	5
chr5	14994757	14994757	+	0	0	0.8	0.7	0.8	0.777777777777778	0.846153846153846	0.000102057357578453	5
chr5	15005813	15005813	+	0.333333333333333	0.153846153846154	0.833333333333333	0.583333333333333	0.642857142857143	0.461538461538462	0.5625	0.0361954138168473	5
chr5	15007833	15007833	-	0	0	0.714285714285714	0.7	0.8	0.8	0.9	0.000144894586455901	5
chr5	15051079	15051079	+	0	0	0.772727272727273	0.833333333333333	0.818181818181818	1	0.833333333333333	0.000221933596318212	5
chr5	15054945	15054945	-	0	0	0.75	0.833333333333333	0.857142857142857	0.8	0.75	6.79929238786775e-05	5
chr5	15061232	15061232	+	0	0	0.75	0.857142857142857	0.952380952380952	0.823529411764706	1	0.00100488039100434	5
chr5	15061283	15061283	+	0	0	1	1	0.954545454545455	1	1	9.61976995439175e-07	5
chr5	15061393	15061393	+	0	0	1	1	1	1	1	2.62267123282749e-64	5
chr5	15468783	15468783	+	0.5	0	0.783783783783784	0.897435897435897	0.739130434782609	1	1	0.0333472289568317	5
chr5	15468819	15468819	+	0	0	0.705882352941177	0.763157894736842	0.818181818181818	1	0.9	0.000114764429699948	5
chr5	15483948	15483948	+	0	0	0.717948717948718	0.84	0.875	0.714285714285714	0.909090909090909	0.00112099186754031	5
chr5	15507437	15507437	+	0	0	0.857142857142857	0.857142857142857	0.75	1	0.9	0.000127428285437848	5
chr5	15512394	15512394	+	0	0	0.909090909090909	0.75	1	1	1	0.000618286146620646	5
chr5	15512527	15512527	+	0.3	0	0.555555555555556	0.478260869565217	0.391304347826087	0.909090909090909	0.692307692307692	0.0263245298888522	5
chr5	15514220	15514220	+	0	0	0.862068965517241	0.714285714285714	0.95	1	1	0.000533127405781769	5
chr5	15517642	15517642	+	0	0	0.473684210526316	0.461538461538462	0.75	0.846153846153846	0.578947368421053	0.0176707403647747	5
chr5	15524758	15524758	+	0	0	0.625	0.666666666666667	0.80952380952381	1	0.923076923076923	0.000444354049768119	5
chr5	15591731	15591731	-	0	0	0.518518518518518	0.733333333333333	0.666666666666667	0.818181818181818	1	0.00193342722569612	5
chr5	15611551	15611551	+	0	0	0.545454545454545	0.576923076923077	0.846153846153846	1	0.818181818181818	0.00541199290108074	5
chr5	15630879	15630879	+	0	0	0.753846153846154	0.544117647058823	0.658536585365854	0.583333333333333	0.761904761904762	0.00330014846114914	5
chr5	15645081	15645081	-	0	0	0.714285714285714	0.708333333333333	0.846153846153846	1	1	0.000116501863825727	5
chr5	15653568	15653568	-	0	0	0.944444444444444	0.705882352941177	0.941176470588235	0.9	0.909090909090909	0.00106896644041333	5
chr5	15677831	15677831	-	0	0	0.846153846153846	0.837837837837838	0.935483870967742	1	1	2.2178980334626e-05	5
chr5	15681822	15681822	+	0.375	0.5	0.705882352941177	0.655172413793103	0.56	0.7	0.730769230769231	0.0346294581172948	5
chr5	15687198	15687198	-	0	0	0.942857142857143	0.947368421052632	0.945945945945946	1	1	6.3024285769499e-11	5
chr5	15687212	15687212	-	0	0	1	0.975	0.976190476190476	1	1	8.05487120068512e-08	5
chr5	15687362	15687362	-	0	0	0.973684210526316	0.895833333333333	0.954545454545455	1	0.888888888888889	5.47789874715776e-05	5
chr5	15690417	15690417	+	0	0	0.942857142857143	0.894736842105263	1	0.909090909090909	1	5.57480510932779e-05	5
chr5	26004598	26004598	-	0	0	0.636363636363636	0.916666666666667	0.9	1	1	0.00163635549096324	5
chr5	94724331	94724331	-	0	0	1	1	1	1	0.958333333333333	3.8103947568968e-07	5
chr5	95010692	95010692	+	0.636363636363636	0.545454545454545	0.833333333333333	0.909090909090909	0.818181818181818	0.782608695652174	0.909090909090909	0.0222297166031001	5
chr6	3183907	3183907	+	0.392857142857143	0.428571428571429	0.588235294117647	0.5	0.7	0.80952380952381	0.727272727272727	0.0251245179419026	5
chr6	3201555	3201555	-	0.345454545454545	0.348837209302326	0.465116279069767	0.607142857142857	0.590909090909091	0.555555555555556	0.673469387755102	0.0364087660546288	5
chr6	47744008	47744008	+	0.75609756097561	0.576923076923077	0.958333333333333	0.954545454545455	1	1	0.894736842105263	0.0239101594409725	5
chr6	47745990	47745990	+	0.769230769230769	0.621621621621622	0.947368421052632	0.9375	0.952380952380952	0.9	0.934782608695652	0.0152108420443364	5
chr6	47748348	47748348	+	0.736842105263158	0.607142857142857	0.88235294117647	0.888888888888889	0.947368421052632	1	0.888888888888889	0.0252841219496178	5
chr6	48236803	48236803	+	0	0	1	1	1	1	1	2.62267123282749e-64	5
chr8	15519858	15519858	-	0.229885057471264	0.147058823529412	0.4375	0.484848484848485	0.463414634146341	0.463235294117647	0.421052631578947	0.00260605566461591	5
chr8	29199629	29199629	-	0.727272727272727	0.764705882352941	0.9	1	1	1	1	0.00718239961875338	5
chr9	3028885	3028885	+	0.581395348837209	0.558139534883721	0.80952380952381	0.714285714285714	0.75	0.886363636363636	0.8	0.00963245496105012	5
chrX	170736158	170736158	+	0.375	0.333333333333333	0.68421052631579	0.55	0.5	0.608695652173913	0.761904761904762	0.0442251149622565	5
