PeakID (cmd=annotatePeaks.pl filtered_anova_cluster4.tsv mm10 -go filtered_anova_cluster4_anno_go -annStats filtered_anova_cluster4_anno.stats)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-7	chr12	20227668	20227667	-	0.880952380952381	NA	Intergenic	MMERGLN-int|LTR|ERV1	588112	NR_015521	69513		NR_015521	ENSMUSG00000099759	1700030C10Rik	-	RIKEN cDNA 1700030C10 gene	ncRNA
1-11	chr13	119597637	119597636	+	0.823529411764706	NA	intron (NM_001370626, intron 2 of 2)	intron (NM_001370626, intron 2 of 2)	-26183	NM_020279	56838		NM_020279	ENSMUSG00000074715	Ccl28	CCK1|MEC|Scya28	C-C motif chemokine ligand 28	protein-coding
1-16	chr4	83540446	83540445	-	0.8	NA	intron (NM_001369172, intron 2 of 4)	MMVL30-int|LTR|ERV1	14869	NM_001369172	320226		NM_029117	ENSMUSG00000052407	Ccdc171	4930418J05Rik|4930473A06Rik|A330015D16Rik	coiled-coil domain containing 171	protein-coding
1-9	chr13	119488339	119488338	-	0.8	NA	promoter-TSS (NM_001177666)	promoter-TSS (NM_001177666)	46	NR_027974	67304		NM_026084	ENSMUSG00000074635	3110070M22Rik	-	RIKEN cDNA 3110070M22 gene	ncRNA
1-2	chr1	85330146	85330145	-	0.787878787878788	NA	Intergenic	Intergenic	-2766	NR_165476	108167347		NM_001372515		Gm2619	100040135	component of Sp100-rs-like	pseudo
1-12	chr13	119603050	119603049	-	0.76	NA	intron (NM_001370626, intron 2 of 2)	intron (NM_001370626, intron 2 of 2)	-20770	NM_020279	56838		NM_020279	ENSMUSG00000074715	Ccl28	CCK1|MEC|Scya28	C-C motif chemokine ligand 28	protein-coding
1-14	chr3	144657312	144657311	-	0.757575757575758	NA	Intergenic	L1Md_T|LINE|L1	62858	NM_001379172	54673		NM_019464	ENSMUSG00000037062	Sh3glb1	Bif-1|mKIAA0491	SH3-domain GRB2-like B1 (endophilin)	protein-coding
1-4	chr1	88285897	88285896	-	0.75609756097561	NA	Intergenic	Intergenic	-8317	NM_198652	381280		NM_198652	ENSMUSG00000044783	Hjurp	6430706D22Rik|A730008H23Rik|C330011F01Rik|Gm975|Mfleg1	Holliday junction recognition protein	protein-coding
1-26	chr8	25869978	25869977	+	0.75	NA	intron (NM_008432, intron 7 of 26)	intron (NM_008432, intron 7 of 26)	20354	NM_008432	16532		NM_008432	ENSMUSG00000031576	Kcnu1	Kcnma3|Slo3|mSlo3	potassium channel, subfamily U, member 1	protein-coding
1-3	chr1	85598767	85598766	+	0.739130434782609	NA	promoter-TSS (NM_030194)	promoter-TSS (NM_030194)	44	NM_030194	109032		NM_030194	ENSMUSG00000070034	Sp110	5031415C07Rik|52kDa|5830484A20Rik|Ifi75|Ipr1	Sp110 nuclear body protein	protein-coding
