rid	E18pt5_vs_2-year.hyper	E18pt5_vs_2-year.hypo	E18pt5_vs_Week4.hyper	E18pt5_vs_Week4.hypo	Week4_vs_2-year.hyper	Week4_vs_2-year.hypo
chr10:44235143-44235144	1	0	0	0	0	0
chr10:81182222-81182223	1	0	0	0	1	0
chr10:81182288-81182289	1	0	0	0	0	0
chr10:96077534-96077535	0	0	1	0	0	0
chr11:104073074-104073075	0	0	0	0	1	0
chr11:3125971-3125972	0	1	0	1	0	0
chr11:3127597-3127598	0	1	0	0	0	0
chr11:3127605-3127606	0	1	0	0	0	0
chr11:3127731-3127732	0	1	0	0	0	0
chr11:3127795-3127796	0	1	0	0	0	0
chr11:3128980-3128981	0	1	0	1	0	0
chr11:3129105-3129106	0	1	0	0	0	0
chr11:3133525-3133526	0	1	0	1	0	0
chr11:3133543-3133544	0	1	0	0	0	0
chr11:3143951-3143952	0	1	0	0	0	0
chr11:3144029-3144030	0	1	0	0	0	0
chr12:114774276-114774277	1	0	0	0	0	0
chr12:119556672-119556673	0	1	0	1	0	0
chr12:119556685-119556686	0	1	0	1	0	0
chr12:19683232-19683233	0	0	1	0	0	0
chr12:20232972-20232973	1	0	0	0	0	0
chr12:20234455-20234456	1	0	0	0	0	0
chr12:99645089-99645090	1	0	0	0	0	0
chr12:99645321-99645322	1	0	0	0	0	0
chr13:106589157-106589158	1	0	0	0	0	0
chr13:106589165-106589166	1	0	0	0	0	0
chr13:119488308-119488309	0	1	0	0	0	1
chr13:119488315-119488316	0	1	0	0	0	1
chr13:119488333-119488334	0	1	0	0	0	1
chr13:119488337-119488338	0	1	0	0	0	1
chr13:119488342-119488343	0	1	0	0	0	1
chr13:119488349-119488350	0	1	0	0	0	1
chr13:119488352-119488353	0	0	0	0	0	1
chr13:119488356-119488357	0	1	0	0	0	1
chr13:119488697-119488698	0	0	1	0	0	0
chr13:119488749-119488750	0	0	0	0	0	1
chr13:119611629-119611630	1	0	0	0	1	0
chr13:119616133-119616134	0	0	0	0	1	0
chr13:119617349-119617350	1	0	0	0	1	0
chr13:49871929-49871930	1	0	0	0	0	0
chr13:64830811-64830812	1	0	0	0	0	0
chr13:64833808-64833809	0	0	0	0	0	1
chr13:66469662-66469663	0	0	0	1	0	0
chr13:66474180-66474181	0	0	0	1	0	0
chr13:9834398-9834399	1	0	0	0	0	0
chr13:9834508-9834509	1	0	0	0	0	0
chr14:104715980-104715981	1	0	0	0	0	0
chr14:104716000-104716001	1	0	0	0	0	0
chr14:21596463-21596464	0	1	0	0	0	0
chr14:27683753-27683754	1	0	0	0	0	0
chr14:43354985-43354986	1	0	0	0	0	0
chr14:44184801-44184802	0	0	0	0	1	0
chr14:44505182-44505183	1	0	0	0	0	0
chr14:44527459-44527460	0	0	0	1	0	0
chr14:44596186-44596187	1	0	0	0	0	0
chr15:103897278-103897279	1	0	0	0	0	0
chr15:36135311-36135312	1	0	0	0	0	0
chr15:6683411-6683412	0	1	0	0	0	0
chr15:6683827-6683828	1	0	0	0	0	0
chr16:17222477-17222478	0	0	1	0	0	0
chr16:17222488-17222489	0	0	1	0	0	0
chr16:3127919-3127920	0	0	0	1	0	0
chr16:3245167-3245168	0	0	0	1	0	0
chr16:3252269-3252270	1	0	0	0	0	0
chr16:3257462-3257463	0	0	0	0	1	0
chr17:3079414-3079415	0	1	0	1	0	0
chr17:3079539-3079540	0	1	0	1	0	0
chr17:3079551-3079552	0	1	0	0	0	0
chr17:3079563-3079564	0	1	0	0	0	0
chr17:3080717-3080718	0	1	0	0	0	0
chr17:3080915-3080916	0	1	0	0	0	0
chr17:3082530-3082531	0	1	0	0	0	0
chr17:35433624-35433625	1	0	0	0	0	0
chr17:39844637-39844638	1	0	0	0	0	0
chr17:39848822-39848823	1	0	0	0	0	0
chr18:3007646-3007647	0	0	0	0	0	1
chr18:82167648-82167649	1	0	0	0	0	0
chr19:3242469-3242470	1	0	0	0	0	0
chr1:167340402-167340403	1	0	0	0	0	0
chr1:171065450-171065451	1	0	0	0	0	0
chr1:171065453-171065454	1	0	0	0	0	0
chr1:171065461-171065462	1	0	0	0	0	0
chr1:171066151-171066152	1	0	0	0	1	0
chr1:171066474-171066475	1	0	1	0	0	0
chr1:171070013-171070014	0	0	0	0	1	0
chr1:56782362-56782363	1	0	0	0	1	0
chr1:56782368-56782369	1	0	0	0	0	0
chr1:84963695-84963696	0	0	0	1	0	0
chr1:84984021-84984022	0	0	0	0	1	0
chr1:85040499-85040500	0	1	0	0	0	1
chr1:85071071-85071072	0	0	0	1	1	0
chr1:85078921-85078922	1	0	0	0	0	0
chr1:85101441-85101442	1	0	0	0	0	0
chr1:85111790-85111791	0	1	0	0	0	0
chr1:85168493-85168494	0	0	0	0	0	1
chr1:85277439-85277440	0	0	1	0	0	0
chr1:85507682-85507683	0	1	0	1	0	0
chr1:85619836-85619837	1	0	0	0	0	0
chr1:85651978-85651979	0	1	0	0	0	0
chr1:85651993-85651994	0	1	0	0	0	1
chr1:85652046-85652047	0	1	0	0	0	0
chr1:85652130-85652131	0	1	0	0	0	0
chr1:85652174-85652175	0	1	0	0	0	0
chr1:88253082-88253083	0	1	0	0	0	1
chr1:88258660-88258661	0	1	0	0	0	1
chr1:88258921-88258922	0	1	0	1	0	1
chr1:88258963-88258964	0	1	0	0	0	0
chr1:88259219-88259220	0	1	0	1	0	0
chr1:88259318-88259319	0	1	0	1	0	0
chr1:88259483-88259484	0	1	0	0	0	0
chr1:88260797-88260798	0	1	0	1	0	0
chr1:88262169-88262170	0	1	0	1	0	1
chr1:88262336-88262337	0	1	0	1	0	0
chr1:88262359-88262360	0	1	0	1	0	0
chr1:88262394-88262395	0	1	0	1	0	0
chr1:88262406-88262407	0	1	0	1	0	0
chr1:88276776-88276777	0	0	0	1	0	0
chr1:88279312-88279313	0	1	0	0	0	0
chr1:88279555-88279556	0	1	0	1	0	0
chr1:88279611-88279612	0	1	0	1	0	0
chr1:88290134-88290135	0	1	0	0	0	0
chr2:151288986-151288987	0	0	0	1	0	0
chr2:20899896-20899897	1	0	0	0	0	0
chr2:20899901-20899902	1	0	0	0	0	0
chr2:20899927-20899928	1	0	0	0	0	0
chr2:20899944-20899945	1	0	0	0	0	0
chr2:20899956-20899957	1	0	0	0	0	0
chr2:20900006-20900007	1	0	0	0	0	0
chr2:20900119-20900120	1	0	0	0	0	0
chr2:20900124-20900125	0	0	0	0	1	0
chr2:20900142-20900143	0	0	0	0	1	0
chr2:20900151-20900152	0	0	0	0	1	0
chr3:106125076-106125077	1	0	0	0	0	0
chr3:106254308-106254309	1	0	0	0	0	0
chr4:145837129-145837130	1	0	0	0	0	0
chr4:145837212-145837213	1	0	0	0	0	0
chr4:145837237-145837238	1	0	0	0	0	0
chr4:145837311-145837312	0	0	1	0	0	0
chr4:145837334-145837335	1	0	0	0	0	0
chr4:146239592-146239593	1	0	0	0	0	0
chr4:146239627-146239628	1	0	0	0	0	0
chr4:146239634-146239635	1	0	0	0	0	0
chr4:146239636-146239637	1	0	0	0	0	0
chr4:146240105-146240106	1	0	0	0	0	0
chr4:146446929-146446930	0	1	0	0	0	1
chr4:146475317-146475318	1	0	0	0	0	0
chr4:146475324-146475325	1	0	0	0	0	0
chr4:146475498-146475499	0	0	0	0	1	0
chr4:147268736-147268737	1	0	0	0	0	0
chr4:147271593-147271594	0	0	0	0	1	0
chr4:147365206-147365207	0	0	1	0	0	0
chr4:147425208-147425209	0	1	0	0	0	0
chr4:147613793-147613794	0	0	0	0	1	0
chr4:147615513-147615514	1	0	0	0	1	0
chr4:147615546-147615547	1	0	0	0	0	0
chr4:147648510-147648511	0	0	0	0	1	0
chr4:147711017-147711018	1	0	0	0	0	0
chr4:147739651-147739652	1	0	0	0	0	0
chr4:147757807-147757808	0	0	0	0	1	0
chr4:147764347-147764348	1	0	0	0	1	0
