chr	start	end	strand	E18pt5_1.percMeth	E18pt5_2.percMeth	E18pt5_3.percMeth	E18pt5_4.percMeth	Week4_1.percMeth	Week4_2.percMeth	Week4_3.percMeth	Week4_4.percMeth	X2.year_1.percMeth	X2.year_2.percMeth	X2.year_3.percMeth	X2.year_4.percMeth	pvals
chr1	7541406	7541406	+	NA	1	0.891891891891892	0.868421052631579	0.829268292682927	0.782608695652174	0.8125	0.9375	NA	1	0.878787878787879	0.88	0.268966229083654
chr1	7541437	7541437	+	NA	1	0.814814814814815	0.913793103448276	0.862068965517241	0.837837837837838	0.857142857142857	0.789473684210526	NA	0.9	0.75	0.848484848484849	0.337070384213092
chr1	11072908	11072908	+	0.65	0.5	0.764705882352941	0.456521739130435	0.673913043478261	0.470588235294118	0.511111111111111	0.5	0.3	0.666666666666667	0.595238095238095	0.620689655172414	0.83456331009677
chr1	18804174	18804174	+	1	1	0.880952380952381	0.846153846153846	0.777777777777778	0.9	1	0.84	NA	1	0.918918918918919	0.851063829787234	0.664108606475397
chr1	18804205	18804205	+	1	1	0.8	0.765957446808511	0.888888888888889	0.904761904761905	1	0.826086956521739	NA	0.923076923076923	0.904761904761905	0.901960784313726	0.959376262582375
chr1	18804228	18804228	+	0.16	0.0526315789473684	0.0444444444444444	0.0869565217391304	0.0517241379310345	0.19047619047619	0.105263157894737	0.16	0	0.125	0.0930232558139535	0.12	0.521503970784874
chr1	25520465	25520465	+	0.934426229508197	0.944444444444444	0.912408759124088	0.922330097087379	0.89622641509434	0.878787878787879	0.891891891891892	0.878048780487805	1	0.963636363636364	0.914893617021277	0.958333333333333	0.00410137897816389
chr1	25520478	25520478	+	0.898305084745763	0.944444444444444	0.85	0.932692307692308	0.934579439252336	0.921875	1	0.789473684210526	0.967741935483871	0.945454545454545	0.926315789473684	0.904109589041096	0.755075548793896
chr1	25520496	25520496	+	1	1	0.950354609929078	0.990291262135922	0.963302752293578	0.970149253731343	0.975609756097561	0.95	1	0.964285714285714	0.978947368421053	0.918918918918919	0.454872245799486
chr1	25520528	25520528	+	0.744186046511628	0.92	0.914285714285714	0.944444444444444	0.9375	0.938775510204082	0.907407407407407	0.866666666666667	0.92	0.902439024390244	0.909090909090909	0.929824561403509	0.64801600959401
chr1	26535178	26535178	+	0.95	0.727272727272727	0.944444444444444	0.724137931034483	0.827586206896552	0.862068965517241	0.866666666666667	0.8	NA	0.944444444444444	0.777777777777778	0.82	0.987203314333816
chr1	26686953	26686953	+	0.615384615384615	NA	0.45945945945946	0.538461538461538	0.8125	0.857142857142857	0.4	0.615384615384615	NA	0.714285714285714	0.777777777777778	0.45	0.59247677955972
