Name,chrom,strand,tss,l2_FLvsAD,l2_ADvsFL,cE,tE,cW,tW,cY,tY,pE,pW,pY
Sox17,chr1,-,4497353,6.24323507469,,20,214,36,170,28,78,0.0854700854700855,0.144,0.264150943396226
Mrpl15,chr1,-,4785725,,-1.13224429689975,28,202,13,182,30,200,0.121739130434783,0.0604651162790698,0.130434782608696
Rb1cc1,chr1,+,6214661,,1.22906794118,2,97,6,78,2,90,0.0202020202020202,0.058252427184466,0.0217391304347826
Pcmtd1,chr1,+,7088919,,1.41901866393,6,99,6,86,5,79,0.0571428571428571,0.0571428571428571,0.0595238095238095
Rrs1,chr1,+,9545407,,-0.856005568499929,64,349,52,312,64,223,0.154963680387409,0.129675810473815,0.222996515679443
Adhfe1,chr1,+,9547947,1.49147273297,,44,28,34,17,41,19,0.611111111111111,0.548387096774194,0.683333333333333
2610203C22Rik,chr1,-,9631091,3.64275646756,,30,22,53,13,32,2,0.576923076923077,0.706666666666667,0.941176470588235
Mybl1,chr1,-,9700208,-0.985754531774679,,10,188,11,203,14,143,0.0505050505050505,0.0552763819095477,0.089171974522293
Vcpip1,chr1,-,9748381,,0.797604789184,78,104,80,72,72,125,0.428571428571429,0.434782608695652,0.365482233502538
Sgk3,chr1,+,9798129,-0.732687505410591,0.892250162205,5,159,0,199,5,177,0.0304878048780488,0,0.0274725274725275
Cops5,chr1,-,10038158,,-0.599971642977621,21,244,12,251,11,187,0.0792452830188679,0.046875,0.0555555555555556
Arfgef1,chr1,-,10232669,-0.366864910841674,0.75152645412,1,159,3,226,1,209,0.00625,0.0185185185185185,0.00476190476190476
Ncoa2,chr1,-,13374082,0.372105945157,,2,47,1,37,0,38,0.0408163265306122,0.0208333333333333,0
Lactb2,chr1,-,13660508,-0.888205553452639,,19,151,23,203,19,199,0.111764705882353,0.132183908045977,0.0871559633027523
Eya1,chr1,-,14310198,,1.60298554247,115,165,69,198,62,194,0.410714285714286,0.294871794871795,0.2421875
Trpa1,chr1,-,14918861,-1.86712341668301,,49,13,47,24,42,23,0.790322580645161,0.783333333333333,0.646153846153846
Sbspon,chr1,-,15892721,-2.30767315409105,,138,39,92,26,99,39,0.779661016949153,0.702290076335878,0.717391304347826
Stau2,chr1,-,16519301,-0.589680485970488,,10,31,1,75,1,82,0.24390243902439,0.03125,0.0120481927710843
Crispld1,chr1,+,17727044,-1.22741667279852,1.88115315539,92,92,52,122,53,55,0.5,0.361111111111111,0.490740740740741
Mcm3,chr1,-,20820311,,-0.686482342174814,18,16,26,20,26,18,0.529411764705882,0.619047619047619,0.590909090909091
Paqr8,chr1,+,20890547,-0.520778947298499,1.00501088166,49,150,43,121,30,159,0.246231155778895,0.22279792746114,0.158730158730159
Kcnq5,chr1,-,21962649,-1.31514640807778,1.86514012302,32,77,13,81,18,96,0.293577981651376,0.144444444444444,0.157894736842105
Ogfrl1,chr1,-,23383200,,0.958594187179,57,136,55,178,33,173,0.295336787564767,0.287958115183246,0.160194174757282
Phf3,chr1,-,30863255,,0.560034145867,53,6,53,0,72,4,0.898305084745763,0.898305084745763,0.947368421052632
Prim2,chr1,-,33669793,,-0.829257505032037,23,52,29,72,15,84,0.306666666666667,0.358024691358025,0.151515151515152
Rab23,chr1,+,33719895,0.419862571637,,83,107,73,31,69,106,0.436842105263158,0.405555555555556,0.394285714285714
Bag2,chr1,-,33757749,,-1.30485096371758,70,39,53,21,50,29,0.642201834862385,0.576086956521739,0.632911392405063
Dst,chr1,+,33908224,-1.46570187189,2.67320450421,12,96,4,73,3,52,0.111111111111111,0.04,0.0545454545454545
Ccdc115,chr1,-,34439671,-0.3280033472685,,27,199,34,229,42,199,0.119469026548673,0.145922746781116,0.174273858921162
Imp4,chr1,+,34439828,,-0.733631621151389,37,195,40,227,52,192,0.15948275862069,0.170212765957447,0.213114754098361
Cfc1,chr1,+,34535647,-3.8016061052042,7.67479540883,117,225,198,179,132,217,0.342105263157895,0.468085106382979,0.378223495702006
Arhgef4,chr1,+,34678181,-0.577053997833783,1.16582599813,3,35,2,34,1,34,0.0789473684210526,0.0540540540540541,0.0285714285714286
Plekhb2,chr1,+,34849958,-0.605568270217314,,11,0,7,0,12,1,1,1,0.923076923076923
Hs6st1,chr1,+,36068399,0.432402849238,,109,21,69,13,58,6,0.838461538461539,0.766666666666667,0.90625
Neurl3,chr1,-,36273424,-1.73870134726384,,6,17,3,24,0,36,0.260869565217391,0.15,0
Cox5b,chr1,+,36691486,,-0.856004198493659,191,199,96,217,142,162,0.48974358974359,0.325423728813559,0.467105263157895
Tmem131,chr1,-,36939526,0.652364075913,,9,326,3,347,2,286,0.026865671641791,0.00911854103343465,0.00694444444444444
Inpp4a,chr1,+,37299837,0.771497914762,,22,185,19,240,14,259,0.106280193236715,0.0931372549019608,0.0512820512820513
Mgat4a,chr1,-,37541015,-0.710054592372455,,10,52,5,43,1,50,0.161290322580645,0.087719298245614,0.0196078431372549
Tsga10,chr1,-,37865297,0.645959067857,,95,125,53,127,80,98,0.431818181818182,0.297752808988764,0.449438202247191
