chr	start	end	strand	E18pt5_1.percMeth	E18pt5_2.percMeth	E18pt5_3.percMeth	E18pt5_4.percMeth	Week4_1.percMeth	Week4_2.percMeth	Week4_3.percMeth	Week4_4.percMeth	X2.year_1.percMeth	X2.year_2.percMeth	X2.year_3.percMeth	X2.year_4.percMeth	pvals
chr1	25520465	25520465	+	0.934426229508197	0.944444444444444	0.912408759124088	0.922330097087379	0.89622641509434	0.878787878787879	0.891891891891892	0.878048780487805	1	0.963636363636364	0.914893617021277	0.958333333333333	0.00410137897816389
chr1	85040581	85040581	+	0.769230769230769	NA	0.92	0.961538461538462	0.827586206896552	0.785714285714286	0.75	0.8125	1	1	0.935483870967742	0.883720930232558	0.0235851356559689
chr1	85088645	85088645	-	0.530864197530864	0.44	0.514285714285714	0.525773195876289	0.436619718309859	0.454545454545455	0.418181818181818	0.454545454545455	0.769230769230769	0.555555555555556	0.636363636363636	0.45945945945946	0.0494760118782322
chr1	85112418	85112418	+	0.785714285714286	0.68421052631579	0.875	0.769230769230769	0.8	0.805555555555556	0.771929824561403	0.65625	NA	0.872727272727273	0.955882352941177	0.909090909090909	0.0378658130875695
chr1	85147789	85147789	+	1	NA	0.91304347826087	0.941176470588235	0.909090909090909	0.90625	0.925925925925926	0.941176470588235	NA	1	1	1	0.0154827498420768
chr1	85167078	85167078	-	0.955555555555556	0.928571428571429	0.968085106382979	0.982758620689655	0.933333333333333	0.944444444444444	0.963636363636364	0.964285714285714	1	1	0.963414634146341	1	0.0375910882627821
chr1	85245065	85245065	+	0.818181818181818	0.928571428571429	0.787878787878788	0.805555555555556	0.743589743589744	0.730769230769231	0.740740740740741	0.791666666666667	0.866666666666667	0.909090909090909	0.833333333333333	0.903225806451613	0.00930277640402464
chr1	85269814	85269814	-	0.904761904761905	0.904761904761905	0.893617021276596	0.869565217391304	0.951219512195122	0.967741935483871	0.857142857142857	0.878787878787879	1	1	0.972222222222222	0.924528301886792	0.0386202579701433
chr1	85308006	85308006	+	0.904761904761905	0.947368421052632	0.972972972972973	0.9	0.931034482758621	0.863636363636364	0.866666666666667	0.875	1	1	0.978723404255319	0.90625	0.0283972249692355
chr1	85309092	85309092	-	1	0.909090909090909	0.923076923076923	0.888888888888889	0.952380952380952	0.833333333333333	0.88235294117647	0.866666666666667	NA	1	0.96	1	0.0459464421421048
chr1	85323347	85323347	-	0.823529411764706	0.785714285714286	0.797101449275362	0.803921568627451	0.717948717948718	0.829268292682927	0.777777777777778	0.6	0.933333333333333	0.896551724137931	0.916666666666667	0.854166666666667	0.0110596400696819
chr1	85325348	85325348	+	0.954545454545455	1	0.971014492753623	0.904761904761905	0.901960784313726	0.88235294117647	0.944444444444444	0.896551724137931	1	0.967741935483871	1	1	0.00795268453497897
chr1	85340155	85340155	-	0.769230769230769	0.8	0.826086956521739	0.886363636363636	0.769230769230769	0.730769230769231	0.675675675675676	0.695652173913043	1	0.857142857142857	0.843137254901961	0.8	0.017627138797969
chr1	85344884	85344884	-	0.916666666666667	0.9	0.878787878787879	0.896551724137931	0.833333333333333	0.888888888888889	0.85	0.95	NA	0.928571428571429	1	1	0.0299899514352613
chr1	85481352	85481352	+	0.8	NA	0.92	0.807692307692308	0.9	0.777777777777778	0.88235294117647	0.909090909090909	NA	1	1	0.948717948717949	0.0362531123929895
chr1	85591387	85591387	+	0.622222222222222	0.705882352941177	0.727272727272727	0.737373737373737	0.680672268907563	0.745454545454545	0.697368421052632	0.771428571428571	0.8	0.826923076923077	0.862385321100917	0.855769230769231	0.00276282434647802
chr1	85593062	85593062	-	0.490909090909091	0.62962962962963	0.581967213114754	0.517857142857143	0.514851485148515	0.5	0.568627450980392	0.508474576271186	0.821428571428571	0.671052631578947	0.669291338582677	0.74468085106383	0.00164045932511871
chr1	85598268	85598268	+	0.783783783783784	0.772727272727273	0.691176470588235	0.788461538461538	0.758620689655172	0.838709677419355	0.666666666666667	0.666666666666667	0.9	0.944444444444444	0.794117647058823	0.938461538461538	0.0177002041269967
chr1	85607889	85607889	-	0.631578947368421	0.722222222222222	0.56140350877193	0.716981132075472	0.708333333333333	0.678571428571429	0.657894736842105	0.521739130434783	NA	0.75	0.884615384615385	0.810810810810811	0.037317592209305
chr1	88212024	88212024	+	0.818181818181818	1	0.8125	0.923076923076923	0.692307692307692	0.769230769230769	0.823529411764706	NA	NA	0.933333333333333	0.916666666666667	0.954545454545455	0.0436438831954384
chr1	88228356	88228356	+	0.8	NA	0.851063829787234	0.825	0.914285714285714	0.96	1	0.85	1	1	0.962962962962963	1	0.00322828465505626
chr1	88237144	88237144	+	NA	0.538461538461538	0.606060606060606	0.45	0.6	0.416666666666667	0.484848484848485	0.5	0.8	0.620689655172414	0.7	0.652173913043478	0.0174886035407916
chr1	88243369	88243369	-	0.75	NA	0.833333333333333	0.916666666666667	0.736842105263158	0.733333333333333	0.62962962962963	0.692307692307692	NA	1	0.774193548387097	0.909090909090909	0.0394592558402991
chr1	88246037	88246037	+	1	1	0.928571428571429	1	0.9	0.857142857142857	0.863636363636364	0.875	NA	1	1	1	0.000233356249377884
chr1	88276471	88276471	+	0.769230769230769	0.615384615384615	0.803571428571429	0.758620689655172	0.862068965517241	0.72	0.846153846153846	0.736842105263158	NA	1	0.972222222222222	0.935483870967742	0.00653853542280729
chr1	88279211	88279211	+	0.941176470588235	0.933333333333333	1	0.967741935483871	0.9	0.961538461538462	0.857142857142857	0.866666666666667	NA	0.95	0.972222222222222	0.967741935483871	0.048933081510878
chr1	88283953	88283953	-	0.846153846153846	0.727272727272727	0.833333333333333	0.888888888888889	0.790697674418605	0.705882352941177	0.76	0.84	NA	0.9375	0.894736842105263	0.95	0.0213030759365277
chr1	88292083	88292083	-	0.25	NA	0.206896551724138	0.294117647058824	0.19047619047619	0.0666666666666667	0	0.0833333333333333	NA	0.266666666666667	0.352941176470588	0.296296296296296	0.0049539849045352
chr1	88301353	88301353	-	NA	0.461538461538462	0.62962962962963	0.545454545454545	0.681818181818182	0.736842105263158	0.578947368421053	0.6	NA	0.736842105263158	0.7	0.761904761904762	0.0332329254310212
chr1	141264908	141264908	-	0.866666666666667	NA	0.95	0.730769230769231	0.642857142857143	0.72972972972973	0.75	0.75	NA	0.833333333333333	0.90625	0.895833333333333	0.0420155955078082
chr1	171063940	171063940	+	0.263157894736842	0.2	0.228571428571429	0.25	0.27027027027027	0.321428571428571	0.421052631578947	0.25	NA	0.5	0.5	0.482758620689655	0.000450678811971842
chr1	171064018	171064018	+	0.0645161290322581	0.111111111111111	0.109090909090909	0.0588235294117647	0.111111111111111	0.108695652173913	0.0857142857142857	0.0714285714285714	0.266666666666667	0.307692307692308	0.194444444444444	0.269230769230769	6.37845807215982e-05
chr1	171064042	171064042	+	0	0	0.0588235294117647	0.03125	0.119047619047619	0.0434782608695652	0.0476190476190476	0.0344827586206897	0.230769230769231	0.269230769230769	0.113636363636364	0.203703703703704	0.000990897341432823
chr1	171064071	171064071	+	0	0	0	0	0	0	0	0	0.153846153846154	0.173913043478261	0.0606060606060606	0.0227272727272727	0.010098346998417
chr1	171065923	171065923	+	0.157894736842105	NA	0.0571428571428571	0.142857142857143	0.125	0.181818181818182	0.0833333333333333	0.125	NA	0.333333333333333	0.25	0.434782608695652	0.00530265245406094
chr1	171065929	171065929	+	0	NA	0.027027027027027	0	0.0571428571428571	0	0	0	NA	0.153846153846154	0.19047619047619	0.173913043478261	6.04466788827196e-05
chr1	171065944	171065944	+	0.210526315789474	0.2	0.113636363636364	0	0.171428571428571	0.2	0.16	0.111111111111111	NA	0.307692307692308	0.583333333333333	0.391304347826087	0.00742315836849042
chr1	171065954	171065954	+	0.0555555555555556	0.0833333333333333	0.0666666666666667	0	0.0909090909090909	0	0.04	0	NA	0.117647058823529	0.28	0.12	0.0295682374708907
