chr	start	end	strand	pvalue	qvalue	meth.diff
chr1	7541406	7541406	+	0.371165677822681	0.673466803114123	6.04838709677419
chr1	7541437	7541437	+	0.643303386560944	0.821875999335017	3.18681318681319
chr1	8217725	8217725	+	0.853990890100802	0.891834081752863	0.717703349282306
chr1	11072908	11072908	+	0.585358645320548	0.79521058393409	5.7070707070707
chr1	11719000	11719000	+	0.357029406968233	0.664605403606738	-7.90043290043291
chr1	18804174	18804174	+	0.349455172065372	0.659542267494545	5.63607085346216
chr1	18804205	18804205	+	0.873129074062482	0.895435437082681	-0.866393068855453
chr1	18804228	18804228	+	0.876735747126701	0.896383028066972	-0.954575378538512
chr1	24611552	24611552	+	0.732140717104365	0.853902473046799	2.07792207792208
chr1	24611578	24611578	+	0.758907602924842	0.863431420928361	0.899499197743959
chr1	24611677	24611677	+	0.751042619242109	0.860675591861621	0.352939597675698
chr1	24611687	24611687	+	0.903276758498875	0.89792538309832	0.12840479293138
chr1	24611849	24611849	+	0.382289601698217	0.680655417935209	-0.471795552801263
chr1	24611945	24611945	+	0.862871946099557	0.893153700172263	-0.101937993579078
chr1	24611978	24611978	+	0.84536881972997	0.889460206042967	-0.112579814047272
chr1	24611986	24611986	+	0.946157044323722	0.89792538309832	0.0404153020695422
chr1	24612007	24612007	+	0.803301213181975	0.878688549528769	-0.129928388942684
chr1	24612143	24612143	+	0.267488471723712	0.601861870656583	-0.540001616771308
chr1	24612272	24612272	+	0.290431312160328	0.618129773165379	0.79656862745098
chr1	24612275	24612275	+	0.941519729062994	0.89792538309832	-0.0544117647058823
chr1	24612332	24612332	+	0.880134856851363	0.89735327338202	0.101600748960204
chr1	24612433	24612433	+	0.368340572812381	0.672454157831702	-0.569164523959825
chr1	24612445	24612445	+	0.491554945027366	0.754236297429764	-0.411951219512195
chr1	24612449	24612449	+	0.89241308459457	0.89792538309832	0.0787149419049504
chr1	24612493	24612493	+	0.849503504557596	0.890860845089631	0.124484181568088
chr1	24612502	24612502	+	0.841054173855992	0.888848553477718	0.12890906851099
chr1	24612633	24612633	+	0.00539828729142849	0.0763871524624486	1.68980990742704
chr1	24612737	24612737	+	0.00000370729963472553	0.000173130794683012	2.38036370697519
chr1	24612977	24612977	+	0.960838001064601	0.89792538309832	0.0257732935616038
chr1	24612996	24612996	+	0.87763459787378	0.896528174642616	-0.0830098300463421
chr1	24613002	24613002	+	0.702788226440966	0.845563283793976	-0.212523428266234
chr1	24613072	24613072	+	0.719950322422504	0.850059387318086	0.193872804864718
chr1	24613212	24613212	+	0.524344546929801	0.769612789673587	-0.36582370433083
chr1	24613233	24613233	+	0.0594778688312335	0.343199535308964	-1.16433008588207
chr1	24613260	24613260	+	0.62773380574045	0.815763197068	-0.284671844531217
chr1	24613272	24613272	+	0.362622430566836	0.667972967553696	-0.522758894851918
chr1	24613310	24613310	+	0.762942739630333	0.864950538738025	0.174483132436827
chr1	24613505	24613505	+	0.233257433272591	0.578817742066243	-0.681011535048802
chr1	24613653	24613653	+	0.546952997910477	0.780456673835738	-0.401994086166027
chr1	24613672	24613672	+	0.749058730810699	0.860476968328603	-0.213814678940379
chr1	24613705	24613705	+	0.547136543760443	0.780456673835738	-0.428194993412385
chr1	24613710	24613710	+	0.958854617386393	0.89792538309832	-0.0363709527641923
chr1	24613733	24613733	+	0.49182300881238	0.754236297429764	-0.543898909678288
chr1	24613784	24613784	+	0.0347023095682164	0.259749882906124	-1.48982276913552
chr1	24613791	24613791	+	0.135401390723409	0.485858374960776	-1.15533123246875
chr1	24613796	24613796	+	0.0750770528952758	0.381655215327624	-1.32185301964589
chr1	24614015	24614015	+	0.80947108690615	0.881378995398095	0.156297150285126
chr1	24614129	24614129	+	0.0356786185537729	0.26346253561688	1.24579693017628
chr1	24614176	24614176	+	0.312908593974402	0.635956935892111	0.651425982980957
chr1	24614299	24614299	+	0.246357207944911	0.585801348636924	0.474065607163007
chr1	24614315	24614315	+	0.397679505007415	0.690940788107147	0.307937313264558
chr1	24614455	24614455	+	0.843172049998124	0.88907759466114	-0.109496931001511
chr1	24614530	24614530	+	0.919463124112183	0.89792538309832	-0.0351745384857968
chr1	24614545	24614545	+	0.506239419664306	0.760205856540435	0.27436928702011
chr1	24614594	24614594	+	0.539174713987021	0.777227284424694	-0.231982678626663
chr1	24614645	24614645	+	0.966386435111838	0.89792538309832	0.0227598302384427
chr1	24614860	24614860	+	0.159509292530209	0.51429837934655	-0.625937463943694
chr1	24614908	24614908	+	0.496984104169643	0.755916350933371	-0.323288042863925
chr1	24615003	24615003	+	0.771956053073452	0.868231448283736	-0.156611340417435
chr1	24615033	24615033	+	0.28984627469585	0.617720060902004	-0.599306825839992
