chr	start	end	strand	pvalue	qvalue	meth.diff	target.row	dist.to.feature	feature.name	feature.strand	prom	exon	intron	CpGi	shores
chr1	56782118	56782118	+	0.00362798590875677	0.0389178960810954	-11.8362023995827	142	-103279	XR_003947825.1	+	0	0	0	0	0
chr1	84963069	84963069	+	0.00277732717982762	0.0318292639270674	-8.9632637436255	205	-27789	XM_006496551.4	-	0	0	0	0	0
chr1	84984021	84984021	+	4.69677942568847e-05	0.00111737147811073	-24.1036414565826	237	-48741	XM_006496551.4	-	0	0	0	0	0
chr1	84986338	84986338	+	0.00506694587824576	0.0495879895837236	-13.3510167992927	241	-51058	XM_006496551.4	-	0	0	0	0	0
chr1	84993469	84993469	+	0.00391855643077724	0.0411339159564827	-8.1816510387939	288	-58189	XM_006496551.4	-	0	0	0	0	0
chr1	85081313	85081313	+	7.8591031287864e-05	0.00172520399298905	-18.9655172413793	447	19642	XM_017321386.2	-	0	0	0	0	0
chr1	85088370	85088370	+	0.00284941836874104	0.032401530806348	-5.40477486585271	491	12585	XM_017321386.2	-	0	1	0	0	0
chr1	85092364	85092364	+	0.00348143696712191	0.0378875619916804	-11.818487394958	508	8591	XM_017321386.2	-	0	0	1	0	0
chr1	85099160	85099160	+	0.00380759752843512	0.040236807485621	-10.9783026641033	544	1795	XM_017321386.2	-	0	0	1	0	0
chr1	85116022	85116022	+	0.000987152145382355	0.0140907062286968	-25.4152823920266	651	-5726	XM_006496502.4	-	0	0	0	0	0
chr1	85164054	85164054	+	0.00170645483365247	0.0216009916270886	-19.811320754717	712	-35538	XM_006496524.3	+	0	0	1	0	0
chr1	85234619	85234619	+	1.24789493861244e-06	4.66408196792876e-05	-20.0922266139657	815	26822	XM_006496522.4	+	0	0	1	0	0
chr1	85249090	85249090	+	9.90819967647771e-05	0.00209634881113514	-18.2478632478633	903	12666	XM_006496519.4	-	0	0	1	0	0
chr1	85249626	85249626	+	0.00406012078852411	0.0422762377226823	-17.6568470356218	908	12130	XM_006496519.4	-	0	0	1	0	0
chr1	85250566	85250566	+	0.000455675354164413	0.00758714276682368	-16.3793103448276	917	11190	XM_006496519.4	-	0	0	1	0	0
chr1	85256469	85256469	+	0.000109890175937743	0.00227845284495736	-8.12824139556814	952	5287	XM_006496519.4	-	0	0	1	0	0
chr1	85263384	85263384	+	0.00065215235533597	0.0102671074603642	-12.5056014339671	999	-1630	XM_017321885.2	-	0	0	1	0	0
chr1	85273608	85273608	+	0.000422280997219062	0.00717651323363557	-13.1729509891776	1076	-1801	XM_017321880.2	-	0	0	1	0	0
chr1	85274276	85274276	+	0.0013350082383684	0.0178595823899618	-13.5135135135135	1085	-2469	XM_017321880.2	-	0	0	1	0	0
chr1	85277156	85277156	+	1.98854143330829e-06	7.060677911949e-05	-14.3745845873505	1112	-5349	XM_017321880.2	-	0	0	1	0	0
chr1	85286204	85286204	+	0.000842620350358822	0.0123887236341577	-16.6108599810257	1192	-3322	XM_030255714.1	-	0	0	1	0	0
chr1	85304700	85304700	+	0.00123407357805777	0.0168849802001795	-15.1421430802874	1282	4316	NM_001378664.1	-	0	0	1	0	0
chr1	85305233	85305233	+	0.00351775170989826	0.0381386779762254	-10.4714538765499	1287	3783	NM_001378664.1	-	0	0	1	0	0
chr1	85305621	85305621	+	0.00133543904166634	0.0178595823899618	-18.9102564102564	1294	3395	NM_001378664.1	-	0	0	1	0	0
chr1	85308756	85308756	+	0.00139135927105636	0.0184184874514309	-7.89473684210527	1316	260	NM_001378664.1	-	1	1	0	0	0
chr1	85311735	85311735	+	0.000122443243927283	0.00249860344811383	-18.2382030005867	1336	-2721	XM_011238728.2	-	0	0	0	0	0
chr1	85326898	85326898	+	0.000715794668117041	0.0109668138668163	-17.1465485418974	1425	68	XM_017313618.2	+	1	1	1	0	0
chr1	85340046	85340046	+	0.00205838568845621	0.0252458467661733	-15.2507057400188	1483	-12668	NR_165476.1	-	0	0	1	0	0
chr1	85346797	85346797	+	0.000797705151669015	0.011900828480257	-21.9167443305374	1521	-19419	NR_165476.1	-	0	0	1	0	0
chr1	85492412	85492412	+	0.00224620557016584	0.0269672401619159	-12.8856193640247	1587	-4018	XM_030244923.1	+	0	0	1	0	0
chr1	85567904	85567904	+	0.00321632225251555	0.0357158309411121	-18.1756756756757	1708	-19587	XM_030255396.1	+	0	0	0	0	0
chr1	85582793	85582793	+	0.000447413678308891	0.00751122275544793	-19.4522144522144	1749	-4698	XM_030255396.1	+	0	0	1	0	0
chr1	85584355	85584355	+	0.00109567409447735	0.0154083145209353	-10.4422076556686	1765	-3136	XM_030255396.1	+	0	0	1	0	0
chr1	85591058	85591058	+	0.000185257369002315	0.00354603758383139	-12.1414141414141	1821	3569	XM_030255396.1	+	0	0	1	0	0
chr1	85591671	85591671	+	2.24965254073197e-05	0.000592786669655183	-8.2134361414158	1831	4182	XM_030255396.1	+	0	1	1	0	0
chr1	85592695	85592695	+	0.00202803584517736	0.0249382164574625	-9.68757340850364	1845	5206	XM_030255396.1	+	0	0	1	0	0
chr1	85599374	85599374	+	0.0017192486887804	0.0217242172960339	-12.3667377398721	1917	247	XM_011247898.3	-	1	1	1	0	0
chr1	85600822	85600822	+	0.0020325283772275	0.0249596144215023	-14.8169398907104	1937	121	NM_001013817.2	+	1	1	1	0	0
chr1	85650964	85650964	+	0.00342898350569745	0.0375229668164927	-15.2051093097519	2109	952	NM_001372231.1	+	1	0	1	0	0
chr1	85651002	85651002	+	9.89495110389057e-05	0.00209634881113514	-26.4705882352941	2110	990	NM_001372231.1	+	1	0	1	0	0
chr1	85652046	85652046	+	0.00024518997364771	0.00450500171503963	-14.2014824797844	2116	2034	NM_001372231.1	+	0	0	1	0	0
chr1	85652130	85652130	+	0.000665856667454132	0.0104266600337135	-22.3604082682906	2119	2118	NM_001372231.1	+	0	0	1	0	0
chr1	88215174	88215174	+	0.0042272801001273	0.0436646591763895	-16.2985529322163	2162	3217	NM_201645.2	+	0	1	0	0	0
chr1	88224878	88224878	+	0.00100974974807452	0.014355555841449	-15.2050919377652	2207	-2113	XM_006529044.3	+	0	0	0	0	0
chr1	88233338	88233338	+	0.00288036968418287	0.0326702340199291	-12.9253687746458	2259	-4283	XM_006529045.2	+	0	1	0	0	0
chr1	88235113	88235113	+	0.00461390536995564	0.0465742996671301	-18.8161375661376	2280	-2508	XM_006529045.2	+	0	0	1	0	0
chr1	88238459	88238459	+	0.00135622045056732	0.018120441374509	-18.4952978056426	2315	-26	XM_006529046.3	+	1	0	1	0	0
chr1	88253295	88253295	+	0.000378431554222656	0.00653442899160756	-43.2900432900433	2441	14812	XM_006529046.3	+	0	0	1	0	0
chr1	88258921	88258921	+	4.37247442973719e-05	0.00104648156054018	-30.653162463828	2495	18659	NM_198652.2	-	0	1	1	0	0
chr1	88258963	88258963	+	3.78333022015301e-05	0.00092009601540241	-34.7796950913051	2496	18617	NM_198652.2	-	0	1	1	0	0
chr1	88259230	88259230	+	0.000107877370903361	0.00224474747212896	-21.1547488655922	2498	18350	NM_198652.2	-	0	1	1	0	0
chr1	88259318	88259318	+	1.83134452915077e-06	6.55165916622913e-05	-37.037037037037	2499	18262	NM_198652.2	-	0	1	1	0	0
chr1	88259483	88259483	+	0.000705794581256514	0.0108604636491388	-24.7058823529412	2500	18097	NM_198652.2	-	0	1	1	0	0
chr1	88260797	88260797	+	6.12753326187766e-05	0.00139244294036822	-26.295045045045	2520	16783	NM_198652.2	-	0	1	0	0	0
chr1	88261975	88261975	+	0.00245818042181106	0.0288536083620995	-9.14926395070181	2536	15605	NM_198652.2	-	0	1	0	0	0
chr1	88262336	88262336	+	4.96442589002528e-05	0.00116542788399497	-59.0909090909091	2538	15244	NM_198652.2	-	0	1	0	0	0
chr1	88262359	88262359	+	8.55404286475239e-07	3.41266117660948e-05	-65.4814814814815	2539	15221	NM_198652.2	-	0	1	0	0	0
chr1	88262394	88262394	+	3.10532608496069e-11	3.97334229527773e-09	-63.8888888888889	2540	15186	NM_198652.2	-	0	1	0	0	0
chr1	88262406	88262406	+	5.05590454998977e-13	8.75702846834707e-11	-69.685534591195	2541	15174	NM_198652.2	-	0	1	0	0	0
chr1	88262813	88262813	+	9.17390699470544e-05	0.00197715476587507	-16.560739238224	2543	14767	NM_198652.2	-	0	1	0	0	0
chr1	88263163	88263163	+	7.90906813494356e-05	0.00173349286577194	-10.3174603174603	2549	14417	NM_198652.2	-	0	1	0	0	0
chr1	88264756	88264756	+	0.00261257583568615	0.0302409959849781	-5.83333333333333	2561	12824	NM_198652.2	-	0	1	0	0	0
chr1	88265241	88265241	+	0.00335483497199564	0.0369362838389628	-10.5482456140351	2566	12339	NM_198652.2	-	0	1	0	0	0
chr1	88265896	88265896	+	0.000316836566932484	0.00560391450830547	-16.7548034549621	2578	11684	NM_198652.2	-	0	1	0	0	0
chr1	88276776	88276776	+	0.00143661660173076	0.0188749988805313	-22.1624735932399	2670	804	NM_198652.2	-	1	0	1	0	1
chr1	88279555	88279555	+	0.00043475056287686	0.00735952762360517	-26.3327547731217	2731	-1912	XM_006529721.4	-	0	0	0	0	1
chr1	88279611	88279611	+	1.51444649586234e-07	7.68188233923945e-06	-35.3859591658478	2732	-1968	XM_006529721.4	-	0	0	0	0	1
chr1	88286559	88286559	+	0.00424162257594315	0.0437491711256091	-10.7830126078301	2796	-8916	XM_006529721.4	-	0	0	0	0	0
chr1	88287257	88287257	+	0.00226474197566727	0.0271002959259311	-15.0657229524772	2814	-9614	XM_006529721.4	-	0	0	0	0	0
