chr	start	end	strand	pvalue	qvalue	meth.diff
chr1	84964454	84964454	+	1.96175011489978e-06	2.54248282544718e-05	-40.5793386311202
chr1	85537301	85537301	+	1.8542846396181e-06	2.40766320985282e-05	-28.6153846153846
chr1	85600816	85600816	+	3.26437071359833e-09	5.3818288118553e-08	-25.8579712900466
chr1	85601119	85601119	+	0.00383380054369508	0.0250056353507364	-28.1986531986532
chr1	85651978	85651978	+	2.19821385404368e-05	0.000253866512845321	-35.0714285714286
chr1	85651993	85651993	+	3.41517348443177e-06	4.33779747991019e-05	-36.4905284147557
chr1	85652046	85652046	+	4.84592784300129e-11	9.08017958583001e-10	-34.0277777777778
chr1	85652107	85652107	+	0.000429195328477633	0.00397493570289881	-28.9632107023411
chr1	88253082	88253082	+	1.39524093014081e-06	1.8371898619575e-05	-45.905607099637
chr1	88253295	88253295	+	0.00234113221918176	0.0168565144803957	-30.9090909090909
chr1	88258660	88258660	+	0.000611334820647319	0.00534139527814765	-31.1059907834101
chr1	88258921	88258921	+	1.59859153384875e-16	4.4220646587299e-15	-62.2263914946842
chr1	88258963	88258963	+	1.7772174606919e-13	3.96744694006695e-12	-47.9002624671916
chr1	88259219	88259219	+	1.00519241063867e-06	1.34510322239928e-05	-27.9192273924495
chr1	88259318	88259318	+	2.54723164133191e-11	4.85747392096024e-10	-53.615520282187
chr1	88259483	88259483	+	1.94670312293188e-05	0.000226690517873184	-29.4677871148459
chr1	88260797	88260797	+	4.81542208254483e-05	0.000529473285904565	-25.0996898537882
chr1	88262169	88262169	+	1.7611670362448e-06	2.2960505304614e-05	-58.2692307692308
chr1	88262336	88262336	+	1.04316672205842e-06	1.39458548032739e-05	-66.1616161616162
chr1	88262359	88262359	+	6.47261070353585e-11	1.19680034103636e-09	-71.8660968660969
chr1	88262394	88262394	+	1.4108100159588e-23	6.34959816702175e-22	-78.0982905982906
chr1	88262406	88262406	+	3.72915756453266e-24	1.74573227803833e-22	-76.712561618222
chr1	88279312	88279312	+	0.00017388747085517	0.00173975732233797	-27.8097622027534
chr1	88279611	88279611	+	3.69034841177666e-07	5.18616259860481e-06	-29.4573643410853
chr1	171078831	171078831	+	0.00173558595226314	0.0131172634371164	-28.0282935455349
chr11	3125971	3125971	+	1.06792137630477e-12	2.24441492116877e-11	-41.0857142857143
chr11	3126967	3126967	+	1.4441086799151e-11	2.81522772455925e-10	-28.5365379811829
chr11	3127597	3127597	+	2.63246750975164e-44	5.41866377055926e-42	-33.5213126767444
chr11	3127605	3127605	+	7.49736921980592e-47	1.84107779437975e-44	-35.5716065135496
chr11	3128980	3128980	+	2.2800878326818e-12	4.7002385428497e-11	-38.325967152289
chr11	3129105	3129105	+	2.20220884713194e-36	2.82793942005907e-34	-28.2454101789449
chr11	3133525	3133525	+	4.43225492523362e-64	1.87996120881857e-61	-37.2851101338628
chr11	3133533	3133533	+	1.78459834522866e-08	2.78474953184222e-07	-29.2933511526896
chr11	3133543	3133543	+	9.07271198042946e-67	4.09650535566532e-64	-34.8995689423885
chr11	3143951	3143951	+	2.64304256358574e-62	1.02763704823628e-59	-28.6760668996639
chr11	3144029	3144029	+	5.38573567228137e-109	4.18803812325705e-106	-45.2308034712489
chr12	5055475	5055475	+	0.000570173277388382	0.0050366464417577	-43.6842105263158
chr13	12912366	12912366	+	0.00697656650681995	0.0405782766354373	-25.5
chr13	12916239	12916239	+	0.0012190917890424	0.00974514615180538	-27.0331667423898
chr13	12934840	12934840	+	0.00536032896179995	0.0329541388407607	-27.1739130434783
chr13	27925073	27925073	+	0.00337965558443476	0.0226125146246106	-27.3793103448276
chr13	119488308	119488308	+	0.00695732829329193	0.0405084970389522	-35.1213282247765
chr13	119488315	119488315	+	0.000262266250592249	0.0025510543440446	-42.6923076923077
